Date,revenue,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,343.21800,343.21800,32.73900,-36.38500,185.90300,-34.23900,151.66400,151.66400,151.66400,151.66400,288.52700,274.09400,203.41900,203.41900,0.75000,0.75000,1.82480,1.12080,100.00000,54.16470,79.86000,44.18880,44.18880,0.02770,2.66050,2.66050,1.22590,2.66050,27.27150,-2.2787,-2.2787
2024-06-30,327.06400,327.06400,30.91300,-44.21200,173.09800,23.08800,196.18600,196.18600,196.18600,196.18600,224.21300,251.93900,193.90800,193.90800,1.01000,1.01000,1.81700,1.12780,100.00000,52.92480,77.03050,59.98400,59.98400,0.02780,3.63670,3.63670,1.66680,3.63670,27.19290,-3.6219,-3.6219
2024-03-31,303.95900,303.95900,28.84200,-42.55100,165.84600,17.90900,183.75500,183.75500,183.75500,183.75500,214.83300,232.56600,190.60000,190.60000,0.96000,0.96000,1.90770,1.02300,100.00000,54.56200,76.51230,60.45390,60.45390,0.02840,3.56410,3.56410,1.71650,3.56410,26.87010,-2.07520,-2.07520
2023-12-31,304.25500,304.25500,28.08800,-35.42200,172.45400,-15.14600,157.30800,157.30800,157.30800,157.30800,254.04300,240.74500,167.61500,167.61500,0.88000,0.88000,1.93400,0.99190,100.00000,56.68070,79.12610,51.70270,51.70270,0.03000,3.17660,3.17660,1.55220,3.17660,26.65510,-0.7174,-0.7174
2023-09-30,283.95900,283.95900,28.63900,-29.27600,160.79100,10.20400,170.99500,170.99500,170.99500,170.99500,199.82800,226.04400,169.84400,169.84400,1.01000,1.01000,1.85510,1.07820,100.00000,56.62470,79.60450,60.21820,60.21820,0.02900,3.71520,3.71520,1.74440,3.71520,26.53650,-0.7491,-0.7491
2023-06-30,290.36500,290.36500,27.97000,-24.76200,171.48500,-26.63500,144.85000,144.85000,144.85000,144.85000,257.98300,237.63300,161.07900,161.07900,0.90000,0.90000,1.80690,1.14430,100.00000,59.05840,81.83940,49.88550,49.88550,0.03030,3.32970,3.32970,1.51320,3.32970,26.29880,3.2327,3.2327
2023-03-31,264.93800,264.93800,27.86700,-21.16800,149.17500,-10.37700,138.79800,138.79800,138.79800,138.79800,224.98600,215.90300,160.50200,160.50200,0.86000,0.86000,1.71970,1.30100,100.00000,56.30560,81.49190,52.38890,52.38890,0.02690,3.31220,3.31220,1.40940,3.31220,26.09750,0.97110,0.97110
2022-12-31,250.91300,250.91300,28.88700,-15.51600,143.66300,-21.88400,121.77900,121.77900,121.77900,121.77900,221.03900,206.51000,166.07300,166.07300,0.76000,0.76000,1.69540,1.32910,100.00000,57.25610,82.30340,48.53440,48.53440,0.02530,2.92810,2.92810,1.22900,2.92810,25.93470,0.9913,0.9913
2022-09-30,226.79100,226.79100,28.47700,-10.82300,132.14400,-36.19800,95.94600,95.94600,95.94600,95.94600,246.47700,187.49100,165.03200,165.03200,0.58000,0.58000,1.70280,1.32250,100.00000,58.26690,82.67130,42.30590,42.30590,0.02280,2.30170,2.30170,0.96660,2.30170,25.75970,2.9595,2.9595
2022-06-30,186.99100,186.99100,28.85900,-7.78200,105.26600,-25.67500,79.59100,79.59100,79.59100,79.59100,171.72500,150.35000,169.42600,169.42600,0.47000,0.47000,1.70110,1.32910,100.00000,56.29470,80.40500,42.56410,42.56410,0.01800,1.82750,1.82750,0.76660,1.82750,25.88550,0.2144,0.2144
2022-03-31,185.59700,185.59700,28.51000,-14.08300,102.70300,4.53700,107.24000,107.24000,107.24000,107.24000,137.24700,143.00400,169.55700,169.55700,0.63000,0.63000,1.72380,1.27140,100.00000,55.33660,77.05080,57.78110,57.78110,0.01800,2.41870,2.41870,1.03800,2.41870,26.12910,-0.11310,-0.11310
2021-12-31,192.00000,192.00000,42.06100,-17.98100,149.93900,-28.00400,121.95300,121.95300,122.00000,122.00000,165.86000,149.93900,165.92200,165.92200,0.73000,0.73000,1.73790,1.23630,100.00940,78.09320,78.09320,63.51720,63.54170,0.01890,2.74310,2.74310,1.19870,2.74310,26.27390,-6.5806,-6.5806
2021-09-30,166.87500,166.87500,18.55400,-21.77400,93.80700,16.20000,110.00700,110.00700,110.00700,110.00700,94.13700,126.54700,147.93300,147.93300,0.74000,0.74000,,,100.00000,56.21390,75.83340,65.92180,65.92180,,,,,,,-5.1658,-5.1658
2021-06-30,135.09700,135.09700,15.78400,-20.73700,71.40900,45.28600,116.69500,116.69500,116.69500,116.69500,48.91000,98.57600,133.79000,133.79000,0.87000,0.87000,,,100.00000,52.85760,72.96680,86.37870,86.37870,,,,,,,-9.0248,-9.0248
2021-03-31,130.71000,130.71000,14.07200,-19.57300,75.91900,35.84800,111.76700,111.76700,111.76700,111.76700,45.43700,97.06500,129.96700,129.96700,0.86000,0.86000,,,100.00000,58.08200,74.25980,85.50760,85.50760,,,,,,,-2.30300,-2.30300
2020-12-31,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,0,0
2019-12-31,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,0,0
