Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,428.14900,364.73000,63.41900,46.88800,46.88800,16.53100,2.27700,18.80800,4.77800,14.03000,14.03000,14.03000,20.51200,16.53100,73.68700,73.92600,0.19000,0.19000,2.93160,0.05120,14.81240,3.86100,3.86100,4.39290,3.27690,0.53130,21.39680,1.05330,85.44820,2.87060,3.48050,1.74100,2.87060,6.66860,0.0584,0.0401
2024-06-30,426.28800,384.74200,41.54600,44.43700,44.43700,-2.89100,0.90500,-1.98600,-0.19800,-1.78800,-1.78800,-1.78800,1.12400,-2.89100,73.85300,73.85300,-0.02000,-0.02000,2.73630,0.06360,9.74600,-0.67820,-0.67820,-0.46590,-0.41940,0.53310,21.54570,1.06870,84.21430,-0.37930,-0.46430,-0.22360,-0.37930,6.42410,0.22,0.2039
2024-03-31,423.43300,358.91100,64.52200,46.91100,46.91100,17.61100,3.70300,21.31400,6.00500,15.30900,15.30900,15.30900,21.60100,17.61100,73.92600,74.05500,0.21000,0.21000,2.77210,0.08430,15.23780,4.15910,4.15910,5.03360,3.61540,0.52670,19.89310,1.04000,86.53700,3.22580,3.94970,1.90440,3.22580,6.44410,-0.35150,-0.38090
2023-12-31,423.83990,349.12390,74.71600,46.24900,46.24900,28.46700,3.83300,32.30000,8.79200,23.50800,23.50800,23.50800,32.78100,28.46710,74.28800,74.34000,0.32000,0.32000,2.63540,0.05480,17.62840,6.71650,6.71650,7.62080,5.54640,0.53610,18.89300,1.10520,81.43600,5.14830,6.37140,2.97320,5.14830,6.22590,0.6651,0.6458
2023-09-30,411.38800,376.93600,34.45200,39.04700,39.04700,-4.59500,-1.73800,-6.33300,-1.28600,-5.04700,-5.04700,-5.04700,-0.80900,-4.59500,74.36400,74.36400,-0.07000,-0.07000,2.84050,0.10190,8.37460,-1.11700,-1.11700,-1.53940,-1.22680,0.54800,19.64440,1.11490,80.72120,-1.14250,-1.42810,-0.67230,-1.14250,5.98160,0.0392,0.0144
2023-06-30,418.93100,368.20400,50.72700,41.42900,41.42900,9.29800,1.63600,10.93400,2.68000,8.25400,8.25400,8.25400,13.43300,9.29800,74.47800,74.56700,0.11000,0.11000,2.89500,0.08880,12.10870,2.21950,2.21950,2.61000,1.97030,0.55000,18.43230,1.09960,81.84840,1.83180,2.28310,1.08350,1.83180,6.07300,0.0994,0.0852
2023-03-31,417.23000,362.37900,54.85100,40.04700,40.04700,14.80400,1.35100,16.15500,4.48400,11.67100,11.67100,11.67100,19.05700,14.80400,74.49700,74.51800,0.16000,0.16000,3.14550,0.07940,13.14650,3.54820,3.54820,3.87200,2.79730,0.58020,17.91380,1.18350,76.04410,2.64910,3.33170,1.62290,2.64910,5.93810,-0.21860,-0.23140
2022-12-31,424.02000,367.33900,56.68100,39.52400,39.52400,17.15700,2.37200,19.52900,3.75700,15.77200,15.77200,15.77200,21.45900,17.15700,74.33600,74.35100,0.22000,0.22000,2.69100,0.05980,13.36750,4.04630,4.04630,4.60570,3.71960,0.58820,17.35680,1.23470,72.88930,3.77070,4.82610,2.18800,3.77070,5.64570,0.308,0.2964
2022-09-30,414.48800,376.89400,37.59400,35.80300,35.80300,1.79100,-0.79800,0.99300,0.67100,0.32200,0.32200,0.32200,6.13400,1.79100,74.34000,74.34800,0.00000,0.00000,2.81980,0.05920,9.07000,0.43210,0.43210,0.23960,0.07770,0.57400,16.59450,1.17440,76.63230,0.07630,0.09780,0.04460,0.07630,5.69700,-0.1332,-0.1544
2022-06-30,424.85700,379.37000,45.48700,29.28100,29.28100,16.20600,-7.95600,8.25000,1.43000,6.82000,6.82000,6.82000,20.38800,16.20600,74.33700,74.35800,0.09000,0.09000,2.83720,0.02280,10.70640,3.81450,3.81450,1.94180,1.60520,0.57410,16.11940,1.26710,71.03050,1.55760,1.98290,0.92150,1.55760,5.91250,0.1214,0.1063
2022-03-31,426.81100,373.26200,53.54900,35.73600,35.73600,17.81300,-2.03200,15.78100,4.45200,11.32900,11.32900,11.32900,22.52100,17.81300,74.32600,74.33300,0.15000,0.15000,3.01100,0.02240,12.54630,4.17350,4.17350,3.69740,2.65430,0.57170,15.03880,1.31670,68.35100,2.53650,3.22290,1.51760,2.53650,6.03270,-0.40600,-0.42290
2021-12-31,420.44700,373.54090,46.90610,44.29000,44.29000,2.61610,2.76000,5.37600,0.59100,4.78500,4.78500,4.78500,6.85710,2.61600,74.81600,74.96200,0.06000,0.06000,2.85880,,11.15620,0.62220,0.62220,1.27860,1.13810,0.54070,14.35870,1.39130,64.68850,1.05700,1.33990,0.61540,1.05700,6.13640,0.4187,0.399
2021-09-30,415.59000,364.82200,50.76800,38.78000,38.78000,11.98800,0.13300,12.12100,2.58100,9.54000,9.54000,9.54000,16.24900,11.98800,74.94300,75.07600,0.13000,0.13000,3.67920,,12.21590,2.88460,2.88460,2.91660,2.29550,0.52370,13.65660,1.43440,62.74270,1.98670,2.39930,1.20210,1.98670,6.44010,-0.3072,-0.3338
