Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,other-income,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-12-31,631.00000,563.20000,67.80000,14.80000,-2.20000,17.00000,50.80000,-7.70000,43.10000,0.20000,42.90000,,42.90000,45.20000,,50.80000,93.00000,98.70000,0.49000,0.47000,,,,,,,,,,,,,,,,,,,
2024-09-30,539.10000,457.30000,81.80000,15.60000,-2.40000,18.00000,63.80000,-19.50000,44.30000,2.00000,42.30000,,42.30000,44.80000,86.90000,63.80000,92.80000,98.40000,0.48000,0.46000,1.70840,0.41690,0.77310,15.17340,11.83450,11.83450,8.21740,8.31010,0.28420,0.83990,2.62080,34.34060,6.73030,6.73030,2.23000,3.92470,6.77270,0.2063,0.0054
2024-06-30,560.80000,540.40000,20.40000,12.30000,-1.70000,14.00000,6.40000,-12.60000,-6.20000,0.50000,-6.70000,,-6.70000,-2.50000,28.20000,6.40000,92.70000,92.70000,-0.03000,-0.03000,1.71900,0.43640,0.82420,3.63770,1.14120,1.14120,-1.10560,-0.44580,0.31070,1.15590,2.77900,32.38590,-1.14940,-1.14940,-0.37120,-0.64780,6.28540,0.1143,-0.0626
2024-03-31,489.50000,473.00000,16.50000,14.10000,-0.50000,14.60000,1.90000,243.30000,245.20000,0.50000,244.70000,,244.70000,233.60000,21.80000,1.90000,92.70000,98.70000,2.52000,2.26000,1.66580,0.43500,0.89930,3.37080,0.38810,0.38810,50.09190,47.72220,0.26460,0.97690,2.93110,30.70480,41.67950,41.67940,13.22770,23.54700,6.33330,-0.14990,-0.45090
2023-12-31,512.29990,472.90010,39.39980,8.10000,-2.10000,10.20000,29.19980,3.10000,32.30000,6.60000,25.70000,,25.60000,30.40000,48.59980,29.19980,92.40000,92.40000,0.32000,0.33000,1.00540,0.55600,1.39260,7.69080,5.69980,5.69970,6.30490,5.93400,0.27740,0.99140,3.02420,29.75990,7.43970,7.43970,1.38640,3.30320,3.71240,0.7143,0.3648
2023-09-30,545.20000,556.70000,-11.50000,10.80000,-1.90000,12.70000,-24.20000,-32.70000,-56.90000,-11.00000,-45.90000,,-45.90000,-42.00000,-0.40000,-24.20000,92.40000,92.40000,-0.45000,-0.45000,1.07950,0.52530,1.32400,-2.10930,-4.43870,-4.43870,-10.43650,-7.70360,0.30960,1.19490,6.38410,14.09760,-11.86970,-11.86970,-2.60650,-5.63400,4.18480,0.449,0.4412
2023-06-30,575.50000,559.60000,15.90000,12.00000,-4.60000,16.60000,-0.70000,-2.70000,-3.40000,-10.00000,6.60000,,6.60000,7.10000,14.90010,-0.70000,92.30000,93.20000,0.08000,0.07000,1.22080,0.49750,1.36710,2.76280,-0.12160,-0.12160,-0.59080,1.23370,0.32940,1.09550,8.58960,10.47790,1.63040,1.63040,0.37770,0.81930,4.38290,-0.0182,-0.256
2023-03-31,552.40000,504.30000,48.10000,13.40000,-7.20000,20.60000,27.50000,-66.30000,-38.80000,-0.20000,-38.60000,,-38.60000,-38.60000,43.40000,27.50000,92.30000,92.30000,-0.42000,-0.42000,1.63890,0.51870,1.43160,8.70750,4.97830,4.97830,-7.02390,-6.98770,0.39480,1.15980,8.59100,10.47610,-10.65120,-10.65120,-2.75890,-5.12620,3.92530,-0.00220,-0.15710
2022-12-31,529.90010,549.30020,-19.40000,11.30000,0.20000,11.09980,-30.49990,-100.10000,-130.60000,-17.20000,-113.40000,,-113.50000,-107.40000,-14.59990,-30.49990,91.40000,91.40000,-1.17000,-1.12000,1.65040,0.48870,1.32160,-3.66110,-5.75580,-5.75580,-24.64620,-20.26800,0.36000,1.37740,7.39050,12.17780,-28.42470,-28.42470,-7.71060,-14.53450,4.32500,-0.3045,-0.5195
2022-09-30,637.20000,680.20000,-43.00000,8.70000,0.20000,8.50000,-51.50000,116.40000,64.90000,20.60000,44.30000,,44.30000,41.60000,-36.10000,-51.50000,91.30000,97.30000,0.46000,0.43000,1.86800,0.41740,0.95120,-6.74830,-8.08220,-8.08220,10.18520,6.52860,0.40240,1.77510,7.34100,12.25990,8.57530,8.57530,2.79740,4.99610,5.65540,-0.115,-0.3058
