Date,revenue,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-03-31,,,0.40860,,-0.40860,-0.04030,-0.44890,-0.44890,-0.44890,0.04170,-0.40720,-0.40860,-0.40860,1.14800,1.14800,-0.35000,-0.35000,0.42360,,,,,,,,,,,36.22390,36.22400,-49.28370,36.22400,-1.07950,-0.17620,-0.17620
2023-12-31,,,-2.65900,-0.66820,2.10890,-0.11660,-0.91750,-0.91750,-0.91750,-0.54140,-1.40400,2.12560,-0.80090,1.11180,1.11180,-1.27880,-1.27880,0.60320,,,,,,,,,,,121.90480,121.90550,-80.19430,121.90550,-0.65560,0.1615,1.0609
2023-09-30,1.56580,1.56580,2.05020,-2.33600,-2.89760,0.03990,-2.85770,-2.85770,-2.85770,,-2.91270,-2.82040,-2.89760,1.10710,1.10710,-2.63000,-2.63000,0.84240,0.02760,0.05690,100.00000,-185.05390,-185.05390,-182.50320,-186.01570,0.36720,2.12670,42.31920,87.34670,-1793.07200,-67.01080,-270.20360,0.92730,-1.1575,-1.1575
2023-06-30,1.34400,1.34400,2.17520,-0.42990,-1.38100,-0.02240,-1.40330,-1.40330,-1.40330,,-1.40330,-1.26120,-1.38100,1.10360,1.10360,-1.20120,-1.20120,0.32530,-0.11740,-0.26190,100.00000,-102.75120,-102.75120,-104.41470,-104.41470,0.28930,1.98050,45.44300,390.92530,111.29730,-30.21110,436.83260,-0.32390,-0.2248,-0.2248
2023-03-31,,,1.24900,0.00010,-1.29600,-0.00080,-1.29690,-1.29690,-1.29690,-2.40180,-3.69870,-1.10620,-1.29600,1.10000,1.10000,-3.36000,-3.36000,0.51020,0.04610,0.11210,,,,,,,,,-130.08220,637.88010,-22.19590,-124.08040,0.90680,-1.28870,-1.28870
2022-12-31,,,-10.90080,0.55640,12.16930,0.05380,-0.49110,-0.49110,-0.49110,,-6.97300,12.42900,-0.54500,0.94250,0.94250,-6.79430,-6.79430,1.68420,,,,,,,,,,,-10.55920,-11.14320,-4.43200,-10.55920,4.23610,-1.9303,-2.2827
2022-09-30,3.78620,3.78620,5.52120,-4.12970,-6.34620,0.01250,-6.33360,-6.33360,-6.33360,,-6.33360,-5.86460,-6.34620,0.91420,0.91420,-6.93000,-6.93000,1.68250,0.00660,0.01350,100.00000,-167.61160,-167.61160,-167.28060,-167.28060,0.20430,1.19990,75.00860,-54.81330,-112.64560,-34.17630,-54.44910,10.67580,-2.4234,-2.3492
2022-06-30,5.03310,5.03310,5.96360,-0.43210,-1.80120,-0.04290,-1.84410,-1.84410,-1.84410,,-1.84410,-1.36250,-1.80120,0.89250,0.89250,-2.10210,-2.10210,1.17730,0.00650,0.01350,100.00000,-35.78630,-35.78630,-36.63950,-36.63950,0.22810,1.64750,54.62880,-13.08360,-45.18540,-8.35640,-12.99870,15.50990,-3.6166,-3.3682
2022-03-31,3.89500,3.89500,6.08510,-0.50790,-3.14480,-0.01730,-3.16210,-3.16210,-3.16210,,-3.16210,-2.69800,-3.14480,0.87810,0.87810,-3.60360,-3.60360,1.27470,0.00740,0.01500,100.00000,-80.74020,-80.74020,-81.18450,-81.18450,0.16100,2.25790,39.85970,-21.12010,-66.45610,-13.06670,-20.96360,17.04040,-2.95260,-3.19870
2021-12-31,4.36860,4.36860,6.14840,-0.73120,-2.84560,-0.03590,-2.88150,-2.88150,-2.88150,,-2.88150,-2.19810,-2.84560,0.75100,0.75100,-3.90390,-3.90390,1.83780,0.00740,0.02270,100.00000,-65.13750,-65.13750,-65.95880,-65.95880,0.16040,3.61240,24.91440,-16.04990,-38.45120,-10.58220,-15.93100,20.56340,-3.2996,-3.7677
