,Announcement Date,Fiscal Quarter End,Estimated EPS,Actual EPS
0,2024-11-12,2024-09-30,$0.54,$0.53
1,2024-08-14,2024-06-30,$0.47,$0.56
2,2024-05-23,2024-03-31,$0.55,$0.70
3,2024-02-07,2023-12-31,$0.67,$0.70
4,2023-11-08,2023-09-30,$0.58,$0.67
5,2023-08-16,2023-06-30,$0.64,$0.52
6,2023-05-16,2023-03-31,$0.74,$0.65
7,2023-02-14,2022-12-31,$0.64,$1.02
8,2022-11-15,2022-09-30,$0.80,$0.79
9,2022-08-24,2022-06-30,--,$0.61
10,2022-05-11,2022-03-31,--,$0.45
11,2022-02-16,2021-12-31,--,$1.18
12,2021-11-16,2021-09-30,--,$0.60
13,2021-08-17,2021-06-30,--,$0.29
14,2021-05-21,2021-03-31,--,$0.64
15,2021-02-17,2020-12-31,--,$0.45
16,2020-11-17,2020-09-30,--,$0.02
17,2020-08-24,2020-06-30,--,$-0.01
18,2020-05-28,2020-03-31,--,$0.17
19,2020-02-26,2019-12-31,--,$0.44
20,2019-11-20,2019-09-30,--,$0.01
21,2019-08-20,2019-06-30,--,$-0.07
22,2019-05-31,2019-03-31,--,$-0.06
