Date,revenue,gross-profit,selling-general-administrative-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,271.67700,271.67700,220.69600,50.98100,6.90700,57.88800,4.75000,53.13800,53.13800,17.63200,62.49400,50.98100,68.77200,69.69500,0.26000,0.26000,0.19470,0.09630,100.00000,18.76530,18.76530,21.30770,6.49010,0.06720,3.98920,22.56090,2.97110,5.75360,1.31530,2.97110,15.53000,0.7589,0.7405
2024-06-30,186.40100,186.40100,139.25000,47.15100,7.69100,54.84200,6.79700,48.04500,48.04500,13.32800,58.59600,47.15100,66.18800,68.59400,0.20000,0.20000,0.19990,0.09610,100.00000,25.29550,25.29550,29.42150,7.15020,0.04860,3.19540,28.16540,2.68260,5.24610,1.25300,2.68260,15.73510,0.73140,0.72300
2024-03-31,356.81000,356.81000,269.18600,87.62400,6.89100,94.51500,11.97300,82.54200,82.54200,30.82300,99.19200,87.62400,63.48900,66.54400,0.47000,0.47000,0.17090,0.08990,100.00000,24.55760,24.55760,26.48890,8.63850,0.09420,6.28530,14.31910,4.98870,10.73120,2.17860,4.98870,14.95390,0.0253,0.0224
2023-12-31,-14.61200,-14.61200,19.15300,-33.76500,9.62300,-24.14200,-0.72300,-23.41900,-23.41900,-20.22600,-21.48800,-33.76500,64.06900,64.06900,-0.32000,-0.32000,0.17620,0.07780,100.00000,231.07720,231.07720,165.22040,138.42050,-0.00420,-0.25140,-358.01670,-1.47310,-3.37480,-0.67530,-1.47310,14.40220,0.4576,0.3864
2023-09-30,191.42200,191.42200,130.32500,61.09700,5.88300,66.98000,7.72900,59.25100,59.25100,26.22500,73.20700,61.09700,62.85800,66.19800,0.42000,0.42000,0.15310,0.07540,100.00000,31.91740,31.91740,34.99080,13.70010,0.05300,4.23150,21.26890,3.61640,8.17770,1.64200,3.61640,14.84280,1.0684,0.9658
2023-06-30,178.01100,178.01100,121.19600,56.81500,1.22800,58.04300,8.59700,49.44600,49.44600,21.26900,68.92000,56.81500,62.83500,65.73900,0.34000,0.34000,0.13550,0.06050,100.00000,31.91660,31.91660,32.60640,11.94810,0.05040,3.86220,23.30300,3.03620,7.02340,1.40040,3.03620,14.90590,0.87600,0.75800
2023-03-31,172.37400,172.37400,100.24400,72.13000,-4.62500,67.50500,10.68900,56.81600,56.81600,28.80100,84.38300,72.13000,61.88500,61.88500,0.47000,0.47000,0.13250,0.06040,100.00000,41.84510,41.84510,39.16190,16.70840,0.04930,3.87790,23.20830,3.48820,8.19150,1.62450,3.48820,14.90810,0.0038,-0.0365
2022-12-31,-4.23500,-4.23500,5.24800,-9.48300,-4.80400,-14.28700,-0.73200,-13.55500,-13.55500,-6.93800,2.69800,-9.48300,62.19300,62.19300,-0.11000,-0.11000,0.12420,0.05190,100.00000,223.91960,223.91960,337.35530,163.82530,-0.00120,-0.09900,-908.90440,-0.84440,-2.05640,-0.38690,-0.84440,14.70070,0.0663,0.0497
2022-09-30,-158.49500,-158.49500,-104.15100,-54.34400,-20.14300,-74.48700,-7.42200,-67.06500,-67.06500,-29.22100,-42.50200,-54.34400,61.40800,61.40800,-0.48000,-0.48000,0.10330,0.03850,100.00000,34.28750,34.28750,46.99640,18.43650,-0.04430,-4.61490,-19.50190,-4.08660,-9.80220,-1.87560,-4.08660,15.08680,1.4328,1.4044
2022-06-30,-77.21800,-77.21800,-68.41800,-8.80000,-11.38500,-20.18500,1.28600,-21.47100,-21.47100,-11.04000,2.83900,-8.80000,61.14400,61.14400,-0.18000,-0.18000,0.08710,0.03600,100.00000,11.39630,11.39630,26.14030,14.29720,-0.01980,-2.21310,-40.66770,-1.22740,-2.74710,-0.54970,-1.22740,16.15440,0.94010,0.93440
