Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,other-income,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-06-30,12956.78000,11910.28000,1046.49800,,520.09790,,520.10000,526.40040,-22.73250,503.66750,121.31350,382.35400,,382.35400,370.95310,1070.83200,526.40040,303.50400,316.57600,1.22220,1.07750,2.02690,0.21160,0.46820,8.07680,4.06270,4.06270,3.88730,2.86300,0.17580,1.26170,1.36190,66.08240,0.89230,0.96650,0.51880,0.70360,141.17880,6.0806,2.3635
2024-03-31,14441.56000,13378.49000,1063.06600,,596.64880,,596.65000,466.41800,119.59120,586.00880,99.75680,486.25200,,486.25200,432.57200,1269.22300,466.41800,303.50400,316.76000,1.42520,1.14380,2.02800,0.20320,0.45940,7.36120,3.22970,3.22970,4.05780,2.99530,0.17480,1.19660,1.31500,68.43950,1.00640,1.09170,0.58860,0.80190,159.19810,0.72010,-3.93350
2023-12-31,14874.77000,13995.70000,879.07520,,657.73760,-612.66000,1270.40000,-391.32520,209.84480,-181.47520,75.09520,-256.57040,,-256.57040,-164.92070,386.97560,-391.32420,303.48000,303.48000,-0.54320,-0.54320,2.08000,0.20120,0.43580,5.90990,-2.63080,-2.63080,-1.22000,-1.10870,0.18320,1.20180,1.45830,61.71770,-0.53810,-0.58430,-0.31600,-0.42990,157.09420,4.9781,-0.7824
2023-09-30,15168.67000,13639.83000,1528.84000,,572.67760,0.81040,571.86000,956.97270,-292.08000,664.89280,224.49120,440.40160,,440.40160,390.56080,1743.75400,956.97270,303.50400,303.50400,1.28680,1.28680,2.20350,0.20800,0.46290,10.07890,6.30890,6.30890,4.38330,2.57480,0.18410,1.20460,1.42080,63.34290,0.91250,0.99280,0.53460,0.72270,159.01860,5.8949,1.4085
2023-06-30,16097.10000,14470.02000,1627.07400,,559.95520,-6.13600,566.09000,1060.98300,-237.06560,823.91760,203.14560,620.77200,,620.77200,551.78640,1809.32700,1060.98300,303.50400,315.69600,1.81800,1.81800,2.30080,0.21900,0.46240,10.10790,6.59110,6.59110,5.11840,3.42790,0.19520,1.20360,1.45550,61.83350,1.29590,1.41200,0.75280,1.01200,157.83550,6.0999,2.1329
2023-03-31,15504.70000,14405.95000,1098.74900,,532.24240,-2.74400,534.99000,563.76270,237.24320,801.00560,128.76160,672.24400,,672.24400,581.13520,1326.06000,563.76270,303.39600,303.39600,1.91540,1.91540,2.19810,0.20960,0.46420,7.08660,3.63610,3.63610,5.16620,3.74810,0.18830,1.19830,1.44230,62.39840,1.41220,1.53910,0.81660,1.11610,156.84400,-0.71430,-4.28130
2022-12-31,26216.58000,24957.50000,1259.08400,,970.90640,-509.03900,1479.94000,-220.85740,-416.68170,-637.54710,-486.10100,-151.44590,,-151.44590,-155.19080,1196.04400,-220.85640,303.26000,315.62400,-0.51820,-0.54600,2.05860,0.17550,0.41770,4.80260,-0.84240,-0.84240,-2.43180,-0.59200,0.29420,1.71880,2.46550,36.50370,-0.28920,-0.31540,-0.16990,-0.23840,172.62100,10.6676,2.9709
2022-09-30,14808.17000,13682.60000,1125.57200,,485.31350,3.41740,481.90000,643.67580,-204.62060,439.05540,24.90880,414.14660,,414.14660,356.93980,1113.22600,643.67580,303.39600,303.39600,1.17600,1.17600,2.01420,0.18110,0.47670,7.60100,4.34680,4.34680,2.96500,2.41040,0.20100,1.12150,1.57450,57.16110,0.98290,1.07900,0.56230,0.80490,144.96930,6.2551,4.4584
2022-06-30,18408.04000,16221.53000,2186.51200,,508.62640,0.70160,507.93000,1678.58600,191.44000,1870.02700,430.87360,1439.15400,,1439.15400,1270.74400,2405.67900,1678.58600,303.39600,315.69600,4.18840,3.86420,2.02460,0.17330,0.43380,11.87800,9.11880,9.11880,10.15880,6.90320,0.22590,1.12880,1.56730,57.42380,3.06210,3.36080,1.76590,2.53130,154.91120,0.6949,-1.7504
2022-03-31,17070.46000,14727.44000,2343.01100,,532.15680,-4.73520,536.90000,1806.11800,165.08640,1971.20600,445.69920,1525.50700,,1525.50700,1369.29000,2516.79400,1806.11800,302.84000,314.97100,4.52150,4.34740,2.16010,0.18410,0.41970,13.72550,10.58040,10.58040,11.54750,8.02140,0.21640,1.14500,1.54490,58.25750,3.33590,3.60090,1.93340,2.72190,131.12480,0.02390,-2.08590
2021-12-31,18910.02000,16106.22000,2803.79500,,667.81080,-432.66600,1100.48000,1703.32000,139.02400,1865.69800,423.52740,1442.17100,,1442.17100,1342.14500,2524.83800,1703.32100,302.78460,306.75340,4.41030,4.09170,2.22930,0.19090,0.39740,14.82700,9.00750,9.00750,9.86620,7.09750,0.22760,1.11180,1.73880,51.75920,2.92870,3.17010,1.73610,2.36960,162.78410,7.1763,3.8001
2021-09-30,18573.20000,15172.53000,3400.66400,,580.82490,-14.78790,595.61000,2805.05100,218.42100,3023.47200,658.61460,2364.85700,,2364.85700,2185.23600,3605.25700,2805.05100,302.50400,306.32800,7.22390,7.10350,2.35530,0.21130,0.42680,18.30950,15.10270,15.10270,16.27870,11.76550,0.22900,1.22080,1.65720,54.30820,4.90950,5.33890,2.91520,3.87210,138.12070,4.5981,2.6123
2021-06-30,16463.22000,13922.30000,2540.91800,,561.61980,1.23120,560.39000,1980.52900,177.52500,2158.05500,531.60030,1626.45500,,1626.45500,1496.41200,2771.11800,1980.52900,302.50400,302.50400,4.94690,4.94690,2.26450,0.19020,0.39920,15.43390,12.03000,12.03000,13.10830,9.08940,0.21920,1.35380,1.63450,55.06310,3.55360,3.88330,2.16510,2.87780,131.24060,4.8983,2.8305
2021-03-31,14461.85000,12537.85000,1923.99700,,532.34010,5.53950,526.80000,1397.19600,6.40620,1403.60300,378.70200,1024.90100,,1024.90100,922.26240,2206.38500,1397.19600,303.64800,303.64800,3.03700,3.03700,2.15660,0.20160,0.43940,13.30400,9.66130,9.66130,9.70560,6.37720,0.19400,1.35870,1.50300,59.87830,2.31390,2.53810,1.37500,1.84740,127.00880,1.69200,0.08610
2020-12-31,11950.47000,10817.10000,1133.37300,,499.69360,-179.44240,679.14000,454.23630,-81.39260,372.84720,-183.08880,555.93600,,555.93600,544.06090,1203.14600,454.23630,320.00400,320.00400,1.71800,1.71800,2.11520,0.19890,0.43060,9.48390,3.80100,3.80100,3.11990,4.55260,0.18750,1.40320,1.55530,57.86570,1.45980,1.61030,0.87210,1.16940,109.19870,6.6007,4.1714
2020-09-30,11408.97000,10443.26000,965.71090,,444.79280,12.44800,432.35000,533.36620,36.35840,569.72480,158.48800,411.23680,,411.23680,372.36560,1253.50200,533.36620,316.92000,316.92000,1.17500,1.17500,2.07740,0.21410,0.49340,8.46450,4.67500,4.67500,4.99370,3.26380,0.17370,1.44710,1.36920,65.73070,1.07560,1.19360,0.62620,0.84530,109.62740,5.4882,4.0289
