Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi
2024-08-31,9174.10700,8901.41900,272.68850,300.24800,,300.24700,-27.55860,112.97300,85.41490,-26.28800,111.70290,111.70290,111.81500,120.61140,-27.55760,1.61250,0.14490,0.22940,2.97240,-0.30040,-0.30040,0.93100,1.21880,0.49020,2.90190,2.58430,34.82550,1.31450,1.03790,0.59690,0.88750
2024-05-31,9608.98300,9141.18800,467.79490,316.43500,,316.43500,151.36040,158.50800,309.86800,12.61300,297.25500,297.25500,297.27400,294.84230,151.36040,1.62410,0.13270,0.19830,4.86830,1.57520,1.57520,3.22480,3.09370,0.52060,2.76570,2.51730,35.75230,3.43640,2.72350,1.61040,2.36230
2024-02-29,9087.48000,8721.58800,365.89260,298.23000,,298.23000,67.66210,117.99600,185.65800,15.32500,170.33300,170.33300,170.30700,207.86410,67.66210,1.57820,0.13440,0.20820,4.02630,0.74460,0.74460,2.04300,1.87410,0.47420,2.21830,2.69670,33.37420,2.00310,1.58190,0.88880,1.36940
2023-11-30,11390.66000,10745.71000,644.95020,252.05600,,252.05000,392.89450,123.95200,516.84600,-6.52200,523.36800,523.36800,522.92300,530.93150,392.89450,1.51970,0.14520,0.21010,5.66210,3.44930,3.44930,4.53750,4.59080,0.55750,2.52750,3.01940,29.80750,6.20590,4.89250,2.56140,4.18190
2023-08-31,9491.26700,9052.74100,438.52540,282.93600,,282.93800,155.58790,163.58000,319.16710,41.35000,277.81710,277.81710,278.01990,294.63490,155.58790,1.54740,0.14830,0.22730,4.62030,1.63930,1.63930,3.36270,2.92920,0.50070,2.81560,3.05600,29.45060,3.39280,2.65790,1.46550,2.26380
2023-05-31,12026.05000,11351.71000,674.33980,273.23800,,273.24000,401.10160,157.01800,558.12000,10.77700,547.34300,547.34300,547.49900,535.70260,401.10160,1.41770,0.15250,0.25370,5.60730,3.33530,3.33530,4.64090,4.55260,0.62650,3.46000,3.13250,28.73090,6.99990,5.42820,2.85160,4.60020
2023-02-28,11306.85000,10922.58000,384.26660,241.92500,,241.93000,142.34180,170.68000,313.02200,20.97400,292.04800,292.04800,292.32100,276.82680,142.34180,1.42340,0.15600,0.31000,3.39850,1.25890,1.25890,2.76840,2.58530,0.56050,2.24830,3.13120,28.74290,3.86040,2.97120,1.44790,2.50770
2022-11-30,12765.84000,11886.70000,879.13480,234.66600,,234.67000,644.46880,173.00100,817.47000,34.55400,782.91600,782.91600,782.59800,775.85680,644.46880,1.35060,0.14640,0.28080,6.88660,5.04840,5.04840,6.40360,6.13040,0.60580,2.34450,2.98500,30.15060,10.48810,8.04740,3.71520,6.86950
2022-08-31,13440.60000,12746.84000,693.75390,305.44000,,305.44000,388.31250,85.47200,473.79000,42.97300,430.81700,430.81700,431.22700,525.24350,388.31350,1.34890,0.14990,0.27120,5.16170,2.88910,2.88910,3.52510,3.20840,0.71400,3.48950,3.78790,23.76000,5.98590,4.55350,2.28860,3.87100
2022-05-31,13137.72000,12493.47000,644.25680,243.13600,,243.13000,401.12110,237.61600,638.73700,62.49200,576.24500,576.24500,576.57400,535.52210,401.12110,1.28300,0.15600,0.40970,4.90390,3.05320,3.05320,4.86190,4.38870,0.63440,2.80650,3.20970,28.03990,7.70680,5.91560,2.78260,4.99260
2022-02-28,10332.59000,10063.59000,268.99800,244.32500,,244.33000,24.67290,206.15400,230.82700,11.93100,218.89600,218.89600,219.00000,157.06190,24.67290,1.27430,0.17270,0.49660,2.60340,0.23880,0.23880,2.23400,2.11950,0.49800,1.89710,2.95650,30.44150,3.08110,2.33650,1.05510,1.93310
2021-11-30,10880.76000,10360.85000,519.90820,204.93400,,204.93000,314.97460,151.68900,466.66300,14.72000,451.94300,451.94300,451.96100,447.74660,314.97460,1.23330,0.14560,0.38060,4.77820,2.89480,2.89480,4.28890,4.15380,0.55470,2.24810,3.03980,29.60710,6.46940,4.88590,2.30410,4.17430
2021-08-31,10482.25000,10125.31000,356.94530,226.72800,,226.72000,130.21780,90.54800,220.76700,-28.11900,248.88600,248.88600,248.91900,264.05870,130.21970,1.26450,0.14910,0.37250,3.40530,1.24230,1.24230,2.10610,2.37470,0.59640,3.03640,3.66400,24.56340,3.68540,2.76010,1.41600,2.34860
