Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,83.73300,74.18700,9.54600,2.04400,9.42700,-5.39200,17.30700,-7.76100,-0.34200,-8.10400,0.01700,-8.12100,-8.12100,-8.12100,-6.51000,-7.76100,20.42980,20.42980,-0.40000,-0.40000,1.54550,0.15850,0.47670,11.40050,-9.26870,-9.26870,-9.67840,-9.69870,1.03460,11.61350,7.74960,-17.23770,-79.37640,-10.03470,-14.50620,2.16120,-0.0095,-0.0111
2024-06-30,89.20700,78.04500,11.16200,1.90600,9.66300,0.28200,11.83300,-0.67100,-0.62900,-1.30000,-0.00600,-1.29400,-1.29400,-1.29400,0.64800,-0.67100,19.76310,19.76310,-0.07000,-0.07000,1.52220,0.07730,0.36200,12.51250,-0.75220,-0.75220,-1.45730,-1.45060,1.11200,11.26490,7.98940,-2.43530,-7.90330,-1.61310,-2.24690,2.52930,-0.1551,-0.1557
2024-03-31,70.50300,61.16700,9.33600,1.95000,10.20200,-2.10900,14.98900,-5.65300,-0.25700,-5.91000,0.01700,-5.92700,-5.92700,-5.92700,-4.17300,-5.65300,19.17850,19.17850,-0.31000,-0.31000,1.25150,0.13520,0.35410,13.24200,-8.01810,-8.01810,-8.38260,-8.40670,0.90100,23.53240,3.82450,-11.41320,-182.70660,-7.57460,-9.86990,2.49210,-0.04940,-0.04940
2023-12-31,74.07200,66.26000,7.81200,2.39500,10.64800,-2.10900,15.91000,-8.09800,-0.24800,-8.34600,0.09300,-8.43900,-8.43900,-8.43900,-6.59200,-8.09800,16.26600,16.26600,-0.50000,-0.50000,1.41840,0.11660,0.31800,10.54650,-10.93260,-10.93260,-11.26740,-11.39300,0.93460,22.09790,4.07280,-15.27860,-147.58650,-10.64750,-13.49700,2.67200,-0.2638,-0.2639
2023-09-30,93.52400,83.77000,9.75400,1.76000,10.58900,-1.88600,15.12600,-5.37200,-0.10600,-5.47800,0.01800,-5.49600,-5.49600,-5.49600,-3.74800,-5.37200,16.07420,16.07420,-0.34000,-0.34000,1.43090,0.11930,0.29110,10.42940,-5.74400,-5.74400,-5.85730,-5.87660,1.18690,22.67800,3.96860,-9.84880,-98.84900,-6.97490,-8.67420,3.07050,-0.0905,-0.0912
2023-06-30,100.08900,88.89200,11.19700,1.87500,10.83500,-1.90400,15.43400,-4.23700,-0.08300,-4.32000,0.02500,-4.34500,-4.34500,-4.34500,-2.70600,-4.23700,16.02400,16.02400,-0.27000,-0.27000,1.42740,0.12120,0.29680,11.18700,-4.23320,-4.23320,-4.31620,-4.34110,1.19600,23.13660,3.88990,-7.49400,-63.57920,-5.19220,-6.58570,3.19950,-0.1975,-0.1976
2023-03-31,77.54100,69.17200,8.36900,1.57900,10.02700,-1.61400,13.91500,-5.54600,-0.14300,-5.68900,0.01200,-5.70100,-5.70100,-5.70100,-4.18900,-5.54600,16.01110,16.01110,-0.36000,-0.36000,1.29000,0.07720,0.19160,10.79300,-7.15230,-7.15230,-7.33680,-7.35220,0.98690,22.73930,3.95790,-9.63980,-82.32490,-7.25600,-8.89540,3.27260,-0.09810,-0.09860
2022-12-31,83.43900,77.01000,6.42900,3.73700,9.74600,-2.05700,16.39900,-9.97000,-0.21700,-10.18700,-0.23900,-9.94800,-9.94800,-9.94800,-8.40900,-9.97000,16.00140,16.00140,-0.63000,-0.63000,1.50540,0.07970,0.17930,7.70500,-11.94890,-11.94890,-12.20890,-11.92250,1.04060,27.14350,3.31570,-16.03970,-108.66200,-12.40600,-14.76160,3.55040,-0.002,0.0009
2022-09-30,111.26400,99.44800,11.81600,1.45600,12.98500,-2.42000,17.71300,-5.89700,-0.11500,-6.01200,,-6.01200,-6.01200,-6.01200,-4.51700,-5.89700,15.80460,15.80460,-0.38000,-0.38000,1.58710,0.07650,0.23700,10.61980,-5.30000,-5.30000,-5.40340,-5.40340,1.17130,26.29110,3.42320,-8.76050,-39.53440,-6.32890,-8.09020,4.01910,-0.4323,-0.4487
2022-06-30,128.17900,116.30900,11.87000,1.04800,13.68700,-1.59700,17.14500,-5.27500,-0.23400,-5.50900,0.16000,-5.66900,-5.66900,-5.66900,-3.93100,-5.27500,16.04000,16.04000,-0.35000,-0.35000,1.90370,0.07530,0.18770,9.26050,-4.11530,-4.11530,-4.29790,-4.42270,1.32910,25.53370,3.52480,-7.79290,-30.02490,-5.87830,-7.20620,4.26610,-0.0776,-0.1038
