Date,research-development-expenses,selling-general-administrative-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2023-09-30,10.40700,5.38600,-36.64900,0.43400,-36.21500,-36.21500,-36.21500,-36.21500,-35.58500,-36.64900,39.35450,39.35450,-0.92000,-0.92000,1.58460,,,-336.60190,-336.60200,-137.48010,-336.60190,0.27150,-0.4333,-0.4349
2023-06-30,12.91500,6.83500,-19.75000,0.56400,-19.18600,-19.18600,-19.18600,-19.18600,-18.02100,-19.75000,39.15660,39.15660,-0.49000,-0.49000,3.49460,,,-42.94660,-42.94670,-16.67350,-42.94670,1.14090,-0.4587,-0.4592
2023-03-31,13.45200,8.07900,-21.53100,0.52100,-21.01000,-21.01000,-21.01000,-21.01000,-19.80300,-21.53100,39.09220,39.09220,-0.54000,-0.54000,4.24020,,,-34.46180,-34.46180,-15.62940,-34.46180,1.55700,-0.36950,-0.37150
2022-12-31,13.76700,7.53600,-21.30300,-0.04200,-21.34500,-21.34500,-21.34500,-21.34500,-19.53400,-21.30300,38.59390,38.59390,-0.55000,-0.55000,4.78890,,,-27.22370,-27.22370,-13.76830,-27.22370,2.00700,-0.4054,-0.4093
2022-09-30,16.04500,7.24700,-23.29200,0.23300,-23.05900,-23.05900,-23.05900,-23.05900,-21.42800,-23.29200,38.72060,38.72060,-0.60000,-0.60000,6.36750,,,-23.95670,-23.95670,-13.40060,-23.95670,2.46380,-0.4183,-0.4245
2022-06-30,19.95300,8.07700,-28.03000,0.15300,-27.87700,-27.87700,-27.87700,-27.87700,-26.26400,-28.03000,38.59140,38.59140,-0.72000,-0.72000,8.14010,,,-24.19820,-24.19820,-14.60830,-24.19820,2.98520,-0.5951,-0.6062
2022-03-31,17.06400,8.60600,-25.67000,0.79400,-24.87600,-24.87600,-24.87600,-24.87600,-23.93200,-25.67000,37.98290,37.98290,-0.65000,-0.65000,9.56680,,,-18.05450,-18.05450,-11.64120,-18.05450,3.57030,-0.67270,-0.67450
2021-12-31,22.20400,7.30600,-29.51000,-0.00800,-29.51800,-29.51800,-29.51800,-29.51800,-26.66400,-29.51000,37.03820,37.03820,-0.79000,-0.79000,7.24130,,,-19.05260,-19.05260,-14.75480,-19.05260,4.10320,-0.4309,-0.5264
2021-09-30,18.72100,8.79600,-27.51700,0.15900,-27.35800,-27.35800,-27.35800,-27.35800,-27.03300,-27.51700,36.91830,36.91830,-0.74000,-0.74000,10.03190,,,-15.59490,-15.59490,-12.42070,-15.59490,4.74580,-0.4343,-0.5013
2021-06-30,19.03600,8.03100,-27.06700,0.39300,-26.67400,-26.67500,-26.67500,-26.67500,-25.41100,-27.06700,36.89380,36.89380,-0.72000,-0.72000,13.48220,,,-13.43130,-13.43130,-11.07580,-13.43130,5.38310,-0.2992,-0.7867
2021-03-31,18.38800,7.82100,-26.20900,0.43400,-25.77500,-25.77500,-25.77500,-25.77500,-25.16500,-26.20900,36.84110,36.84110,-0.70000,-0.70000,11.98500,,,-11.64190,-11.64190,-9.84520,-11.64190,6.00140,-0.48040,-0.77780
2020-12-31,16.84700,6.63900,-23.48600,0.47900,-23.00700,-23.00500,-23.00500,-23.00700,-22.91400,-23.48600,31.92450,31.92450,-0.60000,-0.60000,14.30260,0.00000,0.00000,-9.50400,-9.50400,-8.45570,-9.50380,6.57690,-0.6895,-0.7396
2020-09-30,16.80800,6.61400,-23.42200,0.49400,-22.92800,-22.92900,-22.92900,-22.92900,-22.78600,-23.42200,34.72390,34.72390,-0.66000,-0.66000,28.48110,0.00010,0.00010,-8.77560,-8.77560,-8.33200,-8.77510,7.12090,-0.2052,-0.2049
2020-06-30,14.18000,6.45800,-20.63800,0.65700,-19.98100,-19.98100,-19.98100,-19.98100,-20.01000,-20.63800,28.14470,28.14470,-0.71000,-0.71000,20.21350,0.00020,0.00020,-12.96500,-12.96500,-12.14350,-12.96260,5.46640,-0.5544,-0.6433
2020-03-31,14.21000,7.12300,-21.33300,0.91500,-20.41800,-20.41800,-20.41800,-20.41800,-20.79200,-21.33300,28.02040,28.02040,-0.73000,-0.73000,22.48940,0.00020,0.00020,-12.00110,-12.00110,-11.40870,-11.99820,6.05610,-0.63930,-0.65800
2019-12-31,14.27900,6.92600,-21.20500,1.09100,-20.11400,-20.11300,-20.11300,-20.11300,-20.72600,-21.20500,15.83420,15.83420,6.38000,6.38000,22.16170,0.00030,0.00030,-10.75840,-10.75840,-10.27670,-10.75530,6.68400,-2.1828,-2.3353
2019-09-30,12.81200,4.86400,-17.67600,1.80600,-15.87000,-15.86900,-15.86900,-15.87100,-17.25000,-17.67600,27.94970,27.94970,-0.57000,-0.57000,27.38360,0.00030,0.00030,-7.74120,-7.74120,-7.46010,-7.73870,7.33170,3.9529,4.0534
2019-06-30,15.92200,3.53700,-19.45900,1.53800,-17.92100,-17.92100,-17.92100,-17.92100,-19.06400,-19.45900,4.88900,4.88900,-3.67000,-3.67000,26.46160,0.00040,0.00040,-8.18750,-8.18750,-7.88150,-8.18460,7.83200,0.6516,0.5641
2019-03-31,11.71300,2.51800,-14.23100,0.65300,-13.57800,-13.57900,-13.57900,-13.57900,-13.83400,-14.23100,2.12090,2.12090,-6.40000,-6.40000,,,,,,,,,-6.11860,-6.19680
2018-12-31,,,,,,,,,,,,,,0.00000,,,,,,,,,11.2339,11.8617
2018-09-30,7.82000,1.87500,-9.69500,0.06300,-9.63200,-9.63200,-9.63200,-9.63200,-9.33500,-9.69500,2.11200,2.11200,-4.56000,-4.56000,,,,,,,,,-3.5459,-3.879
2018-06-30,7.41900,1.63200,-9.05100,0.38400,-8.66700,-8.66800,-8.66800,-8.66800,-9.05100,-9.05100,2.09730,2.09730,-4.13000,-4.13000,,,,,,,,,-7.688,-7.9827
