Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2021-09-30,154.88100,82.29600,72.58500,-8.38900,-30.79300,22.40400,50.18100,50.18100,10.34100,39.84000,39.84000,39.84000,54.29500,50.18100,3.63600,3.63600,10.95700,10.95700,32.39970,32.39970,32.39970,25.72300,0.01070,1.55850,1.55850,0.27630,1.55850,703.03460,-2.3155,-3.2285
2021-06-30,222.16500,105.87700,116.28800,25.12300,-28.46800,53.59100,62.69700,62.69700,12.79800,49.89900,49.89900,49.89900,66.65000,62.69700,3.63600,3.63600,13.72000,13.72000,28.22090,28.22090,28.22090,22.46030,0.01540,1.96460,1.96460,0.34480,1.96460,698.52690,-13.7882,-14.3988
2021-03-31,230.37800,90.73400,139.64400,29.98900,-31.33500,61.32400,78.32000,78.32000,16.19100,62.12900,62.12900,62.12900,81.94300,78.32000,3.63600,3.63600,17.09000,17.09000,33.99630,33.99630,33.99630,26.96830,0.01580,2.53540,2.53540,0.42550,2.53540,673.95360,15.37130,14.65540
2020-12-31,223.53700,123.95700,99.58000,28.56600,-29.85400,58.42000,41.16000,41.16000,6.02400,35.13600,35.13600,35.13600,45.96200,41.16000,3.63600,3.63600,9.67000,9.67000,18.41310,18.41310,18.41310,15.71820,0.01530,1.38340,1.38340,0.23990,1.38340,698.50110,25.7635,24.4205
2020-09-30,202.70200,112.81900,89.88300,50.80000,-25.75400,76.55400,13.32900,13.32900,2.50400,10.82500,10.82500,10.82500,16.57200,13.32900,3.63600,3.63600,2.98000,2.98000,6.57570,6.57570,6.57570,5.34040,0.01630,0.48870,0.48870,0.08720,0.48870,609.24910,19.4763,17.5655
2020-06-30,216.01500,95.20300,120.81200,31.10000,-29.15400,60.25400,60.55800,60.55800,12.14500,48.41300,48.41300,48.41300,63.94400,60.55800,3.63600,3.63600,13.31000,13.31000,28.03420,28.03420,28.03420,22.41190,0.01740,2.21800,2.21800,0.39070,2.21800,600.31070,28.3053,28.2456
2020-03-31,52.48800,5.60800,46.88000,30.03700,-19.82200,49.85900,-2.97900,-2.97900,-0.91700,-2.06200,-2.06200,-2.06200,0.86400,-2.97900,3.63600,3.63600,-0.57000,-0.57000,-5.67560,-5.67560,-5.67560,-3.92850,0.00430,-0.10160,-0.10160,-0.01680,-0.10160,558.43730,29.05970,29.04370
2019-12-31,235.42800,130.40800,105.02000,30.22900,-27.36200,57.59100,47.42900,47.42900,9.69600,37.73300,37.73300,37.73300,51.07100,47.42900,3.63600,3.63600,10.37000,10.37000,20.14590,20.14590,20.14590,16.02740,0.01880,1.78290,1.78290,0.30060,1.78290,582.07640,23.3405,23.7585
2019-09-30,173.16600,99.36300,73.80300,22.99800,-25.81300,48.81100,24.99200,24.99200,5.00300,19.98900,19.98900,19.98900,28.46500,24.99200,3.63600,3.63600,5.50000,5.50000,14.43240,14.43240,14.43240,11.54330,0.01380,0.95570,0.95570,0.15920,0.95570,608.74620,22.0781,21.1534
2019-06-30,192.68500,93.79600,98.88900,31.41100,-25.33400,56.74500,42.14400,42.14400,8.44800,33.69600,33.69600,33.69600,44.02500,42.14400,3.63600,3.63600,9.27000,9.27000,21.87200,21.87200,21.87200,17.48760,0.01530,1.63960,1.63960,0.26720,1.63960,565.22220,20.4848,20.2305
2019-03-31,217.90900,109.10500,108.80400,32.16400,-26.04900,58.21300,50.59100,50.59100,10.39300,40.19800,40.19800,40.19800,55.53600,50.59100,3.63600,3.63600,11.06000,11.06000,23.21660,23.21660,23.21660,18.44720,0.01720,2.02720,2.02720,0.31780,2.02720,545.35200,24.58860,24.56740
2018-12-31,42.48800,-26.57100,69.05900,24.69800,-21.50400,46.20200,22.85700,22.85700,1.08100,21.77600,21.77600,21.77600,25.89700,22.85700,3.63600,3.63600,5.99000,5.99000,53.79640,53.79640,53.79640,51.25210,0.00360,1.14560,1.14560,0.18250,1.14560,522.76590,28.7461,28.7275
2018-09-30,225.43500,129.88900,95.54600,26.77500,-24.03700,50.81200,44.73400,44.73400,9.09300,35.64100,35.64100,35.64100,47.63500,44.73400,3.63600,3.63600,9.80000,9.80000,19.84340,19.84340,19.84340,15.80990,0.01860,1.89280,1.89280,0.29480,1.89280,517.88140,21.1612,21.1386
2018-06-30,174.65800,78.45100,96.20700,31.06900,-24.79500,55.86400,40.34300,40.34300,7.87700,32.46600,32.46600,32.46600,42.98100,40.34300,3.63600,3.63600,8.93000,8.93000,23.09830,23.09830,23.09830,18.58830,0.01450,1.75790,1.75790,0.26860,1.75790,507.95020,19.8809,19.761
2018-03-31,109.01800,19.58300,89.43500,32.22900,-23.63300,55.86200,33.57300,33.57300,6.69800,26.87500,26.87500,26.87500,36.71700,33.57300,3.63600,3.63600,7.39000,7.39000,30.79580,30.79580,30.79580,24.65190,0.00900,1.47000,1.47000,0.22160,1.47000,502.81380,20.04210,19.34240
2017-12-31,247.81500,150.01600,97.79900,28.39500,-32.97100,61.36600,36.43300,36.43300,-3.15400,39.58700,39.58700,39.58700,38.47000,36.43300,3.63600,3.63600,10.89000,10.89000,14.70170,14.70170,14.70170,15.97440,0.02030,2.16070,2.16070,0.32380,2.16070,503.89820,22.7546,20.7949
2017-09-30,203.99000,128.81400,75.17600,18.72200,-22.59600,41.31800,33.85800,33.85800,12.04500,21.81300,21.81300,21.81300,36.36200,33.85800,3.63600,3.63600,6.00000,6.00000,16.59790,16.59790,16.59790,10.69320,0.01680,1.21000,1.21000,0.17970,1.21000,495.78710,17.2294,16.8267
2017-06-30,198.22600,100.02400,98.20200,33.05800,-26.34300,59.40100,38.80100,38.80100,13.31800,25.48300,25.48300,25.48300,41.39400,38.80100,3.63600,3.63600,7.01000,7.01000,19.57410,19.57410,19.57410,12.85550,0.01650,1.43130,1.43130,0.21200,1.43130,489.65340,10.5659,11.2622
2017-03-31,224.41700,129.65000,94.76700,34.21200,-25.09200,59.30400,35.46300,35.46300,11.92500,23.53800,23.53800,23.53800,38.05300,35.46300,3.63600,3.64000,6.47000,6.47000,15.80230,15.80230,15.80230,10.48850,0.01870,1.34560,1.34560,0.19560,1.34560,481.08520,25.39340,25.38410
2016-12-31,184.48500,85.75600,98.72900,32.55800,-28.14300,60.70100,38.02800,38.02800,14.41700,23.61100,23.61100,23.61100,40.03500,38.02800,3.63600,3.63700,6.49000,6.48000,20.61310,20.61310,20.61310,12.79830,0.01550,1.37130,1.37130,0.19850,1.37130,473.55000,17.2806,3.8942
2016-09-30,181.84700,85.20600,96.64100,24.39500,-23.59500,47.99000,48.65100,48.65100,14.91500,33.73600,33.73600,33.73600,50.50900,48.65100,3.63600,3.63600,9.28000,9.28000,26.75380,26.75380,26.75380,18.55190,0.01530,1.94410,1.94410,0.28400,1.94410,477.26020,16.7112,16.7112
2016-06-30,167.09400,78.33900,88.75500,28.96600,-19.40300,48.36900,40.38600,40.38600,14.10000,26.28600,26.28600,26.28600,42.44000,40.38600,3.63600,3.63600,7.23000,7.23000,24.16960,24.16960,24.16960,15.73130,0.01420,1.54590,1.54590,0.22270,1.54590,467.65920,22.6032,22.6032
2016-03-31,148.94200,64.61800,84.32400,35.22000,-23.30700,58.52700,25.79700,25.79700,8.53800,17.25900,17.25900,17.25900,27.75900,25.79700,3.63600,3.63700,4.75000,4.75000,17.32020,17.32020,17.32020,11.58770,0.01270,1.04390,1.04390,0.14770,1.04390,454.69090,28.40450,28.40450
2015-12-31,180.58400,80.05700,100.52700,32.55300,-20.64800,53.20100,47.32600,47.32600,15.33500,31.99100,31.99100,31.99100,48.51200,47.32600,3.63600,3.63700,8.79300,8.79500,26.20720,26.20720,26.20720,17.71530,0.01560,1.98460,1.98460,0.27550,1.98460,443.34050,27.2114,27.2114
2015-09-30,106.10400,30.44000,75.66400,32.05800,-18.48200,50.54000,25.12400,25.12400,8.90300,16.22100,16.22100,16.22100,25.67700,25.12400,3.63600,3.63700,4.46000,4.46000,23.67870,23.67870,23.67870,15.28780,0.00920,1.01330,1.01330,0.14050,1.01330,440.25440,24.4927,24.4927
2015-06-30,155.21800,65.55100,89.66700,28.07000,-18.80200,46.87200,42.79500,42.79500,13.93700,28.85800,28.85800,28.85800,43.73100,42.79500,3.63600,3.63700,7.93700,7.93500,27.57090,27.57090,27.57090,18.59190,0.01350,1.81250,1.81250,0.25060,1.81250,437.87900,18.5411,18.5411
2015-03-31,147.89000,68.30500,79.58500,27.65200,-20.51000,48.16200,31.42300,31.42300,10.09700,21.32600,21.32600,21.32600,32.26000,31.42300,3.63600,3.63800,5.87000,5.86000,21.24760,21.24760,21.24760,14.42020,0.01290,1.34410,1.34410,0.18610,1.34410,436.37290,24.94970,24.94970
2014-12-31,184.31600,87.05600,97.26000,35.85000,-20.13700,55.98700,41.27310,41.27300,13.16000,28.11300,28.11300,28.11300,42.35010,41.27310,3.63600,3.63700,7.73000,7.74200,22.39260,22.39260,22.39250,15.25260,0.01620,1.80640,1.80640,0.24770,1.80640,428.03080,22.9841,22.9841
2014-09-30,159.62000,72.37400,87.24600,23.46700,-20.45100,43.91800,43.32800,43.32800,14.86200,28.46600,28.46600,28.46600,43.74300,43.32800,3.63600,3.63800,7.83000,7.82000,27.14450,27.14450,27.14450,17.83360,0.01420,1.85550,1.85550,0.25280,1.85550,421.93010,21.1624,21.1624
2014-06-30,206.84100,117.22500,89.61600,27.25800,-19.50000,46.75800,42.85800,42.85800,13.67500,29.18300,29.18300,29.18300,43.46700,42.85800,3.63500,3.63700,8.03000,8.02000,20.72030,20.72030,20.72030,14.10890,0.01860,1.92510,1.92510,0.26300,1.92510,416.91330,21.9131,21.9131
2014-03-31,158.00300,75.89900,82.10400,28.57900,-23.46300,52.04200,30.06200,30.06200,10.23600,19.82600,19.82600,19.82600,30.72900,30.06200,3.63500,3.63700,5.45000,5.45000,19.02620,19.02620,19.02620,12.54790,0.01450,1.34170,1.34170,0.18170,1.34170,406.51660,20.07290,20.07290
2013-12-31,258.18400,167.33900,90.84510,24.33300,-26.25100,50.58390,40.26110,40.26100,12.41900,27.84200,27.84200,27.84200,41.21410,40.26110,3.63500,3.63900,7.65200,7.66000,15.59400,15.59400,15.59390,10.78380,0.02380,1.92290,1.92290,0.25710,1.92290,398.33510,16.4034,16.4034
2013-09-30,188.19200,104.42700,83.76500,24.24400,-22.67500,46.91900,36.84600,36.84600,12.06400,24.78200,24.78200,24.78200,37.22200,36.84600,3.63500,3.63900,6.81800,6.81000,19.57890,19.57890,19.57890,13.16850,0.01760,1.74300,1.74300,0.23230,1.74300,391.15210,7.6285,7.6285
2013-06-30,182.85900,89.88800,92.97100,28.85200,-24.84300,53.69500,39.27600,39.27600,12.28500,26.99100,26.99100,26.99100,39.64300,39.27600,3.63500,3.64200,7.43000,7.41000,21.47890,21.47890,21.47890,14.76060,0.01740,1.92770,1.92770,0.25670,1.92770,385.19400,23.0526,23.0526
2013-03-31,231.03200,152.99000,78.04200,30.80400,-21.92400,52.72800,25.31400,25.31400,8.68200,16.63200,16.63200,16.63200,26.27300,25.31400,3.63500,3.64000,4.58000,4.57000,10.95690,10.95690,10.95690,7.19900,0.02210,1.18210,1.18210,0.15880,1.18210,387.05310,22.60470,22.60470
2012-12-31,149.40600,57.39000,92.01600,30.45900,-23.36500,53.82400,38.19200,38.19200,12.94300,25.24900,25.24900,25.24900,39.91600,38.19200,3.63500,3.63500,6.94000,6.94000,25.56260,25.56260,25.56260,16.89960,0.01460,1.81430,1.81430,0.24600,1.81430,382.85560,18.3202,18.3202
2012-09-30,190.98500,101.70900,89.27600,28.40300,-22.14300,50.54600,38.73000,38.73000,14.40800,24.32200,24.32200,24.32200,39.79500,38.73000,3.63500,3.63500,6.69000,6.69000,20.27910,20.27910,20.27910,12.73500,0.01880,1.77740,1.77740,0.23920,1.77740,376.45010,22.5213,22.5213
2012-06-30,127.60900,39.86100,87.74800,31.34900,-22.45200,53.80100,33.94700,33.94700,10.70100,23.24600,23.24600,23.24600,34.67900,33.94700,3.63500,3.63500,6.40000,6.40000,26.60240,26.60240,26.60240,18.21660,0.01280,1.74610,1.74610,0.23350,1.74610,366.25060,18.1068,18.1068
2012-03-31,196.66200,115.22100,81.44100,31.71100,-20.01800,51.72900,29.71200,29.71200,9.97100,19.74100,19.74100,19.74100,30.42100,29.71200,3.63500,3.63500,5.43000,5.43000,15.10820,15.10820,15.10820,10.03800,0.01990,1.51410,1.51410,0.19970,1.51410,358.68610,20.90890,20.90890
2011-12-31,159.87500,97.85100,62.02400,36.84200,-18.81500,55.65700,6.36700,6.36700,2.00600,4.36100,4.36100,4.36100,7.15100,6.36700,3.63300,3.63700,1.20200,1.20500,3.98250,3.98250,3.98250,2.72780,0.01640,0.34160,0.34160,0.04480,0.34160,351.24760,19.8965,19.8965
2011-09-30,92.35400,14.23600,78.11800,29.90900,-18.94800,48.85700,29.26100,29.26100,9.99600,19.26500,19.26500,19.26500,32.11900,29.26100,3.63500,3.63600,5.30000,5.30000,31.68350,31.68350,31.68350,20.86000,0.00970,1.50810,1.50810,0.20270,1.50810,351.41570,22.5327,22.5327
2011-06-30,140.15100,62.83000,77.32100,38.84800,-19.06000,57.90800,19.41300,19.41300,5.62300,13.79000,13.79000,13.79000,18.74800,19.41300,3.63400,3.63700,3.79000,3.79000,13.85150,13.85150,13.85150,9.83940,0.01510,1.09750,1.09750,0.14890,1.09750,345.66990,11.1288,11.1288
2011-03-31,180.36700,104.36500,76.00200,27.48900,-20.71800,48.20700,27.79500,27.79500,9.58400,18.21100,18.21100,18.21100,27.48100,27.79500,3.63000,3.63900,5.02000,5.00000,15.41030,15.41030,15.41030,10.09660,0.02000,1.47320,1.47320,0.20170,1.47320,340.25820,13.74060,13.74060
2010-12-31,183.65600,111.96700,71.68900,21.83500,-23.22600,45.06100,26.62800,26.62800,6.39000,20.23800,20.23800,20.23800,27.38900,26.62800,3.62700,3.63700,5.57000,5.56000,14.49880,14.49880,14.49890,11.01950,0.02090,1.66050,1.66050,0.23070,1.66050,335.84760,-0.212,-0.212
2010-09-30,151.21100,100.12700,51.08400,32.60800,2.18100,30.42700,20.65700,20.65700,7.21800,13.43900,13.43900,13.43900,21.30900,20.65700,3.62700,3.63200,3.71000,3.70000,13.66100,13.66100,13.66100,8.88760,0.01800,1.10600,1.10600,0.15990,1.10600,334.83470,15.6872,15.6872
2010-06-30,96.84100,31.45000,65.39100,18.23700,-17.08700,35.32400,30.06700,30.06700,9.25500,20.81200,20.81200,20.81200,34.05700,30.06700,3.62600,3.64000,5.74000,5.72000,31.04780,31.04780,31.04780,21.49090,0.01200,1.76010,1.76010,0.25870,1.76010,326.09820,12.7263,12.7263
2010-03-31,144.28400,75.98800,68.29600,23.76900,-17.31600,41.08500,27.21100,27.21100,8.80300,18.40800,18.40800,18.40800,24.47900,27.21100,3.62600,3.64000,5.08000,5.06000,18.85930,18.85930,18.85930,12.75820,0.01860,1.60790,1.60790,0.23690,1.60790,315.73140,20.97860,20.97860
2009-12-31,153.37300,75.04700,78.32600,30.23000,-26.42200,56.65200,21.67400,21.67400,8.94600,12.72800,12.72800,12.72800,22.79700,21.67400,3.62600,3.63300,3.51000,3.50000,14.13160,14.13160,14.13160,8.29870,0.02040,1.14250,1.14250,0.16930,1.14250,307.24020,4.6506,4.6506
2009-09-30,162.80900,100.57300,62.23600,28.43600,-36.42600,64.86200,-2.62600,-2.62600,-1.51200,-1.11400,-1.11400,-1.11400,-4.85700,-2.62600,3.62600,3.62600,-0.31000,-0.31000,-1.61290,-1.61290,-1.61290,-0.68420,0.02230,-0.10140,-0.10140,-0.01530,-0.10140,302.95750,7.7324,7.7324
2009-06-30,140.66700,67.89900,72.76800,28.54900,-16.63100,45.18000,27.58800,27.58800,8.74600,18.84200,18.84200,18.84200,29.58800,27.58800,3.62600,3.63000,5.20000,5.19000,19.61230,19.61230,19.61230,13.39480,0.02000,1.77230,1.77230,0.26780,1.77230,293.20160,14.419,14.419
2009-03-31,111.55700,48.29400,63.26300,27.94800,-12.71300,40.66100,22.60200,22.60200,7.57400,15.02800,15.02800,15.02800,19.11300,22.60200,3.62600,3.62900,4.14000,4.14000,20.26050,20.26050,20.26050,13.47110,0.01630,1.48500,1.48500,0.21930,1.48500,279.08490,11.05240,11.05240
