Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-03-31,197.56600,50.71300,146.85300,20.43900,-33.13600,53.57500,93.27800,93.27800,19.67000,73.60800,73.60800,73.60800,94.99300,93.27800,3.63600,3.63600,20.24000,20.24000,47.21360,47.21360,47.21360,37.25740,0.01630,2.94790,2.94790,0.60750,2.94790,686.73680,28.63940,28.55060
2023-12-31,207.86900,147.86400,60.00500,19.73500,-61.64000,81.37500,-21.37000,-21.37000,-9.13700,-12.23300,-12.23300,-12.23300,-20.06500,-21.37000,3.63600,3.63600,-3.36000,-3.36000,-10.28050,-10.28050,-10.28050,-5.88500,0.01700,-0.50140,-0.50140,-0.09990,-0.50140,670.99120,15.4414,14.5222
2023-09-30,156.69000,-4.93900,161.62900,20.32600,-42.43000,62.75600,98.87300,98.87300,34.14800,64.72500,64.72500,64.72500,101.06000,98.87300,3.63600,3.63600,17.80000,17.80000,63.10100,63.10100,63.10100,41.30770,0.01300,2.88420,2.88420,0.53670,2.88420,617.18900,22.3366,22.1642
2023-06-30,186.17700,64.84700,121.33000,22.00000,-62.44300,84.44300,36.88700,36.88700,7.25300,29.63400,29.63400,29.63400,38.58600,36.88700,3.63600,3.63600,8.15000,8.15000,19.81290,19.81290,19.81290,15.91710,0.01490,1.30080,1.30080,0.23790,1.30080,626.56760,19.6062,19.4527
2023-03-31,152.61400,91.36200,61.25200,21.27400,-24.68300,45.95700,15.29500,15.29500,2.99100,12.30400,12.30400,12.30400,16.94700,15.29500,3.63600,3.63600,3.38000,3.38000,10.02200,10.02200,10.02200,8.06220,0.01190,0.53350,0.53350,0.09630,0.53350,634.27690,12.94030,12.65570
2022-12-31,161.34400,75.86700,85.47700,21.05300,-43.52700,64.58000,20.89700,20.89700,3.66300,17.23400,17.23400,17.23400,23.37100,20.89700,3.63600,3.63600,4.74000,4.74000,12.95180,12.95190,12.95180,10.68150,0.01260,0.78660,0.78660,0.13480,0.78660,602.56380,33.7965,33.7289
2022-09-30,142.15700,46.25900,95.89800,21.61300,-29.38700,51.00000,44.89800,44.89800,9.71000,35.18800,35.18800,35.18800,47.04500,44.89800,3.63600,3.63600,9.68000,9.68000,31.58340,31.58340,31.58340,24.75290,0.01070,1.81620,1.81620,0.26580,1.81620,532.84270,25.7627,25.602
2022-06-30,118.28000,-55.48900,173.76900,22.50000,-30.32200,52.82200,120.94700,120.94700,24.42000,96.52700,96.52700,96.52700,123.66700,120.94700,3.63600,3.63600,26.55000,26.55000,102.25480,102.25480,102.25480,81.60890,0.00890,4.60630,4.60630,0.72560,4.60630,576.33360,17.8803,17.8267
2022-03-31,138.25300,-41.06500,179.31800,23.43600,-32.58100,56.01700,123.30100,123.30100,25.73900,97.56200,97.56200,97.56200,125.74300,123.30100,3.63600,3.63600,26.83000,26.83000,89.18500,89.18500,89.18500,70.56770,0.01000,4.24560,4.24560,0.70570,4.24560,632.00790,20.09080,19.93430
2021-12-31,249.63900,37.54400,212.09500,49.06300,-36.01600,85.07900,127.01610,127.01600,26.34700,100.66900,100.66900,100.66900,130.17300,127.01600,3.63600,3.63600,27.68300,27.68300,50.87990,50.87990,50.87990,40.32580,0.01740,3.96380,3.96380,0.70250,3.96380,698.48480,82.7134,82.209
