Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,193.88300,120.74900,73.13400,30.17100,43.86100,74.03200,-0.89800,0.57700,-0.32100,-0.73400,0.41300,0.41300,,0.41300,12.64800,-0.89800,27.37400,28.61600,0.02000,0.01000,1.29290,0.45500,0.90910,37.72070,-0.46320,-0.46320,-0.16560,0.21300,0.18830,1.94630,46.24150,0.12270,-0.25330,0.04010,0.06690,12.23550,0.7433,0.607
2024-06-30,173.60200,108.77300,64.82900,28.13200,42.77100,70.90300,-6.07400,9.79800,3.72400,-0.33100,4.05500,4.05500,,4.05500,7.52900,-6.07400,27.07900,29.50100,0.15000,-0.17000,1.15930,0.47720,1.04300,37.34350,-3.49880,-3.49880,2.14510,2.33580,0.17320,2.02860,44.36490,1.31890,-2.32060,0.40460,0.68950,11.29080,0.8189,0.6379
2024-03-31,171.03300,105.54900,65.48400,28.91200,46.98800,75.90000,-10.41600,0.98300,-9.43300,-0.20000,-9.23300,-9.23300,,-9.23300,3.66400,-10.41600,26.49400,26.49400,-0.35000,-0.35000,2.36460,0.58420,1.40510,38.28740,-6.09010,-6.09010,-5.51530,-5.39840,0.15760,1.91200,47.07090,-3.09630,4.83700,-0.85060,-1.28740,11.05300,0.09300,-0.16630
2023-12-31,165.38600,103.33600,62.05000,28.88300,43.20200,72.08500,-10.03490,-0.66500,-10.70000,0.23400,-10.93400,-10.93400,,-10.93400,6.61610,-10.03490,25.61300,25.61300,-0.43000,-0.01000,2.05890,0.58460,1.40730,37.51830,-6.06760,-6.06760,-6.46970,-6.61120,0.15020,2.11610,42.53050,-3.67670,5.32340,-0.99310,-1.52730,11.36640,0.7523,0.5091
2023-09-30,152.01300,92.51400,59.49900,24.79200,40.85400,65.64600,-6.14700,0.79800,-5.34900,-0.21900,-5.13000,-5.13000,,-5.13000,7.34300,-6.14700,25.61300,25.61300,-0.20000,-0.20000,2.15820,0.59890,1.49310,39.14070,-4.04370,-4.04370,-3.51880,-3.37470,0.14210,2.02560,44.43130,-1.83220,2.48180,-0.47940,-0.73490,10.91950,0.8983,0.7113
2023-06-30,145.87400,86.91900,58.95500,24.85200,41.62200,66.47400,-7.51900,3.78200,-3.73700,0.15300,-3.89000,-3.89000,,-3.89000,4.39400,-7.51900,25.55500,25.55500,-0.15000,-0.15000,2.25200,0.58860,1.43050,40.41500,-5.15450,-5.15450,-2.56180,-2.66670,0.15900,1.94850,46.18890,-1.33260,1.83360,-0.42410,-0.54830,11.40690,0.0892,-0.1022
2023-03-31,137.84400,82.19100,55.65300,25.66100,41.74800,67.40900,-11.75600,12.23900,0.48300,-3.12800,3.61100,3.61100,,3.61100,-0.25000,-11.75600,25.44800,29.27300,0.14000,-0.28000,2.21030,0.59040,1.44120,40.37390,-8.52850,-8.52850,0.35040,2.61960,0.16010,2.18020,41.27970,1.24770,-1.65560,0.41930,0.51110,11.35120,-0.21710,-0.37240
2022-12-31,156.97400,92.90300,64.07090,26.25500,44.83300,71.08800,-7.01700,39.34800,32.33100,-1.10300,33.43400,33.43400,,33.43400,4.12400,-7.01700,25.28300,30.90800,1.32000,0.07000,2.45260,0.63840,1.76560,40.81630,-4.47020,-4.47020,20.59640,21.29910,0.16890,2.10800,42.69400,12.28390,-14.43620,3.59770,4.44170,10.73930,0.1675,-0.5097
2022-09-30,148.32500,84.86100,63.46400,25.04400,39.80700,64.85100,-1.38700,-0.33800,-1.72500,-0.92300,-0.80200,-0.80200,,-0.80200,9.78600,-1.38700,25.30400,25.30400,-0.03000,-0.03000,3.56030,0.76610,3.27470,42.78710,-0.93510,-0.93510,-1.16300,-0.54070,0.14710,1.93640,46.47720,-0.41210,0.29190,-0.07950,-0.09640,7.68460,0.9491,0.5341
2022-06-30,136.48900,81.08500,55.40400,24.26400,40.19000,64.45400,-9.05000,2.38500,-6.66500,-0.41700,-6.24800,-6.24800,,-6.24800,2.45400,-9.05000,25.28000,25.28000,-0.25000,-0.25000,3.97800,0.74330,2.89520,40.59230,-6.63060,-6.63060,-4.88320,-4.57770,0.13320,1.78140,50.52140,-2.84210,2.20190,-0.61000,-0.72960,8.68930,0.2783,-0.4682
2022-03-31,131.36400,75.95000,55.41400,22.42700,39.85700,62.28400,-6.87000,0.23500,-6.63500,0.17900,-6.81400,-6.81400,,-6.81400,4.97000,-6.87000,25.22000,25.22000,-0.27000,-0.27000,4.36350,0.71650,2.52790,42.18360,-5.22980,-5.22980,-5.05090,-5.18710,0.12460,1.90860,47.15470,-2.70950,2.35710,-0.64640,-0.76800,9.95040,-0.26550,-0.50040
2021-12-31,126.13200,74.02300,52.10900,19.46900,36.71200,56.18100,-4.07200,-8.19000,-12.26200,-4.08800,-8.17400,-8.17400,,-8.17400,13.84200,-4.07200,25.09100,25.09100,-0.32000,-0.32000,4.41600,0.54110,1.17900,41.31310,-3.22830,-3.22830,-9.72160,-6.48050,0.11840,2.04850,43.93400,-1.98110,5.71430,-0.76710,-0.90920,16.40990,0.683,0.3293
2021-09-30,130.63800,73.57300,57.06500,16.85700,39.27000,56.12700,0.93800,-7.56700,-6.62900,0.31500,-6.94400,-6.94400,,-6.94400,18.80400,0.93800,25.11500,25.11500,-0.28000,-0.28000,3.95460,0.52740,1.11610,43.68180,0.71800,0.71800,-5.07430,-5.31550,0.11870,1.73810,51.78040,-1.61740,4.80930,-0.63070,-0.76440,17.08430,0.5908,0.4857
2021-06-30,120.65800,67.17700,53.48100,16.39000,36.15700,52.54700,0.93400,-7.59000,-6.65600,0.27200,-6.92800,-6.92800,,-6.92800,18.69600,0.93400,25.09600,25.09600,-0.28000,-0.28000,4.42060,0.51470,1.06060,44.32450,0.77410,0.77410,-5.51640,-5.74180,0.11020,1.91220,47.06540,-1.55680,4.73710,-0.63300,-0.75550,17.72470,-0.0477,-0.755
2021-03-31,113.47900,62.32100,51.15800,16.78900,34.40600,51.19500,-0.03700,-5.61100,-5.64800,-0.33200,-5.31600,-5.31600,,-5.31600,15.53900,-0.03700,25.01600,25.01600,-0.21000,-0.21000,4.98380,0.51220,1.04990,45.08150,-0.03260,-0.03260,-4.97710,-4.68460,0.10600,2.20530,40.81130,-1.20070,3.63000,-0.49670,-0.58570,17.64670,0.40010,0.08490
2020-12-31,113.04700,65.30800,47.73900,25.23900,34.71700,59.95600,-12.21700,-6.48700,-18.70400,1.22200,-19.92600,-19.92600,,-19.92600,0.68000,-12.21700,24.09300,24.09300,-0.83000,-0.83000,2.10000,0.39630,0.65640,42.22930,-10.80700,-10.80700,-16.54530,-17.62630,0.12690,2.04640,43.98060,-4.63480,10.46690,-2.23730,-2.79810,17.25970,-0.2812,-0.416
2020-09-30,84.75800,45.52700,39.23100,10.23200,27.13500,37.36700,1.86400,-4.20600,-2.34200,0.01000,-2.35200,-2.35200,,-2.35200,10.94300,1.86400,24.17600,24.17600,-0.10000,-0.10000,10.21450,0.46980,0.88610,46.28590,2.19920,2.19920,-2.76320,-2.77500,0.12640,1.82460,49.32490,-0.75110,-0.78380,-0.35080,-0.39820,12.93110,0.4819,0.3885
2020-06-30,76.79000,42.00900,34.78100,9.55400,25.49500,35.04900,-0.26800,-3.86800,-4.13600,16.50500,-20.64100,-20.64100,,-20.64100,8.80900,-0.26800,23.97400,23.97400,-0.86000,-0.86000,11.85360,0.46580,0.87210,45.29370,-0.34900,-0.34900,-5.38610,-26.87980,0.11670,1.83800,48.96610,-6.59600,-6.88590,-3.13710,-3.52330,12.95470,0.3096,0.1201
2020-03-31,68.51800,36.35900,32.15900,9.53000,25.51300,35.04300,-2.88400,-0.90600,-3.79000,-2.73200,-1.05800,-1.05800,,-1.05800,3.32500,-2.88400,23.56400,23.56400,-0.04000,-0.04000,12.89050,0.44990,0.81780,46.93510,-4.20910,-4.20910,-5.53140,-1.54410,0.10300,1.84820,48.69490,-0.32240,-0.33600,-0.15900,-0.17740,13.88560,-0.32280,-0.51070
2019-12-31,62.00300,32.97900,29.02400,8.14900,24.33600,32.48500,-3.46100,0.75800,-2.70300,-0.74700,-1.95600,-1.95600,,-1.95600,0.61000,-3.46100,22.64000,23.92400,-0.10000,-0.09000,4.96190,,,46.81060,-5.58200,-5.58200,-4.35950,-3.15470,0.18160,2.05400,43.81770,-0.72420,-0.76210,-0.57290,-0.72420,11.48780,0.0962,-0.3045
2019-09-30,60.49100,33.10400,27.38700,7.93900,24.05300,31.99200,-4.60500,0.78100,-3.82400,-2.81000,-1.01400,-1.01400,,-1.01400,-1.37300,-4.60500,23.42600,23.42600,-0.04000,-0.04000,5.67880,,,45.27450,-7.61270,-7.61270,-6.32160,-1.67630,0.18850,2.01440,44.67940,-0.37500,-0.39480,-0.31590,-0.37500,11.51360,0.0728,-0.2139
