Date,research-development-expenses,selling-general-administrative-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,6.02900,13.29000,-19.31900,-1.38300,-20.70200,-20.70200,-20.70200,-22.94200,-19.31600,-19.31900,87.33600,87.33600,-0.26000,-0.26000,10.35820,,-13.39180,-13.39180,-10.94930,-13.39180,2.36760,-0.0427,-0.0429
2024-06-30,5.53900,6.22000,-11.75900,1.43000,-10.32900,-10.32900,-10.32900,-12.66600,-11.75900,-11.75900,74.94700,74.94700,-0.17000,-0.17000,12.57050,,-6.53470,-6.53470,-5.45070,-6.53470,2.48200,-0.0486,-0.0487
2024-03-31,3.59300,4.78600,-8.37900,0.63200,-7.74700,-7.74700,-7.74700,-0.73000,-8.37900,-8.37900,46.91500,46.91500,-0.02000,-0.02000,6.16560,,-12.38530,-12.38530,-8.56180,-12.38530,1.43480,-0.10620,-0.10630
2023-12-31,6.92000,3.90700,-10.82700,2.35400,-8.47300,-8.47300,-8.47300,-6.27800,-10.82700,-10.82700,33.06400,33.06400,2.16000,2.16000,4.96710,,-13.91960,-13.91960,-8.40220,-13.91960,1.39630,-0.2206,-0.2206
2023-09-30,3.96500,6.22200,-10.18700,1.91700,-8.27000,-8.27000,-8.27000,-8.27000,-10.18700,-10.18700,46.87600,46.87600,-0.18000,-0.18000,6.14810,,-9.65780,-9.65780,-7.90690,-9.65780,1.98710,0.0111,0.0111
2023-06-30,28.23000,5.67500,-33.90500,-0.12000,-34.02500,-34.02500,-34.02500,-44.90000,-33.90500,-33.90500,34.30300,34.30300,-1.31000,-1.31000,5.68370,,-37.25790,-37.25790,-30.02240,-37.25790,2.11920,0.6711,0.6711
2023-03-31,4.88400,2.83500,-7.71900,-2.07600,-9.79500,-9.79500,-9.79500,-9.79500,-7.71900,-7.71900,3.55200,3.55200,-2.76000,-2.76000,8.88940,,-25.87510,-25.87510,-22.06830,-25.87510,1.39930,-0.91690,-0.91690
2022-12-31,15.68900,1.65900,-17.34800,-0.13900,-17.48700,-17.48700,-17.48700,-22.54400,-17.34800,-17.34800,0.22800,0.22800,72265.91000,72265.91000,0.11990,-0.81160,79.28460,182.99500,-332.32610,182.99500,-34.12860,-1.1178,-1.1178
2022-09-30,0.41500,0.65300,-1.06800,-0.03400,-1.10200,-1.10200,-1.10200,-1.10200,-1.06800,-1.06800,0.38350,0.38350,-2.87000,-2.87000,0.14630,-0.04220,15.50540,15.50540,-0.78450,15.50540,-2.06010,1.9078,1.9078
2022-06-30,0.08500,0.84200,-0.92700,0.00200,-0.92500,-0.92500,-0.92500,-0.92500,-0.92700,-0.92700,0.09700,0.09700,-9.54000,-9.54000,0.41950,-0.02600,13.44640,13.44640,-0.66060,13.44640,-1.99400,-6.0619,-6.0619
2022-03-31,7.50000,0.31900,-7.81900,,-7.81900,-7.81900,-7.81900,-7.81900,-7.81900,-7.81900,0.00010,0.00010,-72395.48000,-72395.48000,2.26550,,86.55880,86.55890,-5.57500,86.55880,-2.61830,0.00000,
2021-12-31,,0.51450,-0.51450,1.62830,1.11380,1.11380,1.11380,1.11380,-0.51450,-0.51450,3.13000,3.31100,0.24000,0.23000,4.23120,,-12.13110,-12.13110,0.79240,-12.13110,-2.66120,-0.088,-0.088
2021-09-30,,0.32190,-0.32190,6.10890,5.78710,5.78710,5.78710,5.78710,-0.32190,-0.32190,3.36200,3.45000,0.39000,0.39000,11.47070,,-56.21370,-56.21360,4.10680,-56.21370,-2.98400,-0.252,-0.252
2021-06-30,,0.01910,-0.01910,,-0.01910,-0.01910,-0.01910,-0.01910,-0.01910,-0.01910,3.00000,3.00000,-0.01000,-0.01000,0.13010,,70.42310,70.42310,-11.61770,70.42310,-0.00790,0.0083,0.0083
2021-03-31,,0.03300,-0.03300,,-0.03300,-0.03300,-0.03300,-0.03300,-0.03300,-0.03300,,,,0.00000,,,,,,,,0.00000,
