Date,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,1.17030,1.35770,,-2.52800,0.17810,-2.34990,-2.34990,-2.34990,-2.34990,-2.50300,-2.52800,5.05000,5.05000,-0.47000,-0.47000,3.02190,,-43.18310,-47.63270,-20.63270,-43.18310,1.07760,-0.4315,-0.4315
2024-06-30,0.51930,1.61780,,-2.13710,0.16310,-1.97400,-1.97400,-1.97400,-1.97400,-2.11210,-2.13710,5.05000,5.05000,-0.39000,-0.39000,3.34500,,-26.39670,-28.42380,-14.04540,-26.39670,1.87900,0.0006,0.0006
2024-03-31,0.84280,1.61550,,-2.45830,0.13100,-2.32730,-2.32730,-2.32730,-2.32730,-2.43330,-2.45830,2.10300,2.10300,-1.11000,-1.11000,3.61390,,-25.50300,-27.16500,-14.43440,-25.50300,2.40400,-0.68210,-0.68210
2023-12-31,0.83240,1.38530,,-2.21770,0.16780,-2.04990,-2.04990,-2.04990,-2.04990,-2.19200,-2.21770,0.90090,0.90090,-1.47000,-1.47000,3.15120,,-36.19120,-40.34650,-16.84480,-36.19130,5.73860,-4.0274,-4.0274
2023-09-30,0.75880,1.36650,,-2.12520,0.19850,-1.92670,-1.92670,-1.92670,-1.92670,-2.09920,-2.12520,0.98700,0.98700,-1.95000,-1.95000,3.08730,,-25.98810,-28.38710,-12.78670,-25.98810,7.50970,-1.3389,-1.3389
2023-06-30,0.62510,1.63500,,-2.26010,0.15310,-2.10690,-2.10690,-2.10690,-2.10690,-2.23410,-2.26010,0.98700,0.98700,-2.13000,-2.13000,3.55100,,-23.22510,-25.02510,-12.60930,-23.22510,9.18930,-0.6221,-0.6221
2023-03-31,1.09170,1.68380,,-2.77560,0.17250,-2.60310,-2.60310,-2.60310,-2.60310,-2.74950,-2.77560,0.63720,0.63720,-4.09000,-4.09000,4.17740,,-23.84980,-25.43080,-14.10820,-23.84980,11.06020,-2.74090,-2.74090
2022-12-31,0.61310,1.47290,,-2.08590,0.08500,-2.00100,-2.00100,-2.00100,-2.00100,-2.05990,-2.08590,0.20180,0.20180,33.51210,33.51210,3.79020,,-27.01530,-29.85520,-13.83980,-27.01530,18.33360,-18.1848,-18.1848
2022-09-30,0.74550,1.58210,,-2.32760,-0.70200,-3.02960,-3.02960,-3.02960,-3.09480,-2.30160,-2.32760,0.27430,0.27430,-11.28000,-11.28000,4.35320,,-33.04610,-35.90760,-18.42990,-33.04610,22.70610,38.0686,38.0686
2022-06-30,0.72670,1.94150,,-2.66820,,-2.66820,-2.66820,-2.66820,-2.66820,-2.64220,-2.66820,0.06860,0.06860,-38.91000,-38.91000,0.95880,,84.21880,67.98370,-61.74550,84.21890,-3.00350,-24.4442,-24.4442
2022-03-31,0.58760,1.58850,,-2.17600,0.49320,-1.68280,-1.68280,-1.68280,-1.68280,-2.15000,-2.17600,0.05590,0.05590,-30.13210,-30.13210,1.67240,,230.70820,111.29630,-24.63380,230.70790,-13.05060,-37.45960,-37.45960
2021-12-31,1.00690,1.97460,,-2.98140,-8.83560,-11.81700,-11.81700,-11.81700,-11.81700,-2.95540,-2.98140,0.02630,0.02630,-328.57140,-328.57140,1.79150,,-1798.54500,7796.31900,-126.29290,-1798.54800,11.75490,-90.3276,-90.3276
2021-09-30,0.26000,1.04280,,-1.30280,-0.10140,-1.40410,-1.40410,-1.40410,-1.40410,-1.27680,-1.30280,0.02000,0.02000,-70.10800,-70.10800,0.07060,-0.38230,8.63930,8.21730,-76.17410,8.63930,-6507.64600,-45.4943,-45.4943
2021-06-30,0.23930,0.73760,,-0.97690,-3.36070,-4.33750,-4.33750,-4.33750,-4.33750,-0.95090,-0.97690,0.02000,0.02000,-222.08880,-222.08880,3.01100,,-247.15330,-247.15340,-120.08700,-247.15340,268.59290,-60.9512,-60.9512
2021-03-31,0.05680,0.74500,,-0.80180,-3.10210,-3.90390,-3.90390,-3.90390,-3.90390,-0.77580,-0.80180,0.02000,0.02000,-195.07800,-195.07800,,,,,,,,-20.66940,-20.66940
2020-12-31,-0.60160,-0.20530,,0.80690,0.65100,1.45790,1.45790,1.45790,1.45790,0.83290,0.80690,0.02000,0.02000,20233.49000,20233.49000,0.05830,-0.18360,-22.06510,-19.38720,105.81290,-22.06510,-330.05700,251.6564,251.6564
2020-09-30,0.02600,0.30210,,-0.32810,,-0.32810,-0.32810,-0.32810,-0.32810,-0.26410,-0.32810,0.00000,0.00000,-19807.92000,-19807.92000,7.98470,,-5.70070,-5.70070,-4.68230,-5.70070,1541.71400,-217.027,-217.4483
2020-06-30,0.38870,0.60310,,-0.99180,-1.51730,-2.50910,-2.50910,-2.50910,-2.50910,-1.00180,-0.99180,0.00610,0.00610,-410.56420,-410.56420,8.43450,,-39.90360,-39.90360,-31.47440,-39.90360,965.54360,35.0962,33.8517
2020-03-31,0.43100,0.72600,,-1.15700,0.44100,-0.71600,-0.71600,-0.71600,-0.71600,-1.13300,-1.15700,0.00540,0.00540,-120.04800,-120.04800,5.75360,,-11.67650,-11.67650,-9.04380,-11.67650,1090.57000,-136.59490,-134.92910
2019-12-31,0.84440,0.76360,,-1.60800,-0.25450,-1.86250,-1.86250,-1.86250,-1.86250,-1.56500,-1.60800,0.00350,0.00350,-473.28940,-473.28940,5.10930,,-43.38440,-43.38440,-30.19110,-43.38440,1149.90900,-266.205,-266.696
2019-09-30,0.70030,0.78640,,-1.48670,0.11960,-1.36710,-1.36710,-1.36710,-1.36710,-1.45870,-1.48670,0.00370,0.00370,-360.14410,-360.14410,6.49550,,-25.77470,-25.77470,-18.65570,-25.77470,1420.71200,-409.0085,-409.0083
2019-06-30,0.99330,0.75500,,-1.74830,1.52090,-0.22740,-0.22740,-0.22740,-0.22740,-1.75230,-1.74830,0.00370,0.00370,-66.92680,-66.92680,6.00690,,-3.70150,-3.70150,-2.60350,-3.70150,1645.78500,-314.9885,-312.9224
2019-03-31,0.97000,0.64900,,-1.61900,0.21300,-1.40600,-1.40600,-1.40600,-1.40600,-1.56100,-1.61900,0.00300,0.00300,-480.19200,-480.19200,5.46960,,-23.22430,-23.22430,-13.04750,-23.22430,1621.67700,-670.73300,-681.90630
2018-12-31,0.95600,1.11670,,-2.07270,1.27780,-0.79490,-0.79490,-0.79490,-0.79490,-2.04370,-2.07270,0.00220,0.00220,-345.43830,-345.43830,3.80260,,-21.39760,-21.39760,-14.43480,-21.39760,1709.77800,-687.699,-687.26
2018-09-30,1.13600,1.08200,,-2.21810,0.34590,-1.87220,-1.87220,-1.87220,-1.87220,-2.18410,-2.21810,0.00220,0.00220,-859.54380,-859.54380,7.04800,,-41.44720,-41.44720,-26.00240,-41.44720,2082.40000,-815.512,-868.067
2018-06-30,0.70000,1.01720,,-1.71720,0.03430,-1.68290,-1.68290,-1.68290,-1.68290,-1.68820,-1.71720,0.00220,0.00220,-775.81040,-775.81040,10.31300,,-27.77080,-27.77080,-18.74900,-27.77080,2793.74400,-602.5588,-612.6936
2018-03-31,0.81300,0.98200,,-1.79500,0.77800,-1.01700,-1.01700,-1.01700,-1.01700,-1.76500,-1.79500,0.00210,0.00210,-480.19200,-480.19200,11.00660,,-13.15310,-13.15310,-9.54930,-13.15310,3655.18100,-818.76920,-837.67840
2017-12-31,1.04550,1.04870,,-2.09420,0.89140,-1.20270,-1.20270,-1.20270,-1.20270,-2.06620,-2.09420,0.00190,0.00190,-250.90040,-250.90040,6.96700,,-22.11690,-22.11690,-13.72810,-22.11690,2716.01400,-0.2279,-0.2327
2017-09-30,0.80760,0.97800,,-1.78560,-0.40830,-2.19390,-2.19390,-2.19390,-2.19390,-1.75960,-1.78560,0.00190,0.00190,-1181.57300,-1181.57300,5.81480,,-37.13480,-37.13480,-21.96780,-37.13480,0.98700,-0.2302,-0.2331
2017-06-30,0.68790,1.00030,,-1.68820,0.37190,-1.31640,-1.31640,-1.31640,-1.31640,-1.66020,-1.68820,0.00180,0.00180,-728.39140,-728.39140,8.16520,,-30.79930,-30.79930,-18.37210,-30.79930,0.79540,-0.1459,-0.1479
2017-03-31,0.77700,0.70200,,-1.47900,-1.94900,-3.42800,-3.42800,-3.42800,-3.42800,-1.45400,-1.47900,0.00150,0.00150,-2220.88800,-2220.88800,10.52730,,-71.04660,-71.04660,-43.18470,-71.04660,0.89380,-0.31260,-0.31670
2016-12-31,0.63900,0.39660,0.00020,-1.03540,0.35560,-0.67970,-0.67970,-0.67970,-0.67970,-1.00240,-1.03540,0.00150,0.00150,2154.86200,2154.86200,9.30020,,-9.17440,-9.17440,-7.70760,-9.17440,1.37880,-0.2664,-0.2743
2016-09-30,0.54150,0.74300,,-1.28450,-0.18590,-1.47040,-1.47040,-1.47040,-1.47040,-1.27350,-1.28450,0.00160,0.00160,-900.36020,-900.36020,4.24970,,-14.00280,-14.00280,-11.00540,-14.00280,1.95420,-0.1405,-0.1338
2016-06-30,0.48050,0.42040,0.07280,-0.82810,0.00130,-0.82680,-0.82680,-0.82680,-0.82680,-0.80110,-0.82810,0.00140,0.00140,-606.24250,-606.24250,7.47190,,-24.74070,-24.74070,-21.73590,-24.74070,0.81850,-0.1847,-0.1778
2016-03-31,0.48600,0.51200,,-0.99800,-0.00800,-1.00600,-1.00600,-1.00600,-1.00600,-0.97800,-0.99800,0.00130,0.00130,-780.31210,-780.31210,6.84290,,-25.37840,-25.37840,-21.98910,-25.37840,0.97450,-0.23190,-0.30440
2015-12-31,,,,,,,,,,,,,,,0.00000,,,,,,,,0,0
