Date,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,6.85830,1.60420,,-8.46250,0.09670,-8.36580,,-8.36580,-8.36580,-8.36580,-8.46250,-8.46250,33.80500,33.80500,-0.25000,-0.25000,0.38840,,-0.00830,83.80970,83.80980,-109.64530,83.80980,-0.29850,-0.0619,-0.0619
2024-06-30,5.58430,2.54530,,-8.12960,0.27710,-7.85250,0.00740,-7.85990,-7.85990,-7.85990,-8.12960,-8.12960,30.55500,30.55500,-0.26000,-0.26000,0.51870,,-0.03430,130.09810,130.09830,-97.60630,130.09830,-0.20260,-0.2689,-0.2689
2024-03-31,5.78390,2.13820,,-7.92210,0.49590,-7.42620,0.00740,-7.43360,-7.43360,-7.43360,-7.92210,-7.92210,29.88700,29.88700,-0.25000,-0.25000,0.93130,,-0.24670,552.34580,552.34890,-55.07750,552.34910,-0.04820,-0.39230,-0.39230
2023-12-31,8.10720,1.51220,,-9.61930,0.25950,-9.35980,-0.00460,-9.35530,-9.35530,-9.35530,-9.61930,-9.61930,23.79800,23.79800,-0.34000,-0.34000,1.37990,,,-163.59020,-163.59030,-39.47310,-163.59030,0.20480,-0.3674,-0.3674
2023-09-30,9.57220,1.99180,,-11.56400,0.23010,-11.33380,0.01210,-11.34590,-11.34590,-11.34590,-11.56400,-11.56400,23.63700,23.63700,-0.48000,-0.48000,0.41330,,-0.02610,133.17720,133.17720,-210.61540,133.17720,-0.41260,-0.2314,-0.2314
2023-06-30,8.25630,3.07930,,-11.33560,-0.36590,-11.70150,0.00640,-11.70800,-11.70800,-11.70800,-11.33560,-11.33560,22.43500,22.43500,-0.52000,-0.52000,1.28600,,0.13720,-722.18440,-722.18360,-98.86780,-722.18380,0.07160,-0.2272,-0.2272
2023-03-31,5.48410,1.50060,,-6.98470,0.13600,-6.84870,0.00300,-6.85170,-6.85170,-6.85170,-6.98470,-6.98470,21.83400,21.83400,-0.31000,-0.31000,1.96660,,0.11540,-118.43940,-118.43940,-53.10760,-118.43940,0.28290,-0.36420,-0.36420
2022-12-31,10.21960,1.47650,,-11.69620,-0.33590,-12.03210,0.00840,-12.04040,-12.04040,-12.04040,-11.69620,-11.69620,19.51600,19.51600,-0.58000,-0.58000,1.89960,,,-143.43670,-143.43660,-63.62620,-143.43660,0.41050,-0.231,-0.231
2022-09-30,2.30600,1.25700,,-3.56300,0.04950,-3.51340,0.00190,-3.51530,-3.51530,-3.51530,-3.56300,-3.56300,19.27000,19.27000,-0.18000,-0.18000,6.72340,,,-17.26620,-17.26620,-14.62220,-17.26620,0.99590,-0.1845,-0.1845
2022-06-30,4.51440,1.00510,,-5.51950,0.18570,-5.33380,0.00690,-5.34070,-5.34070,-5.34070,-5.51950,-5.51950,18.46700,18.46700,-0.29000,-0.29000,4.61060,,,-33.25390,-33.25390,-25.87120,-33.25390,1.06130,-0.2166,-0.2166
