Date,revenue,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,long-term-debt-capital,debt-equity-ratio,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,78.47800,78.47800,35.93200,-20.09800,15.21100,-8.29000,6.92100,3.50700,3.41400,3.41400,0.96600,22.44800,15.21100,18.86400,19.48400,0.05000,0.05000,1.16450,-7.15280,19.38250,19.38250,8.81900,1.23090,0.13560,-5.52760,-1.07640,0.59000,0.90940,-3.27270,0.8706,0.8092
2024-06-30,78.45300,78.45300,34.85100,-20.02700,16.17500,-8.51200,7.66300,1.47300,6.19000,6.19000,3.70500,23.57500,16.17500,18.85400,19.00400,0.20000,0.19000,1.18740,-6.40160,20.61740,20.61740,9.76760,4.72260,0.13730,-8.95080,-1.90200,1.08340,1.67770,-3.66780,0.8219,0.7263
2024-03-31,78.28700,78.28700,45.70500,-20.20600,4.52400,-8.62700,-4.10300,1.50400,-5.60700,-5.60700,-3.35300,12.37600,4.52400,18.48200,18.48200,-0.18000,-0.18000,1.21550,-5.69850,5.77870,5.77870,-5.24100,-4.28300,0.13810,7.20200,1.66920,-0.98940,-1.55240,-4.12950,0.50760,0.36590
2023-12-31,76.60000,76.60000,39.13100,-38.99100,-9.70000,-8.22600,-17.92600,0.45300,-18.37900,-18.37900,-10.90700,17.11100,-9.70000,18.11100,18.11100,-0.60000,-0.60000,1.20900,-5.84500,-12.66310,-12.66320,-23.40210,-14.23890,0.13270,24.16350,5.46340,-3.18440,-5.05030,-4.16340,0.4794,0.3591
2023-09-30,81.22300,81.22300,43.09000,-50.93600,-20.99800,-7.99400,-28.99200,53.68000,-82.67200,-82.67200,-59.45400,-12.80300,-20.99800,18.15100,18.15100,-3.28000,-3.28000,1.16760,-7.04090,-25.85230,-25.85230,-35.69430,-73.19850,0.13590,130.65520,24.13110,-13.82770,-21.89190,-3.47420,0.9593,0.8791
2023-06-30,82.44700,82.44700,40.21200,-21.07700,13.15000,-7.48400,5.66600,2.42200,3.24400,3.24400,2.01000,21.15800,13.15000,18.12500,18.38800,0.11000,0.11000,0.94840,18.58260,15.94960,15.94960,6.87230,2.43790,0.12590,13.50260,-1.25820,0.49530,0.69630,1.32540,-0.0491,-0.1199
2023-03-31,85.40100,85.40100,49.11500,-21.34200,6.91100,-7.19800,-0.28700,0.39200,-0.67900,-0.67900,-0.67100,14.94400,6.91100,17.91700,17.91700,-0.04000,-0.04000,0.95070,19.49970,8.09240,8.09240,-0.33610,-0.78570,0.12700,-2.95950,0.26170,-0.10100,-0.14580,1.26600,0.17100,0.08790
2022-12-31,81.26700,81.26700,35.66600,-28.22100,8.46600,-7.00700,1.45900,3.01200,-1.55300,-1.55300,-1.31000,24.48000,8.46600,18.67900,18.84500,-0.07000,-0.07000,0.93330,14.14170,10.41760,10.41750,1.79530,-1.61200,0.11690,-4.89870,0.61460,-0.22340,-0.32670,1.77360,0.5232,0.4174
2022-09-30,88.94300,88.94300,49.70200,-25.24900,5.23500,-5.59200,-0.35700,0.55300,-0.91000,-0.91000,0.14000,13.99200,5.23500,18.64600,18.87700,0.01000,0.01000,0.90500,9.62250,5.88580,5.88580,-0.40140,0.15740,0.12240,-1.94910,0.36850,-0.12520,-0.18520,2.53880,1.2199,1.1195
2022-06-30,92.17200,92.17200,40.78100,-25.36900,16.90900,-4.03300,12.87600,2.60100,10.27500,10.27500,5.82900,26.02200,16.90900,18.99700,19.15300,0.31000,0.30000,0.87520,7.08500,18.34510,18.34510,13.96950,6.32400,0.12340,16.17070,-4.33730,1.37610,2.01820,3.38810,1.1731,1.046
2022-03-31,91.00400,91.00400,47.83100,-26.58600,7.60200,-3.45200,4.15000,1.20500,2.94500,2.94500,1.45100,16.58700,7.60200,18.93400,19.21200,0.08000,0.08000,0.86480,6.46390,8.35350,8.35350,4.56020,1.59440,0.11920,4.21970,-1.25610,0.38560,0.57040,3.64010,0.85890,0.66520
2021-12-31,89.16300,89.16300,45.90000,-23.72900,10.43700,-3.81200,6.62500,1.00500,5.62000,5.62000,3.10900,19.53400,10.43700,18.69000,18.69000,0.16000,0.16000,0.86630,6.54520,11.70550,11.70550,7.43020,3.48690,0.11490,8.13700,-2.41640,0.72410,1.08800,3.67260,1.3826,1.2114
2021-09-30,90.99700,90.99700,51.09900,-68.89200,-37.57600,-3.99500,-41.57100,0.79200,-42.36300,-42.36300,-25.14900,-23.87100,-37.57600,18.74000,18.74000,-1.34000,-1.34000,0.87140,6.84470,-41.29370,-41.29370,-45.68390,-27.63720,0.11680,-64.01080,17.95590,-5.43690,-8.23270,3.51910,-0.7136,-0.959
2021-06-30,77.24600,77.24600,38.81600,-18.04200,13.54200,-2.46800,11.07400,0.71400,10.36000,10.36000,5.26100,20.38800,13.54200,18.71900,18.94100,0.28000,0.28000,0.64590,1.84370,17.53100,17.53100,14.33600,6.81070,0.14040,8.58190,-12.67170,1.88260,3.03870,6.44870,0.4976,0.3312
2021-03-31,72.29500,72.29500,43.67600,-18.14500,3.66600,-1.95500,1.71100,-0.05200,1.76300,1.76300,1.16300,10.47400,3.66600,18.49700,18.86700,0.06000,0.06000,0.65920,1.95470,5.07090,5.07090,2.36670,1.60870,0.12950,1.54510,-1.95470,0.31570,0.52660,6.09550,1.10420,0.87190
2020-12-31,72.44900,72.44900,40.75700,-17.82500,7.21300,-2.11000,5.10300,2.60900,2.49400,2.49400,1.51300,14.16500,7.21300,18.17000,18.32400,0.08000,0.07000,0.68510,2.19920,9.95600,9.95600,7.04360,2.08840,0.13260,2.45330,-2.66250,0.45650,0.77260,5.52750,1.4997,1.372
2020-09-30,71.07300,71.07300,28.21600,-25.19200,10.93500,-2.04000,8.89500,2.05700,6.83800,6.83800,3.61700,17.36700,10.93500,18.19600,18.36800,0.20000,0.20000,0.66390,1.99760,15.38560,15.38560,12.51530,5.08910,0.13080,6.09570,-7.15650,1.25860,2.04870,6.10590,1.4672,1.389
2020-06-30,52.20700,52.20700,25.34800,-11.76500,8.68200,-2.05200,6.63000,0.70600,5.92400,5.92400,3.48900,15.09400,8.68200,18.12400,18.14700,0.19000,0.19000,0.68490,2.19870,16.63000,16.63000,12.69950,6.68300,0.09890,5.79890,-6.78700,1.12260,1.82720,5.63660,0.1427,0.0807
2020-03-31,70.27200,70.27200,34.67700,-17.52200,11.76300,-2.68300,9.08000,3.79000,5.29000,5.29000,2.63100,18.07300,11.76300,17.97400,18.03400,0.15000,0.15000,0.68980,2.24970,16.73930,16.73930,12.92120,3.74400,0.13070,5.28590,-5.80210,0.98390,1.63980,5.52180,0.75680,0.64790
2019-12-31,68.19300,68.19300,35.15100,-17.43300,10.51100,-2.41600,8.09500,2.43500,5.66000,5.66000,3.12800,15.60900,10.51100,17.81200,17.86800,0.18000,0.17000,0.71980,2.59920,15.41360,15.41360,11.87070,4.58700,0.12850,6.51880,-6.01810,1.06630,1.82660,4.86750,1.3265,1.152
2019-09-30,71.54100,71.54100,24.46800,-18.03400,23.44400,-2.72700,20.71700,3.45300,17.26400,17.26400,9.17300,29.03900,23.44400,17.82600,17.84000,0.51000,0.51000,0.69010,2.25280,32.77000,32.77000,28.95820,12.82200,0.13450,17.19350,-22.92330,3.24670,5.32900,5.62960,1.244,1.092
2019-06-30,71.38100,71.38100,25.71000,-18.06000,22.07000,-2.75100,19.31900,3.18600,16.13300,16.13300,8.57000,27.61100,22.07000,17.80800,17.83400,0.48000,0.48000,0.70910,2.46640,30.91860,30.91860,27.06460,12.00600,0.13630,17.55020,-19.58720,3.07970,5.10510,5.16170,0.5899,0.3974
2019-03-31,71.17800,71.17800,33.90300,-18.77200,12.94500,-2.78000,10.16500,1.90800,8.25700,8.25700,4.40900,18.50300,12.94500,17.77500,17.81800,0.25000,0.25000,0.72870,2.71760,18.18680,18.18680,14.28110,6.19430,0.13530,9.87370,-9.28180,1.57000,2.67860,4.69600,1.25950,1.03830
2018-12-31,50.84100,50.84100,30.10600,-6.18600,9.68000,-2.97700,18.99300,7.99000,11.00300,11.00300,6.36400,14.54900,9.68000,17.73800,17.76700,0.36000,0.36000,0.75010,3.03660,19.03980,19.03980,37.35760,12.51750,0.11870,14.66790,-11.15530,2.56860,3.66550,4.22520,1.0725,0.9333
2018-09-30,54.86600,54.86600,27.46100,0.01000,21.80700,-2.84600,18.96100,3.42000,15.54100,15.54100,8.13900,27.41500,21.80700,17.74600,17.77100,0.46000,0.46000,0.75780,3.16580,39.74590,39.74590,34.55870,14.83430,0.12880,21.53750,-15.44650,3.64750,5.21640,4.06620,1.2993,1.0813
2018-06-30,54.27700,54.27700,28.30700,0.01300,20.91400,-3.17600,17.73800,3.14700,14.59100,14.59100,7.64800,25.98300,20.91400,17.74600,17.77000,0.43000,0.43000,0.78900,3.78480,38.53200,38.53200,32.68050,14.09070,0.12910,24.10300,-13.30980,3.47110,5.08510,3.41120,1.1453,1.1031
