Date,revenue,gross-profit,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,40.77170,40.77170,-30.16800,9.98470,-0.90060,9.08410,2.10590,6.97810,6.97810,,6.97810,10.63120,9.98470,11.40400,12.58100,0.61000,0.55000,0.43370,0.22470,0.28990,100.00000,24.48920,24.48920,22.28030,17.11520,0.11750,0.48920,183.98390,11.69460,11.79340,2.01100,9.06640,4.84650,1.6877,1.6351
2024-06-30,36.50210,36.50210,-29.17230,6.70990,-0.98970,5.72020,1.20520,4.51490,4.51490,,4.51490,7.32600,6.70990,11.01900,12.11100,0.41000,0.37000,0.36920,0.38240,0.61930,100.00000,18.38220,18.38220,15.67080,12.36900,0.11410,0.44790,200.92650,11.06530,11.20250,1.41190,6.83340,3.68760,0.574,0.5341
2024-03-31,35.76520,35.76520,-32.37010,2.79860,-0.99390,1.80470,0.37800,1.42670,1.42670,,1.42670,3.63080,2.79860,10.99900,11.79200,0.13000,0.12000,0.34140,0.41400,0.70650,100.00000,7.82490,7.82490,5.04600,3.98900,0.11240,0.42260,212.95590,3.99070,4.04730,0.44820,2.33850,3.24760,0.51710,0.47130
2023-12-31,36.60630,36.60630,-31.06450,4.89610,-0.99800,3.89810,0.95220,2.94600,2.94600,,2.94600,5.68380,4.89610,10.75600,10.75600,0.28000,0.28000,0.38070,0.42250,0.73160,100.00000,13.37500,13.37510,10.64880,8.04770,0.11520,0.41040,219.30340,8.53800,8.66350,0.92750,4.93070,3.20160,0.4116,0.37
2023-09-30,34.23670,34.23670,-36.90350,-3.40790,-0.98870,-4.39660,-0.85900,-3.53760,-3.53760,,-3.53760,-2.20010,-3.40790,10.75600,10.75600,-0.33000,-0.33000,0.50240,0.48740,0.95080,100.00000,-9.95380,-9.95380,-12.84170,-10.33270,0.10800,0.35080,256.52570,-13.33480,-13.59100,-1.11600,-6.83540,2.46640,0.1167,0.072
2023-06-30,36.72000,36.72000,-35.49890,0.44260,-1.00600,-0.56340,-0.04140,-0.52200,-0.52200,,-0.52200,1.50420,0.44260,10.75600,10.75600,-0.05000,-0.05000,0.48370,0.43990,0.78550,100.00000,1.20520,1.20520,-1.53440,-1.42160,0.11790,0.41190,218.51070,-1.62700,-1.65270,-0.16770,-0.91120,2.98300,-1.2684,-1.3087
2023-03-31,36.62780,36.62780,-41.11340,-5.29380,-1.00990,-6.30370,-1.24900,-5.05470,-5.05470,,-5.05470,-4.22650,-5.29380,10.75700,10.75700,-0.47000,-0.47000,0.45800,0.43070,0.75640,100.00000,-14.45300,-14.45300,-17.21010,-13.80020,0.11090,0.40090,224.47970,-15.18750,-15.41920,-1.52990,-8.64670,3.09280,-0.31300,-0.35630
2022-12-31,37.09110,37.09110,-40.54870,-4.28560,-0.64940,-4.93510,-0.98500,-3.95000,-3.95000,,-3.95000,-0.28580,-4.28570,10.64500,10.64500,-0.36000,-0.36000,0.44830,0.41020,0.69560,100.00000,-11.55440,-11.55440,-13.30520,-10.64950,0.11580,0.46160,194.95510,-10.92090,-11.07400,-1.23310,-6.44080,3.38030,0.6581,0.5446
2022-09-30,35.53760,35.53760,-38.81540,-4.10270,-0.45650,-4.55930,-0.56170,-3.99760,-3.99760,,-3.99760,-2.56010,-4.10270,10.64570,10.64570,-0.38000,-0.38000,0.44790,0.43520,0.77070,100.00000,-11.54480,-11.54480,-12.82950,-11.24900,0.11260,0.49180,182.99380,-10.28460,-10.41860,-1.26620,-5.80830,3.65110,0.5445,0.4691
2022-06-30,28.97930,28.97930,-34.42790,-6.32590,-0.45650,-6.78240,-1.40280,-5.37960,-5.37960,,-5.37960,-5.20270,-6.32590,10.64500,10.64500,-0.51000,-0.51000,0.44360,0.38850,0.63520,100.00000,-21.82910,-21.82910,-23.40450,-18.56370,0.09450,0.43480,206.98190,-11.42430,-11.54690,-1.75440,-6.98640,4.42320,0.3472,0.2558
