Date,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,21.37000,4.35600,,-25.72600,1.35800,-24.36800,-24.36800,-24.36800,-24.36800,-25.68400,-25.72600,101.27300,101.27300,-0.24000,-0.24000,2.70870,-59.11840,-59.11840,-37.62700,-59.11840,0.45760,-0.2055,-0.2059
2024-06-30,18.32300,4.49100,,-22.81400,1.43400,-21.38000,-21.38000,-21.38000,-21.38000,-22.78300,-22.81400,101.27260,101.27260,-0.21000,-0.21000,3.74730,-33.63060,-33.63060,-24.71930,-33.63060,0.70570,-0.1585,-0.1602
2024-03-31,18.73600,5.14500,,-23.88100,-5.70300,-29.58400,-29.58400,-29.58400,-29.58400,-23.85500,-23.88100,97.30000,97.30000,-0.30000,-0.30000,5.09360,-35.39770,-35.39770,-28.40380,-35.39770,0.92780,-0.24630,-0.24670
2023-12-31,19.28400,4.09700,,-23.38100,1.80900,-21.57200,-21.57200,-21.57200,-21.57200,-23.35800,-23.38100,44.32000,44.32000,-0.48000,-0.48000,2.12440,-74.56360,-74.56360,-39.72820,-74.56360,0.64040,-0.3238,-0.3275
2023-09-30,19.79600,3.77400,,-23.57000,0.80100,-22.76900,-22.76900,-22.76900,-22.76900,-23.53600,-23.57000,44.57400,44.57400,-0.51000,-0.51000,3.66870,-47.03660,-47.03660,-33.99530,-47.03660,1.08550,-0.3856,-0.3866
2023-06-30,21.17200,3.84900,,-25.02100,1.02200,-23.99900,-23.99900,-23.99900,-23.99900,-24.99900,-25.02100,44.43300,44.43300,-0.54000,-0.54000,4.74490,-34.63860,-34.63860,-27.04450,-34.63860,1.55740,-0.4418,-0.4422
2023-03-31,22.96300,4.28800,,-27.25100,1.97900,-25.27200,-25.27200,-25.27200,-25.27200,-27.21900,-27.25100,43.66500,43.66500,-0.58000,-0.58000,6.53800,-27.70510,-27.70510,-23.21260,-27.70510,2.05430,-0.44690,-0.44930
2022-12-31,20.73500,3.62200,,-57.32700,0.85300,-56.47400,-56.47400,-56.47400,-56.47400,-24.33800,-57.32700,31.81900,31.81900,-1.63000,-1.63000,9.62480,-49.67630,-49.67630,-44.20560,-49.67630,2.89220,-0.4101,-0.41
2022-09-30,16.53700,3.57900,,-20.11600,-1.10800,-21.22400,-21.22400,-21.22400,-21.22400,-20.09900,-20.11600,30.56500,30.56500,-0.69000,-0.69000,7.52550,-19.50560,-27.98520,-17.52850,-19.50560,3.56000,-0.4324,-0.4348
2022-06-30,16.53800,4.07200,,-20.61000,-1.29100,-21.90100,-21.90100,-21.90100,-21.90100,-20.59000,-20.61000,30.24900,30.24900,-0.72000,-0.72000,10.07120,-17.13050,-23.08330,-15.79510,-17.13050,4.18300,-0.4695,-0.4704
2022-03-31,17.44500,3.99000,,-21.43500,0.62700,-20.80800,-20.80800,-20.80800,-20.80800,-21.41400,-21.43500,28.12700,28.12700,-0.74000,-0.74000,10.11430,-15.08250,-19.81880,-13.87940,-15.08250,4.71820,-0.73530,-0.73570
2021-12-31,18.37800,3.34300,,-21.72100,0.53600,-21.18500,-21.18500,-21.18500,-21.18500,-21.68100,-21.72100,23.65300,23.65300,-0.72000,-0.72000,9.20870,-16.66600,-22.50250,-15.23010,-16.66600,4.82680,-1.1669,-1.1679
2021-09-30,15.48000,2.90700,,-18.38700,-0.90500,-19.29200,-19.29200,-19.29200,-19.29200,-18.37100,-18.38700,25.32000,25.32000,-0.76000,-0.76000,11.56600,-13.26230,-17.14920,-12.30700,-13.26230,5.54170,-0.423,-0.4236
2021-06-30,15.73800,3.43200,,-19.17000,1.23600,-17.93400,-17.93400,-17.93400,-17.93400,-19.15500,-19.17000,21.74900,21.74900,-0.82000,-0.82000,7.01920,-14.85320,-20.43250,-13.18110,-14.85320,5.55160,-1.3175,-1.3184
2021-03-31,11.51900,3.61800,-17.25000,-32.38700,-2.14700,-34.53400,-34.53400,-34.53400,-34.53400,-32.37300,-32.38700,21.17500,21.17500,-1.63000,-1.63000,7.35390,-25.12550,-33.05450,-22.31970,-25.12550,6.31960,-0.61150,-0.61190
2020-12-31,11.17600,3.01400,,-14.19000,3.03100,-11.15900,-11.15900,-11.15900,-11.15900,-14.21400,-14.19000,15.66400,15.66400,-0.42000,-0.42000,15.92770,-7.02770,-8.86940,-6.64780,-7.02770,7.50120,-1.1973,-1.2
2020-09-30,11.04000,2.50500,,-13.54500,0.63200,-12.91300,-12.91300,-12.91300,-12.91300,-13.50200,-13.54500,18.40600,18.40600,-0.70000,-0.70000,17.12840,-7.92820,-9.94030,-7.52330,-7.92820,7.86150,-0.1518,-0.1538
2020-06-30,9.98700,2.23500,,-12.22200,0.76400,-11.45800,-11.45800,-11.45800,-11.45800,-12.21600,-12.22200,12.69600,12.69600,-0.90000,-0.90000,6.90940,-14.56190,-25.06400,-13.14720,-14.56190,5.25690,-0.5695,-0.5737
2020-03-31,6.43400,2.58000,,-9.01400,0.52700,-8.48700,-8.48700,-8.48700,-8.48700,-9.00000,-9.01400,10.74900,10.74900,-0.79000,-0.79000,3.72640,-16.80990,-48.44730,-14.81360,-16.80990,4.66440,-1.02600,-1.02640
2019-12-31,6.02600,2.16000,,-8.18600,0.49500,-7.69100,-7.69100,-7.69100,-7.69100,-8.17400,-8.18600,7.72200,7.72200,2.91000,2.91000,4.55740,-13.17790,-30.28790,-11.66100,-13.17790,5.43160,-1.4737,-1.403
