Date,revenue,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,1785.60000,1785.60000,1058.90000,-113.10000,613.60000,212.50000,826.10000,185.70000,640.40000,640.40000,587.50000,748.10000,613.60000,222.30000,222.80000,2.64000,2.64000,3.46120,100.00000,34.36380,34.36380,46.26460,32.90210,0.13030,2.00630,44.85890,6.12660,8.63690,4.67240,6.12660,47.05390,2.9471,2.4747
2024-06-30,1733.30000,1733.30000,1051.70000,-116.90000,564.70010,80.30000,645.00000,159.70000,485.30000,485.30000,470.50000,701.70010,564.70010,223.00000,223.50000,2.11000,2.11000,3.75990,100.00000,32.57950,32.57950,37.21230,27.14480,0.13240,2.04660,43.97450,4.78880,6.88480,3.70750,4.78880,45.52320,3.0411,2.5775
2024-03-31,1750.20000,1750.20000,1058.70000,-104.90000,586.60000,188.90000,775.50000,182.10000,593.40000,593.40000,558.00000,700.00000,586.60000,223.60000,224.20000,2.50000,2.49000,3.77600,100.00000,33.51620,33.51620,44.30920,31.88210,0.13620,1.98210,45.40620,5.94020,8.64400,4.61650,5.94020,44.69700,2.84260,2.38540
2023-12-31,1642.00000,1642.00000,1155.20000,-99.60000,387.20010,259.70000,646.90000,173.30000,473.60010,473.60010,425.90010,521.60010,387.20030,224.10000,224.80000,1.90000,1.90000,4.01190,100.00000,23.58100,23.58100,39.39710,25.93790,0.13370,2.03240,44.28200,4.88390,7.23390,3.85710,4.88390,43.30260,-0.7002,-1.0645
2023-09-30,1670.70000,1670.70000,977.80000,-111.60000,581.29990,2.80000,584.10000,144.90000,439.20000,439.20000,442.60000,712.70000,581.29990,224.10000,224.80000,1.98000,1.97000,2.84090,100.00000,34.79380,34.79380,34.96140,26.49190,0.13310,2.22170,40.51000,4.56480,6.82390,3.49770,4.56480,43.04110,2.0979,1.6805
2023-06-30,1610.20000,1610.20000,993.60000,-83.10000,533.49990,106.20000,639.70000,158.50000,481.20000,481.20000,464.80000,642.29990,533.49990,224.40000,225.20000,2.07000,2.06000,3.22080,100.00000,33.13250,33.13250,39.72800,28.86600,0.12760,2.11480,42.55750,5.08350,7.70450,3.81260,5.08350,42.20550,1.7531,1.4347
2023-03-31,1537.60000,1537.60000,1004.90000,-48.50000,484.20010,135.40000,619.60000,177.90000,441.70000,441.70000,411.00000,591.20010,484.20010,224.40000,225.20000,1.83000,1.83000,3.46310,100.00000,31.49060,31.49060,40.29660,26.73000,0.12650,2.10510,42.75230,4.78040,7.37000,3.63340,4.78040,41.15230,2.27220,2.00270
2022-12-31,1524.20000,1524.20000,1036.70000,-234.40000,253.10030,135.70000,388.79990,99.20000,289.60000,289.60000,259.50010,574.50040,253.09980,226.00000,227.10000,1.16000,1.17000,3.67900,100.00000,16.60550,16.60540,25.50850,17.02530,0.13090,2.03580,44.20880,3.20700,5.02990,2.48730,3.20700,40.25770,-0.6341,-0.8974
2022-09-30,1588.20000,1588.20000,940.80000,-72.80000,574.60000,-82.80000,491.80000,134.00000,357.80000,357.80000,375.20000,683.10000,574.60000,225.30000,226.30000,1.67000,1.66000,2.76930,100.00000,36.17930,36.17930,30.96590,23.62420,0.13240,2.14220,42.01360,3.92560,6.35510,2.98340,3.92560,40.70430,3.4455,3.2013
2022-06-30,1513.00000,1513.00000,791.20010,-53.20000,668.59990,-279.90000,388.70000,100.90000,287.80000,287.80000,332.20000,776.09990,668.59990,226.70000,227.90000,1.47000,1.46000,3.24630,100.00000,44.19040,44.19040,25.69070,21.95640,0.12860,1.95680,45.99340,3.13750,5.08350,2.44550,3.13750,40.63970,2.7763,2.4764
2022-03-31,1863.00000,1863.00000,923.60000,-62.00000,877.40000,-198.50000,678.90000,164.50000,514.40000,514.40000,554.90000,985.80000,877.40000,228.20000,229.80000,2.43000,2.41000,3.15180,100.00000,47.09610,47.09610,36.44120,29.78530,0.15090,2.02610,44.42030,5.51540,8.87450,4.16590,5.51540,41.03520,4.80160,4.56270
2021-12-31,1961.70000,1961.70000,1017.50000,-81.70000,862.49960,50.10000,912.60020,179.00000,733.60020,733.60020,721.70000,916.19960,862.49960,226.60000,228.80000,3.21000,3.18000,3.37130,100.00000,43.96700,43.96700,46.52090,36.78950,0.15680,1.85360,48.55330,7.91250,12.95020,5.86460,7.91250,40.45560,1.5968,1.3318
2021-09-30,1954.10000,1954.10000,887.59990,-70.30000,996.20010,-11.50000,984.70000,227.30000,757.40000,757.40000,757.70000,1047.90000,996.20010,226.90000,229.10000,3.34000,3.31000,4.08250,100.00000,50.98000,50.98000,50.39150,38.77490,0.17070,2.07530,43.36730,9.16720,9.97050,6.61440,9.16720,36.52290,5.6285,5.3799
2021-06-30,1929.30000,1929.30000,927.90000,-43.30000,958.10000,143.90000,1102.00000,259.30000,842.70000,842.70000,793.50000,1008.50000,958.10000,226.90000,229.20000,3.50000,3.46000,2.90050,100.00000,49.66050,49.66050,57.11920,41.12890,0.17100,2.10120,42.83320,10.67660,11.66000,7.47130,10.67660,34.78240,3.5373,3.2616
2021-03-31,1826.80000,1826.80000,892.60000,-41.00000,893.20010,102.10000,995.30000,230.50000,764.80000,764.80000,729.50000,942.20010,893.20010,227.70000,230.00000,3.20000,3.17000,4.80290,100.00000,48.89430,48.89430,54.48330,39.93320,0.16970,2.06210,43.64520,9.55020,10.41610,7.10490,9.55020,35.28650,4.32480,4.06910
2020-12-31,1732.90100,1732.90100,939.49980,-37.50000,755.90040,390.10000,1146.00000,216.40000,929.59990,929.59990,762.19990,801.50040,755.90010,228.80000,231.20000,3.32000,3.29000,7.42010,100.00000,43.62050,43.62050,66.13190,43.98410,0.16260,2.00780,44.82600,12.06180,13.20210,8.72130,12.06180,33.80780,-0.0564,-0.3072
