Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-08-31,1968.78900,1132.11600,836.67300,526.14600,526.14600,310.52700,-20.07600,290.45100,61.89700,228.55400,228.55400,226.79900,356.71200,310.52700,127.69100,128.42000,1.78000,1.77000,2.25970,0.43550,0.77400,42.49680,15.77250,15.77250,14.75280,11.51970,0.29610,1.12820,1.46470,61.44690,8.61970,27.49770,3.43700,4.86600,20.60210,1.93160,1.53650
2024-05-31,2008.16300,1177.58300,830.57970,554.50390,554.50400,276.07600,-36.79800,239.27800,58.44200,180.83590,180.83590,182.46900,320.67110,276.07570,127.76700,128.34000,1.40000,1.40000,1.97490,0.44210,0.84670,41.36020,13.74770,13.74770,11.91530,9.08640,0.30490,1.23120,1.41480,63.61540,7.19820,26.19510,2.74550,4.01580,19.53080,1.4112,0.8201
2024-02-29,1522.98200,915.81800,607.16410,504.76000,504.76000,102.40410,-18.82300,83.58100,22.10300,61.47800,61.47800,60.92000,144.88310,102.40410,127.78100,128.33400,0.48000,0.47000,2.28510,0.48220,0.93410,39.86680,6.72390,6.72390,5.48800,4.00000,0.23860,0.84740,1.42070,63.35130,2.61810,11.94230,0.96320,1.35550,18.23670,1.347,0.9672
2023-11-30,1792.27500,1044.04700,748.22800,523.28900,523.28900,224.93910,-29.11500,195.82400,50.00900,145.81500,145.81500,144.79800,265.57710,224.93910,127.75800,128.24900,1.13000,1.13000,2.32710,0.48740,0.95340,41.74740,12.55050,12.55050,10.92600,8.07900,0.27420,0.94670,1.45320,61.93280,6.17190,28.19090,2.23050,3.16340,18.33260,3.1971,2.9062
2023-08-31,2011.85700,1183.24000,828.61710,531.03200,531.03200,297.58510,-28.43100,269.15400,67.84100,201.31300,201.31300,200.21000,341.12410,297.58510,127.63300,128.77100,1.57000,1.56000,2.45300,0.52250,1.09750,41.18670,14.79160,14.79160,13.37840,9.95150,0.29960,1.05890,1.41790,63.47360,8.81850,45.75200,2.99780,4.21050,17.70160,2.78950,2.38410
2023-05-31,2016.21000,1241.06200,775.14820,530.20900,530.20900,244.93930,-38.30000,206.63900,54.96800,151.67100,151.67100,153.62200,284.70230,244.93880,127.50700,128.81600,1.20000,1.18000,2.13590,0.53900,1.25240,38.44580,12.14850,12.14850,10.24890,7.61930,0.29730,1.09300,1.34140,67.09300,7.07750,51.51500,2.23640,3.26300,16.64260,2.4259,1.8544
2023-02-28,1516.17600,978.14200,538.03400,450.01900,486.76400,51.27000,-8.78300,42.48700,15.24800,27.23900,27.23900,26.70000,126.45100,51.27000,127.49500,128.03500,0.21000,0.21000,2.75070,0.57840,1.37350,35.48630,3.38150,3.38150,2.80220,1.76100,0.22940,0.72920,1.26010,71.42250,1.32550,13.34080,0.41210,0.55880,15.93840,0.5732,0.0497
2022-11-30,1791.70800,1101.31700,690.39100,490.60700,490.60700,199.78390,-24.64900,175.13500,43.59300,131.54200,131.54200,130.66800,238.11790,199.78390,127.58500,128.91100,1.02000,1.02000,2.57110,0.57590,1.35980,38.53260,11.15050,11.15050,9.77480,7.29290,0.26160,0.79250,1.33700,67.31650,6.28760,78.02200,1.92050,2.66650,16.20640,1.2972,0.8681
2022-08-31,1932.32000,1187.84900,744.47090,485.20500,485.20500,259.26600,-34.14500,225.12100,55.84200,169.27900,169.27900,167.70100,297.68200,259.26600,127.61700,128.16100,1.31000,1.31000,1.99340,0.55920,1.42050,38.52730,13.41730,13.41730,11.65030,8.67870,0.28400,0.88650,1.37250,65.57300,8.47410,216.10580,2.48830,3.73540,15.47340,0.18380,-0.26730
2022-05-31,1983.89100,1245.38900,738.50200,498.15610,498.15600,240.34610,-18.66900,221.67700,22.37100,199.30600,199.30600,201.38300,279.12510,240.34590,127.94800,129.58000,1.54000,1.54000,1.56310,0.51220,1.35430,37.22490,12.11490,12.11490,11.17390,10.15090,0.29580,1.02700,1.38480,64.99190,10.04650,371.15340,2.97130,4.90060,15.35480,0.1769,-0.7646
