Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,other-income,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,long-term-debt-capital,debt-equity-ratio,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,1136.86600,873.25100,263.61500,132.97200,132.97200,130.64300,-20.73100,109.91200,26.89200,83.02000,,83.02000,83.02000,136.91500,130.64300,31.33680,32.02500,2.65000,2.59000,0.30520,0.60170,11.49150,11.49150,9.66800,7.30250,0.23780,3.25890,3.31010,1.73650,2.26430,81.29360,-2.9879,-4.9215
2024-06-30,1039.45000,787.55600,251.89390,125.97300,125.97310,125.92090,-15.28800,110.63300,26.90900,83.72400,,83.72400,83.72400,131.61090,125.92090,31.64810,32.09280,2.65000,2.61000,0.30370,0.48110,12.11420,12.11420,10.64340,8.05460,0.24000,3.39560,3.44040,1.93290,2.36440,78.68360,-3.1146,-3.8368
2024-03-31,948.54300,725.60700,222.93600,114.10900,114.10900,108.82700,-24.50700,84.32000,19.98800,64.33200,,64.33200,64.33200,114.30200,108.82700,31.80900,32.23880,2.02000,2.00000,0.30660,0.44220,11.47310,11.47310,8.88940,6.78220,0.23070,2.65910,2.69490,1.56470,1.84380,76.09940,0.66980,-0.31890
2023-12-31,1205.58100,929.57790,276.00340,131.96000,131.96010,144.04330,-17.96900,126.07400,34.75600,91.31800,,91.31800,91.31800,148.79830,144.04300,31.91900,32.20900,2.87000,2.83000,0.30800,0.44510,11.94800,11.94800,10.45750,7.57460,0.29120,3.82570,3.87510,2.20610,2.64740,75.12090,0.2685,-1.5165
2023-09-30,889.42300,652.41100,237.01200,111.91800,111.91800,125.09400,-13.09500,111.99900,28.84900,83.15000,,83.15000,83.15000,129.20000,125.09400,31.96290,32.23700,2.60000,2.58000,0.31440,0.45850,14.06460,14.06460,12.59230,9.34880,0.22520,3.62680,3.67550,2.10540,2.48660,72.15770,-3.0935,-3.9016
2023-06-30,844.19100,657.20900,186.98200,105.12000,105.12000,81.86200,-13.11400,68.74800,17.30300,51.44500,,51.44500,51.44500,85.48300,81.86200,32.02520,32.24740,1.61000,1.60000,0.31690,0.46390,9.69710,9.69710,8.14370,6.09400,0.21890,2.31530,2.34750,1.33390,1.58160,69.39070,-1.84,-2.6785
2023-03-31,752.99000,601.38500,151.60500,98.31300,98.31300,53.29200,-9.28300,44.00900,10.69800,33.31100,,33.31100,33.31100,56.58400,53.29200,31.91440,32.11710,1.04000,1.04000,0.32100,0.47270,7.07740,7.07740,5.84460,4.42380,0.20280,1.53390,1.55570,0.89720,1.04150,67.80920,5.95740,5.30080
2022-12-31,1179.13300,941.21090,237.92200,109.25800,109.25810,128.66420,-26.26200,102.40200,22.91300,79.48900,,79.48900,79.48900,131.68020,128.66420,32.57900,32.97800,2.55000,2.50000,0.32160,0.47410,10.91180,10.91180,8.68450,6.74130,0.31250,3.69680,3.74980,2.10640,2.50780,67.67430,11.6227,11.1205
2022-09-30,1144.29100,841.95700,302.33400,110.68700,110.68700,191.64700,-19.57300,172.07400,27.60100,144.47300,,144.47300,144.47300,194.50200,191.64700,32.19660,32.57030,4.49000,4.44000,0.32910,0.57020,16.74810,16.74810,15.03760,12.62560,0.29490,6.97260,7.07640,3.72350,4.67770,65.21470,1.0361,0.6825
2022-06-30,1166.14200,822.90700,343.23490,109.15800,109.15810,234.07690,-20.42900,213.64800,54.98000,158.66800,,158.66800,158.66800,236.82290,234.07690,32.83940,33.22740,4.83000,4.78000,0.34100,0.58970,20.07280,20.07280,18.32090,13.60620,0.30910,8.13200,8.26070,4.20560,5.35900,60.45780,-6.3206,-6.8227
