Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,22.53040,13.82390,8.70640,3.88590,4.34120,8.29960,0.40690,-0.01580,0.39110,0.15790,0.23320,0.23320,0.23510,0.48270,0.40690,36.77300,36.77300,0.01000,0.01000,0.83700,,2.13150,38.64310,1.80580,1.80580,1.73590,1.04370,0.33740,2.26550,39.72700,8.64380,9.62100,0.34920,8.65300,0.07330,-0.1337,-0.1337
2024-06-30,21.60670,13.50420,8.10250,1.86090,3.49010,5.43150,2.67100,0.17320,2.84410,0.58950,2.25460,2.25460,2.25620,2.80250,2.67100,36.76220,36.94490,0.06000,0.06000,0.78080,,2.41030,37.49990,12.36180,12.36180,13.16320,10.44190,0.28660,1.96290,45.85000,94.16620,106.20060,2.99070,94.16620,0.06510,0.0044,0.0044
2024-03-31,14.11570,12.04170,2.07400,1.77650,2.42310,4.28190,-2.20790,-0.05050,-2.25840,-0.47800,-1.78050,-1.78050,-1.77930,-1.89590,-2.20790,36.70560,36.70560,-0.05000,-0.05000,0.70850,,48.46460,14.69310,-15.64140,-15.64140,-15.99920,-12.60530,0.18030,1.40250,64.17080,-1328.81100,1294.60000,-2.27410,-1328.80900,0.00360,0.18460,0.18460
2023-12-31,28.57020,18.64660,9.92360,1.16540,4.99510,6.24720,3.67650,-0.63650,3.04000,0.64370,2.39620,2.39620,2.39740,4.18130,3.67650,36.66000,36.66000,0.06000,0.06000,0.79440,,4.26430,34.73410,12.86820,12.86820,10.64030,8.39110,0.31450,1.13200,79.50480,85.47330,94.75400,2.63740,85.56100,0.07640,0.3072,0.3072
2023-09-30,8.98110,9.46310,-0.48200,1.31740,3.66760,5.09790,-5.57990,-0.01100,-5.59080,-1.15670,-4.43420,-4.43420,-4.43260,-5.14860,-5.57990,36.64970,36.64970,-0.12000,-0.12000,0.66850,,94.49010,-5.36630,-62.12890,-62.12890,-62.25100,-49.35490,0.14620,0.56890,158.19000,-3057.01400,1723.32700,-7.21760,-3056.99500,0.00400,-0.0524,-0.0524
2023-06-30,9.89230,9.33580,0.55650,1.20080,4.10550,5.42440,-4.86800,-0.29780,-5.16580,-1.08190,-4.08390,-4.08390,-4.07940,-4.37550,-4.86800,36.64970,36.64970,-0.11000,-0.11000,0.72750,,2.70760,5.62550,-49.21010,-49.21010,-52.22050,-41.23860,0.16380,0.58880,152.84270,-93.94820,-109.02350,-6.76350,-94.01030,0.11850,-0.0592,-0.0592
2023-03-31,13.45850,10.86090,2.59760,1.37380,4.63030,6.11920,-3.52160,-0.25680,-3.77840,-0.80580,-2.97260,-2.97260,-2.97140,-2.70180,-3.52160,36.67730,36.67730,-0.08000,-0.08000,0.75410,0.30690,2.54880,19.30050,-26.16640,-26.16640,-28.07460,-22.07810,0.20320,0.73190,122.96210,-47.25980,-55.77960,-4.48730,-32.75710,0.17160,-0.18290,-0.18290
2022-12-31,15.31190,13.54910,1.76280,2.47600,4.50950,7.09870,-5.33590,-0.19400,-5.52990,-3.24970,-2.28020,-2.28020,-2.27020,-3.34420,-5.33590,37.88010,37.88010,-0.07000,-0.07000,0.82660,0.25600,1.89280,11.51250,-34.84820,-34.84820,-36.11530,-14.82650,0.21040,0.84110,106.99920,-24.34880,-29.58180,-3.13330,-18.11600,0.25450,-0.0696,-0.0697
2022-09-30,15.61420,12.42410,3.19010,0.11660,4.67730,4.92250,-1.73240,-0.21220,-1.94460,-0.39900,-1.54560,-1.54560,-1.53870,0.25400,-1.73240,35.00000,35.00000,-0.04000,-0.04000,0.73910,0.38730,4.15580,20.43080,-11.09490,-11.09490,-12.45380,-9.85480,0.21360,0.92190,97.62470,-34.58550,-161.30090,-2.11420,-21.18890,0.89380,-0.1173,-0.1168
2022-06-30,15.46350,12.25950,3.20400,0.17910,4.46290,4.78080,-1.57680,0.26560,-1.31120,-0.32730,-0.98380,-0.98380,-1.05430,0.51980,-1.57680,35.00000,35.00000,-0.03000,-0.03000,,,,20.71980,-10.19660,-10.19660,-8.47920,-6.81800,,,,,,,,,-0.0444,-0.0444
2022-03-31,28.05460,14.88900,13.16560,0.18400,5.77870,6.13100,7.03460,0.29880,7.33340,1.52970,5.80380,5.80380,5.81110,9.21010,7.03460,35.00000,35.00000,0.17000,0.17000,,,,46.92840,25.07480,25.07480,26.13980,20.71340,,,,,,,,,0.14270,0.14260
2021-12-31,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,,0,0
2021-09-30,24.36100,15.47830,8.88270,0.21680,4.14670,4.57240,4.31030,0.34020,4.65050,0.89150,3.75900,3.75900,3.88490,4.31030,4.31030,,,,0.00000,,,,36.46270,17.69360,17.69360,19.09000,15.94710,,,,,,,,,0,0
