Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,,,,0.56660,1.25340,,-1.81990,0.05650,-1.76350,-1.76350,-1.76350,-1.76350,-1.81950,-1.81990,8.12480,8.12480,-0.22000,-0.22000,5.90150,0.04500,,,,,,,-46.12570,-46.12570,-38.31780,-46.12570,0.48700,-0.1484,-0.1484
2024-06-30,,,,0.51370,1.16830,,-1.68200,0.07030,-1.61160,-1.61160,-1.61160,-1.61160,-1.68150,-1.68200,8.12480,8.12480,-0.20000,-0.20000,8.78020,0.06330,,,,,,,-29.92810,-29.92810,-26.52240,-29.92810,0.68590,-0.1281,-0.1281
2024-03-31,,,,0.55210,1.41360,,-1.96570,0.06190,-1.90380,-1.90380,-1.90380,-1.92060,-1.96530,-1.96570,7.38850,7.38850,-0.26000,-0.26000,9.05040,0.07450,,,,,,,-27.97920,-27.97920,-24.88990,-27.97920,0.86670,-0.25740,-0.25740
2023-12-31,,,,0.40900,0.92680,,-1.33580,0.03880,-1.29690,-1.29690,-1.29690,-1.29690,-1.33530,-1.33580,6.04980,6.04980,-0.17000,-0.17000,15.02910,,,,,,,,-50.03190,-50.03190,-46.71010,-50.03190,0.42530,-0.1744,-0.1744
2023-09-30,0.06500,0.00520,0.05980,0.38000,0.98390,1.36390,-1.30410,0.05120,-1.25300,-1.25300,-1.25300,-1.25300,-1.30370,-1.30410,6.09460,6.09460,-0.21000,-0.21000,9.43500,0.05660,92.00000,-2006.37500,-2006.37500,-1927.65800,-1927.65800,0.01540,-33.24590,-33.24580,-29.72750,-33.24580,0.61830,-0.2248,-0.2248
2023-06-30,,,,0.27370,1.26330,,-1.53700,0.05660,-1.48040,-1.48040,-1.48040,-1.48040,-1.51650,-1.53700,6.05550,6.05550,-0.24000,-0.24000,5.28630,0.08630,,,,,,,-30.21010,-30.21010,-24.50170,-30.21010,0.80400,-0.1049,-0.1049
2023-03-31,,,,0.36990,0.82070,,-1.19060,-0.13490,-1.32550,-1.32550,-1.32550,-1.32550,-1.19020,-1.19060,4.84000,4.84000,-0.27000,-0.27000,3.86870,0.13610,,,,,,,-28.66780,-28.66780,-21.26630,-28.66780,0.81720,-0.48790,-0.48790
2022-12-31,0.01000,0.00080,0.00920,0.16090,0.43200,0.59290,-0.58370,-0.11230,-0.69500,-0.69500,-0.69500,-0.69500,-0.54430,-0.58370,4.00990,4.00990,-0.25000,-0.25000,0.02320,-0.51640,92.00000,-5837.00000,-5837.00000,-6950.00000,-6950.00000,0.12440,22.73210,22.73210,-864.76120,22.73210,-0.76020,-0.0439,-0.0443
2022-09-30,,,,0.03940,0.60110,,-0.64060,-0.12410,-0.76470,-0.76470,-0.76470,-0.76470,-0.54130,-0.64060,4.75300,4.75300,-0.16000,-0.16000,,,,,,,,,,,,,,-0.0512,-0.0511
2022-06-30,,,,0.09270,0.58930,,-0.68200,-0.09400,-0.77590,-0.77590,-0.77590,-0.77590,-0.60970,-0.68200,4.63270,4.63270,-0.17000,-0.17000,,,,,,,,,,,,,,-0.13,-0.1319
2022-03-31,,,,0.31630,0.23400,,-0.55030,-0.01610,-0.56640,-0.56640,-0.56640,-0.56640,-0.54620,-0.55030,4.62280,4.62280,-0.12000,-0.12000,,,,,,,,,,,,,,-0.00210,-0.00210
2021-12-31,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,0,0
