Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2023-09-30,2.05800,0.35350,1.70460,1.31190,-1.23790,2.54970,-0.84510,0.67350,-0.17160,-0.17160,-0.17160,-3.35350,-3.52510,-0.61660,-0.84510,0.77100,2.36300,-4.57000,-1.49000,0.61020,0.00220,0.45460,82.82580,-41.06600,-41.06600,-8.33840,-171.28600,0.09500,0.11680,2.13090,42.23500,-1.48450,5.68050,-0.79250,-1.48130,14.11440,0.3748,0.5786
2023-06-30,2.25110,0.60630,1.64470,1.12590,-0.86440,1.99040,-0.34560,-1.62930,-1.97490,-1.97490,-1.97490,,-1.97490,-0.29210,-0.34560,0.68120,0.68120,-2.90000,-2.90000,0.49150,,,73.06400,-15.35380,-15.35380,-87.73040,-87.73040,0.60110,3.76010,2.81580,31.96220,152.55590,104.80990,-52.73390,152.55590,-1.89670,0.5029,0.4289
2023-03-31,2.24780,0.69070,1.55710,1.28330,-0.62120,1.90450,-0.34740,0.02170,-0.32570,-0.32570,-0.32570,-0.35220,-0.67800,-0.29510,-0.34740,0.67110,0.67110,-1.04950,-1.04950,0.93570,,,69.27280,-15.45570,-15.45570,-14.49040,-30.16140,0.55670,5.47050,3.17520,28.34490,-49.71590,-277.85380,-8.06660,-49.71590,0.96190,-1.38810,-1.51790
2022-12-31,2.87350,1.30130,1.57220,1.17170,-2.53430,3.70600,-2.13390,0.64260,-1.49130,-1.49130,-1.49130,,-0.91950,-1.97920,-2.13390,0.56510,0.56510,-1.44780,-1.44780,0.97500,0.49300,1.45830,54.71350,-74.26080,-74.26080,-51.89900,-31.99960,0.77450,19.01140,4.42570,20.33560,-434.94910,-434.94880,-40.19640,-220.54080,0.54770,2.2927,2.1025
2022-09-30,2.05580,0.68340,1.37240,1.07890,-0.51230,1.59120,-0.21880,-0.12170,-0.34050,-0.34050,-0.34050,-0.18830,-0.50300,-0.28710,-0.21880,0.55000,0.55200,-0.91000,-0.91000,1.15120,0.19720,0.36860,66.75870,-10.64120,-10.64120,-16.56160,-24.46750,0.43840,8.99770,1.19140,75.54230,-25.09800,-132.18400,-7.26070,-20.14750,2.42150,-0.9974,-1.0928
2022-06-30,3.27870,2.10780,1.17090,1.72500,-0.54900,2.27400,-1.10310,-0.00920,-1.11230,-1.11230,-1.11230,,-1.08380,-1.05190,-1.10310,0.54540,0.54540,-1.99000,-1.99000,1.31450,0.15590,0.27710,35.71240,-33.64430,-33.64430,-33.92350,-33.05440,0.57800,16.57880,3.21740,27.97310,-61.63700,-148.98460,-19.60810,-52.02670,3.30700,-2.1606,-2.6743
2022-03-31,3.24030,1.90460,1.33570,1.72130,-0.58300,2.30420,-0.96860,0.00270,-0.96580,-0.96580,-0.96580,,-0.96580,-0.91030,-0.96860,0.54550,0.54550,-1.79910,-1.79910,2.25330,0.10350,0.17320,41.22190,-29.89170,-29.89170,-29.80730,-29.80730,0.55480,6.95230,3.11300,28.91130,-33.44800,-46.10020,-16.53770,-29.98640,5.29180,-1.83470,-1.79250
2021-12-31,2.38790,1.14770,1.24020,0.85180,-1.17080,2.02250,-0.78230,-0.00200,-0.78430,-0.78430,-0.78430,,-0.78430,-0.74610,-0.78230,0.54270,0.54270,-1.34930,-1.34930,4.72370,,,51.93780,-32.76200,-32.76210,-32.84650,-32.84650,0.41410,20.39260,2.43920,36.89750,-20.80380,-20.80380,-13.60250,-20.80380,6.92190,-0.7993,-0.8409
2021-09-30,2.55000,1.26900,1.28100,1.93290,-0.64420,2.57720,-1.29610,-0.00560,-1.30170,-1.30170,-1.30170,,-1.30170,-1.26110,-1.29610,0.54450,0.54450,-2.39880,-2.39880,7.92420,,,50.23600,-50.82760,-50.82760,-51.04800,-51.04800,0.46250,13.38300,2.52780,35.60460,-28.19290,-28.19290,-23.60760,-28.19290,8.47720,-1.3421,-1.3421
2021-06-30,1.89830,1.05690,0.84140,1.57060,-1.84040,3.41090,-2.56960,-0.00870,-2.57830,-2.57830,-2.57830,,-2.57830,-2.53540,-2.56960,0.54170,0.54170,-4.79760,-4.79760,7.59090,,0.03890,44.32450,-135.36590,-135.36590,-135.82360,-135.82350,0.27530,7.59690,1.26210,71.30940,-44.55310,-44.55310,-37.38780,-44.55310,10.63120,-1.2711,-1.2711
2021-03-31,3.05320,1.66990,1.38330,1.38780,-0.63980,2.02760,-0.64430,-0.00730,-0.65150,-0.65150,-0.65150,,-0.65150,-0.61080,-0.64430,0.53980,0.53980,-1.19940,-1.19940,7.39710,,0.02740,45.30640,-21.10070,-21.10070,-21.33860,-21.33870,0.31500,3.55210,1.01160,88.96430,-7.94380,-7.94380,-6.72140,-7.94380,15.19370,-1.31580,-1.31580
2020-12-31,1.99430,1.86120,0.13310,1.71260,,2.43850,-2.30540,-0.00670,-2.31220,-2.31220,-2.31220,,-2.31220,-2.26730,-2.30540,0.51400,0.51400,-4.64770,-4.49780,10.94860,,0.02590,6.67470,-115.60150,-115.60150,-115.93870,-115.93870,0.20370,1.47980,1.05370,85.41600,-26.64040,-26.64040,-23.61100,-26.64040,16.07840,-1.5213,-1.5506
