Date,revenue,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,59.62700,59.62700,3.03900,-34.99100,21.59700,21.59700,-0.02100,21.61800,-0.37900,-0.37900,22.92200,21.59700,53.43900,53.43900,-0.01000,-0.01000,0.07590,100.00000,36.22020,36.22020,36.22020,-0.63560,0.03110,1.20590,74.63300,-0.04520,-0.04520,-0.01980,-0.04520,15.72700,0.9774,0.9774
2024-06-30,61.35700,61.35700,2.90500,-35.48500,22.96700,22.96700,0.00400,22.96300,22.37800,22.37800,24.22200,22.96700,53.59600,53.59600,0.42000,0.42000,0.04760,100.00000,37.43180,37.43180,37.43180,36.47180,0.03130,1.50230,59.90660,2.59970,2.59970,1.14150,2.59970,16.08200,-0.3,-0.3
2024-03-31,73.55400,73.55400,2.87600,-38.08000,32.59800,32.59800,0.00500,32.59300,6.44500,6.44500,33.85200,32.59800,53.96100,53.96100,0.12000,0.12000,0.07880,100.00000,44.31850,44.31850,44.31850,8.76230,0.03740,2.02260,44.49710,0.74680,0.74680,0.32740,0.74680,16.05360,1.78560,1.78560
2023-12-31,59.99900,59.99900,2.65000,-35.53100,21.81800,21.81800,0.06000,21.75800,50.99200,50.99200,23.02000,21.81800,54.68500,54.68500,0.92000,0.92000,0.04240,100.00000,36.36400,36.36400,36.36400,84.98810,0.03000,1.63380,55.08690,5.79740,5.79740,2.54740,5.79740,16.23260,-0.9968,-0.9968
2023-09-30,67.54000,67.54000,2.92700,-34.86000,29.75300,29.75300,-0.23700,29.99000,47.47300,47.47300,30.72800,29.75300,54.56100,54.56100,0.87000,0.87000,0.04780,100.00000,44.05240,44.05240,44.05240,70.28870,0.03560,1.67270,53.80550,5.51520,5.51520,2.50340,5.51520,15.80390,-0.1284,-0.1284
2023-06-30,58.49600,58.49600,2.98400,-31.97800,23.53400,23.53400,0.11800,23.41600,27.89400,27.89400,24.53500,23.53400,54.78900,54.78900,0.51000,0.51000,0.04600,100.00000,40.23180,40.23180,40.23180,47.68530,0.03190,1.76190,51.08040,3.33520,3.33520,1.52030,3.33520,15.03360,-0.657,-0.657
2023-03-31,64.97500,64.97500,2.79200,-32.32000,29.86300,29.86300,0.00500,29.85800,-31.04500,-31.04500,30.75800,29.86300,55.10900,55.10900,-0.56000,-0.56000,0.12660,100.00000,45.96080,45.96080,45.96080,-47.77990,0.03500,2.37720,37.86030,-3.73900,-3.73900,-1.67400,-3.73900,15.10730,0.00560,0.00560
2022-12-31,55.50000,55.50000,2.43100,-28.84500,24.22400,24.22400,0.34700,23.87700,9.53500,9.53500,25.06000,24.22400,56.55700,56.55700,0.17000,0.17000,0.11470,100.00000,43.64680,43.64690,43.64690,17.18020,0.02960,2.09230,43.01510,1.07910,1.07910,0.50920,1.07910,15.97920,1.1461,1.1461
2022-09-30,54.16300,54.16300,2.76000,-25.83200,25.57100,25.57100,0.01400,25.55700,33.98300,33.98300,26.40600,25.57100,56.81700,56.81700,0.60000,0.60000,0.07470,100.00000,47.21120,47.21120,47.21120,62.74210,0.02870,2.00780,44.82470,3.71440,3.71440,1.80220,3.71440,16.26120,0.2697,0.2697
2022-06-30,43.55200,43.55200,2.49300,-21.77100,19.28800,19.28800,,19.28800,-1.26600,-1.26600,20.10000,19.28800,56.95800,56.95800,-0.02000,-0.02000,0.06950,100.00000,44.28730,44.28730,44.28730,-2.90690,0.02320,1.98310,45.38440,-0.13990,-0.13990,-0.06750,-0.13990,15.89310,-0.5352,-0.5352
2022-03-31,41.68300,41.68300,2.94200,-19.24700,19.49400,19.49400,0.01100,19.48300,7.88900,7.88900,20.18600,19.49400,56.95800,56.95800,0.14000,0.14000,0.04870,100.00000,46.76730,46.76730,46.76730,18.92620,0.02310,1.95710,45.98570,0.85520,0.85520,0.43710,0.85520,16.19530,-0.25680,-0.25680
2021-12-31,40.40400,40.40400,2.82100,-18.87200,18.71100,18.71100,0.30100,18.41000,15.97300,15.97300,19.41000,18.71100,56.80900,56.80900,0.85000,0.85000,0.03070,100.00000,46.30980,46.30980,46.30980,39.53320,0.02270,1.87500,48.00040,1.71660,1.71660,0.89600,1.71660,16.33680,0.0549,0.0549
2021-09-30,42.62000,42.62000,3.43100,-19.55100,19.63800,19.63800,0.02600,19.61200,25.10800,25.10800,20.30800,19.63800,56.77400,56.77400,0.44000,0.44000,0.02860,100.00000,46.07700,46.07700,46.07700,58.91130,0.02380,2.00250,44.94300,2.66820,2.66820,1.40280,2.66820,16.52120,0.1879,0.1879
2021-06-30,38.02100,38.02100,3.26000,-16.07100,18.69000,18.69000,0.00400,18.68600,27.96900,27.96900,19.37200,18.69000,56.74800,56.74800,0.49000,0.49000,,100.00000,49.15710,49.15710,49.15710,73.56200,,,,,,,,,-1.1299,-1.1299
2021-03-31,36.30300,36.30300,3.36200,-15.33100,17.61000,17.61000,0.01100,17.59900,49.71400,49.71400,18.35900,17.61000,56.75300,56.75300,0.31000,0.31000,,100.00000,48.50840,48.50840,48.50840,136.94180,,,,,,,,,0.02020,0.02020
2020-12-31,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,-2.5896,-2.5896
2020-09-30,38.88700,38.88700,2.09600,-15.35000,21.44100,21.44100,0.02100,21.42000,31.08700,31.08700,21.44100,21.44100,56.70800,56.70800,0.55000,0.55000,,100.00000,55.13670,55.13670,55.13670,79.94190,,,,,,,,,2.5896,2.5896
2019-12-31,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,0,0
