Date,revenue,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,,,61.90500,25.89200,-87.79700,10.96900,-76.82800,-76.82800,-76.82800,-76.82800,-90.54000,-87.79700,80.09100,80.09100,-0.96000,-0.96000,16.38450,,,,,,,-9.22330,-9.22330,-8.19610,-9.22330,10.30390,-0.7675,-0.7738
2024-06-30,0.39900,0.39900,58.34400,24.83800,-82.78300,8.72800,-74.05500,-74.05500,-74.05500,-74.05500,-85.43800,-82.78300,79.00800,79.00800,-0.94000,-0.94000,16.08720,100.00000,-20747.62000,-20747.62000,-18560.15000,-18560.15000,0.00040,-8.91410,-8.91410,-7.91580,-8.91410,10.47330,-0.5152,-0.5257
2024-03-31,0.64000,0.64000,53.34100,20.82800,-73.52900,7.06900,-66.46000,-66.46000,-66.93000,-66.93000,-76.90200,-73.52900,72.28900,72.28900,-0.93000,-0.93000,17.71840,100.00000,-11488.91000,-11488.91000,-10384.38000,-10457.81000,0.00070,-7.64970,-7.64970,-6.84250,-7.64970,11.14010,-0.73120,-0.74960
2023-12-31,0.00000,0.00000,45.58000,17.07800,-62.65800,6.76200,-55.89600,-55.89600,-60.09700,-60.09700,-65.98000,-62.65800,58.07100,58.07100,-0.89000,-0.89000,13.06620,,,,,,0.00000,-11.14750,-11.14750,-9.45880,-11.14750,7.90770,-0.6144,-0.629
2023-09-30,0.34600,0.34600,43.83900,15.48400,-58.97700,2.51600,-56.46100,-56.46100,-57.45800,-57.45800,-59.95000,-58.97700,56.80800,56.80800,-1.01000,-1.01000,14.22930,100.00000,-17045.38000,-17045.38000,-16318.21000,-16606.36000,0.00050,-10.48990,-10.48990,-8.95630,-10.48990,8.21110,-0.6566,-0.7181
2023-06-30,0.98800,0.98800,40.64000,13.34300,-52.99500,2.01600,-50.97900,-50.97900,-50.97900,-50.97900,-53.62600,-52.99500,54.27500,54.27500,-0.94000,-0.94000,8.73380,100.00000,-5363.86700,-5363.86700,-5159.81800,-5159.81800,0.00340,-20.06130,-20.06130,-17.38390,-20.06130,4.64720,-0.8376,-0.8419
2023-03-31,2.67900,2.67900,38.46800,12.18900,-47.97800,1.98300,-45.99500,-45.99500,-45.99500,-45.99500,-48.22500,-47.97800,53.90800,53.90800,-0.85000,-0.85000,11.60300,100.00000,-1790.89200,-1790.89200,-1716.87200,-1716.87200,0.00850,-16.40750,-16.40750,-14.64770,-16.40750,5.19230,-0.75530,-0.75560
2022-12-31,0.70900,0.70900,36.99100,11.27400,-47.55600,2.56500,-44.99100,-44.99100,-44.99100,-44.99100,-47.62700,-47.55600,51.98200,51.98200,-0.83000,-0.83000,12.45120,100.00000,-6707.47900,-6707.48000,-6345.70200,-6345.70100,0.00200,-14.22290,-14.22290,-12.77520,-14.22290,5.87130,-0.7284,-0.7346
2022-09-30,0.45800,0.45800,31.98700,11.92500,-43.45400,1.52900,-41.92500,-41.92500,-41.92500,-41.92500,-43.33800,-43.45400,53.76800,53.76800,-0.78000,-0.78000,15.40650,100.00000,-9487.77200,-9487.77200,-9153.93000,-9153.93000,0.00120,-11.93180,-11.93180,-10.89300,-11.93180,6.53160,-0.6973,-0.7097
2022-06-30,0.43900,0.43900,32.99500,10.48900,-43.04500,0.67000,-42.37500,-42.37500,-42.37500,-42.37500,-42.63500,-43.04500,52.52200,52.52200,-0.81000,-0.81000,15.94050,100.00000,-9805.23900,-9805.23900,-9652.62000,-9652.61900,0.00100,-10.97330,-10.97330,-10.04780,-10.97330,7.18850,-0.5067,-0.5181
2022-03-31,3.13100,3.13100,28.25200,8.70600,-33.82700,0.21000,-33.61700,-33.61700,-34.62700,-34.62700,-33.26500,-33.82700,47.71200,47.71200,-0.73000,-0.73000,16.20420,100.00000,-1080.39000,-1080.39000,-1073.68200,-1105.94100,0.00940,-11.42640,-11.42640,-10.38960,-11.42640,6.33970,-0.28380,-0.28570
