Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,734.66690,289.45280,445.21410,361.32490,361.32480,83.88930,-49.80210,34.20280,-1.04000,35.24280,35.24280,35.24280,117.96530,83.88930,634.09200,650.77900,0.05560,0.05420,2.90600,60.60080,11.41870,11.41870,4.65560,4.79710,0.30200,0.71800,1.98380,45.36800,2.41050,2.53090,1.44890,2.41030,2.30550,0.2945,0.2611
2024-06-30,627.70590,251.43620,376.26970,323.85950,323.85950,52.41020,-5.08620,47.21340,13.04730,34.16610,34.16610,34.05560,80.77410,52.41020,633.52000,649.41800,0.05400,0.05200,2.97860,59.92600,8.34950,8.34950,7.52160,5.42540,0.27750,0.56670,1.80800,49.77980,2.51020,2.64280,1.51040,2.51020,2.15700,0.1696,0.1434
2024-03-31,580.92340,234.22120,346.70220,302.69290,302.69290,44.00930,88.36160,132.37100,27.89160,104.47930,104.47930,104.47930,69.27190,44.00930,633.08900,648.25800,0.16500,0.16120,3.32460,59.68120,7.57580,7.57580,22.78630,17.98510,0.26930,0.56090,1.75180,51.37550,7.72740,8.16360,4.84390,7.72740,2.14550,0.14280,0.12870
2023-09-30,543.82990,218.21100,325.61880,260.20080,260.20090,65.41800,13.12890,78.43370,11.99710,66.43670,66.43670,66.43670,,65.41800,629.93030,645.41940,0.22640,0.22640,,,,,,,,,,,,,,,,,
2023-06-30,494.23930,200.00950,294.22980,250.40120,250.40130,43.82860,-51.28160,-7.45310,-11.12400,3.67090,3.67090,3.67090,60.06210,43.82860,629.56540,644.82300,0.01110,0.01110,3.51140,59.53190,8.86790,8.86790,-1.50800,0.74270,0.28910,0.41250,1.75820,51.18840,0.32140,0.34400,0.21470,0.32140,1.81610,0.0067,-0.0116
2023-03-31,454.11010,189.44670,264.66340,218.94980,218.94980,45.71360,9.94240,55.65610,7.67300,47.98310,47.98310,47.98310,60.62730,45.71360,628.96100,642.66300,0.07600,0.07500,3.42590,58.28180,10.06660,10.06660,12.25610,10.56640,0.27210,0.37680,1.76180,51.08280,4.35760,4.67570,2.87510,4.35850,1.75230,-0.00100,-0.01550
2022-12-31,383.84820,158.88530,224.96290,208.83200,208.83200,16.13090,-41.35470,-25.22480,2.09740,-27.32210,-27.32210,-27.32210,29.89440,16.13090,627.63300,636.87900,-0.04370,-0.04410,4.33250,58.60730,4.20240,4.20240,-6.57150,-7.11790,0.26500,0.38330,2.09800,42.89900,-2.68910,-2.89960,-1.88610,-2.68930,1.61920,-0.118,-0.146
2022-09-30,339.52620,145.54020,193.98600,151.86990,151.86990,42.11620,-16.50160,25.61560,4.26050,21.35520,21.35520,21.35520,56.30980,42.11620,628.08700,636.39600,0.03400,0.03400,5.26980,57.13430,12.40440,12.40440,7.54450,6.28970,0.21420,0.53570,1.84030,48.90570,2.14700,2.28110,1.34740,2.14700,1.58660,-0.0501,-0.0828
2022-06-30,302.04520,135.48130,166.56380,139.28510,139.28510,27.27880,32.98390,60.26260,9.36490,50.89770,50.89770,50.89770,37.86450,27.27880,627.62100,636.64400,0.08100,0.08000,4.49130,55.14530,9.03130,9.03130,19.95150,16.85100,0.21250,0.60370,1.83980,48.91800,5.25150,5.59190,3.58160,5.25150,1.54780,-0.098,-0.1126
2022-03-31,255.21890,123.02500,132.19390,128.54350,128.54350,3.65050,17.32750,20.97790,5.44480,15.53310,15.53310,15.53310,13.73010,3.65050,626.28700,637.28200,0.02500,0.02500,4.27080,51.79630,1.43030,1.43030,8.21960,6.08620,0.18080,0.69930,1.80520,49.85570,1.63310,1.74790,1.10050,1.63310,1.52080,-0.10740,-0.13130
2021-09-30,237.55130,94.51300,143.03830,117.01990,117.02000,26.01840,-6.19820,19.81910,5.66430,14.15480,14.15480,14.15590,34.32790,26.01840,595.94800,599.51600,0.02400,0.02400,5.30930,60.21360,10.95270,10.95270,8.34310,5.95910,0.17310,0.59710,2.07280,43.41970,1.44910,1.55000,1.03150,1.44910,1.57440,-0.0154,-0.0373
2021-06-30,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,0,0
2020-12-31,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,0,0
