Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,long-term-debt-capital,debt-equity-ratio,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,
2024-03-31,1701.79100,,1701.79100,3427.67400,,-1725.88400,-71.01360,2064.46700,523.72530,1540.74100,1540.74100,1355.59900,15689.80000,15689.80000,0.08640,0.08640,0.64580,2.36410,37.10960,24.36740,0.00490,2.54230,2.54230,0.13660,0.90040,0.00000,
2023-03-31,1669.13500,,1669.13500,2801.32900,,-1132.19300,-293.98160,2745.44800,751.96120,1993.48700,1993.48700,1834.34800,16413.28000,16413.28000,0.11180,0.11180,0.64630,2.31830,47.00500,31.40600,0.00540,3.42350,3.42350,0.18530,1.21100,0.00000,
2022-03-31,312.63940,,312.63940,-2102.60000,,2415.24000,-237.49860,2177.74100,562.21420,1615.52700,1615.52700,1580.64000,19633.33000,19633.33000,0.08050,0.08050,0.63100,2.18130,696.56650,505.57940,0.00030,2.31800,2.31800,0.13230,0.85540,0.00000,
2021-03-31,6354.43200,,6354.43200,7350.07000,,-995.63820,488.16600,2617.34200,690.87900,1926.46300,1926.46300,1758.22500,17708.33000,17708.33000,0.09930,0.09930,0.66260,2.42880,27.61130,18.54820,0.00790,2.82050,2.82050,0.16070,0.95180,0.00000,
2020-03-31,-22900.44000,,-22900.44000,-18194.05000,,-4706.39100,-1840.79700,94.79400,-520.08600,614.88000,614.88000,445.78800,17400.00000,17400.00000,0.02560,0.02560,0.69060,2.66570,-0.58300,-2.74190,-0.01470,0.91120,0.91120,0.05570,0.28190,0.00000,
2019-03-31,14272.79000,,14272.79000,14578.88000,,-306.08790,-358.18750,2087.90700,524.90750,1563.00000,1563.00000,1384.55700,20038.46000,20038.46000,0.07800,0.07800,0.68530,2.70480,12.26380,8.13250,0.01600,2.37530,2.37530,0.14660,0.74740,0.00000,
2017-03-31,9540.46800,,9540.46800,10287.40000,,-746.93260,-131.30220,2048.81000,512.82180,1535.98800,1535.98800,1382.38900,19375.00000,19375.00000,0.07930,0.07930,0.64940,2.97720,16.43320,11.08790,0.01230,2.47450,2.47450,0.15170,0.86750,0.00000,
2016-03-31,675.15840,,675.15840,2852.87500,,-2177.71700,-146.72560,721.49280,135.69360,585.79920,585.79920,446.79600,16924.09000,16924.09000,0.02640,0.02640,0.69210,3.26690,19.38930,12.00710,0.00410,1.08290,1.08290,0.06440,0.33350,0.00000,
2015-12-31,4854.81300,,4854.81300,,,4854.81300,,4854.81300,,4854.81300,-721.86900,-721.86900,17818.00000,18085.00000,-0.04000,-0.04000,0.69160,3.34680,100.00000,-14.86910,0.00540,-1.38380,-1.50740,-0.08060,-0.42670,1.0052,0.8898
2015-09-30,6568.19700,,6568.19700,,,6568.19700,,6568.19700,,6568.19700,1069.63800,1069.63800,21562.50000,21562.50000,0.05000,0.05000,0.69110,2.23730,100.00000,16.28510,0.00520,1.40780,1.40780,0.08440,0.43490,-1.8025,-1.7147
2015-06-30,5418.33000,,5418.33000,,,5418.33000,,5418.33000,,5418.33000,-59.74400,-59.74400,17837.25000,18115.75000,-0.01000,-0.01000,0.67640,2.11290,100.00000,-1.10260,0.00430,-0.08120,-0.08850,-0.00470,-0.02630,1.8025,1.7147
2015-03-31,22072.98000,3421.83000,18651.15000,23297.91000,23297.91000,-4646.76200,,1840.54000,409.34000,1431.20000,1731.93400,1731.93400,19020.83000,19020.83000,0.09000,0.09000,0.67430,2.07000,11.98180,11.27480,0.01190,2.29620,2.29620,0.13450,0.74790,0.00000,
2014-12-31,16218.55000,,16218.55000,,,16218.55000,,16218.55000,,16218.55000,122.04900,122.04900,17455.88000,18546.88000,0.00000,0.00000,0.67210,3.29390,100.00000,0.75250,0.01150,0.14840,0.16160,0.00870,0.04870,0.92,0.7957
2014-09-30,15782.59000,,15782.59000,,,15782.59000,,15782.59000,,15782.59000,952.47000,952.47000,17875.00000,17875.00000,0.05000,0.05000,0.68670,2.19200,100.00000,6.03490,0.01100,,1.19490,0.06660,0.37430,0,0
