Date,revenue,gross-profit,selling-general-administrative-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,long-term-debt-capital,debt-equity-ratio,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,9585.21300,9585.21300,3347.18200,5835.57700,-1583.42400,4252.15300,1248.04600,3004.10700,3004.10700,,2888.64900,5970.45400,5970.45400,0.48380,0.48380,,1.98610,44.36160,30.13650,0.01130,4.81220,5.01740,0.35510,4.81220,10.83180,2.7927,2.7371
2024-06-30,9935.47900,9935.47900,3277.00700,6244.94300,-1592.73500,4654.36200,1479.66100,3175.77800,3175.77800,,3008.85900,5944.68100,5944.68100,0.50610,0.50610,,1.90010,46.84590,30.28400,0.01210,5.16540,5.39000,0.38830,5.16540,10.66780,-4.8746,-4.9247
2024-03-31,8923.36900,8923.36900,3283.15700,5233.07500,-1477.63800,3754.35100,1249.64100,2504.71000,2504.71000,,2388.54000,6111.11100,6111.11100,0.39090,0.39090,,2.38940,42.07330,26.76720,0.01030,4.13590,4.32260,0.28780,4.13600,10.37320,-0.03430,-0.08420
2023-12-31,8005.30200,8005.30200,3155.45900,4474.13800,-1318.74900,3153.23400,857.40720,2295.82900,2295.82900,,2214.63700,5954.00000,5954.00000,0.36590,0.36590,0.55420,3.68630,39.38930,27.66460,0.00950,3.83830,4.00980,0.27350,1.71110,10.24560,1.9051,1.8877
2023-09-30,8660.39800,8660.39800,3269.55300,4979.43000,-1316.96400,3662.46600,1334.37800,2328.08800,2328.08800,,2267.13700,6312.12100,6312.12100,0.35920,0.35920,0.54970,3.67390,42.28980,26.17820,0.01050,4.00160,4.18240,0.28230,1.80210,9.75250,-0.7077,-0.7973
2023-06-30,7838.88600,7838.88600,2888.47000,4582.95100,-1117.66000,3465.29100,1120.93100,2344.36000,2344.36000,,2215.69300,6158.12300,6158.12300,0.35980,0.35980,0.54580,3.86290,44.20640,28.26540,0.00940,4.08990,4.27570,0.28200,1.85780,9.60870,-1.3285,-1.41
2023-03-31,7468.71700,7468.71700,2906.76700,4198.06700,-1039.05100,3160.09000,1019.73000,2140.36000,2140.36000,,1981.49600,6365.51700,6365.51700,0.31130,0.31130,,2.30220,42.31100,26.53060,0.00940,3.87400,4.04770,0.26960,3.87400,,0.00000,
2022-12-31,5572.70800,5572.70800,2492.71700,2757.00400,-962.31370,1795.74300,931.65120,864.09250,864.09250,,1321.57300,6189.00000,6189.00000,0.20170,0.20170,0.52270,3.19310,32.22390,23.71510,0.00740,1.62030,1.69250,0.11500,0.77340,8.84360,4.0377,3.7342
2022-09-30,6905.36300,6905.36300,2608.64800,3956.28200,-946.76800,3009.51400,1011.22900,1998.28500,1998.28500,,1854.25500,6575.13900,6575.13900,0.28200,0.28200,0.52350,3.51430,43.58230,26.85240,0.00930,3.97630,4.16060,0.26860,1.89480,7.67620,-3.2537,-3.0264
2022-06-30,6486.29900,6486.29900,2508.32000,3616.15100,-749.19680,2866.95500,741.74740,2125.20800,2125.20800,-213.90420,1782.53500,6698.74100,6698.74100,0.26610,0.26610,0.52880,3.42140,44.20020,27.48150,0.00850,4.09280,4.28040,0.27920,1.92850,8.13030,3.2537,3.0264
2022-03-31,7258.68000,7258.68000,2602.86000,4281.88800,-901.83600,3380.05200,962.93600,2417.11600,2417.11600,,2017.52200,6879.16700,6879.16700,0.29330,0.29330,0.52590,11.56330,46.56570,27.79460,0.00960,4.46330,4.67910,0.31870,2.11590,,0.00000,
2021-12-31,6274.57900,6274.57900,2614.16100,3313.17700,-952.87920,2357.90600,554.77970,1803.12500,1803.12500,-6.22790,1550.67300,6944.57500,6944.57500,0.24350,0.24350,0.53350,3.21130,37.57870,24.71360,0.00800,3.12560,3.27310,0.22990,1.45810,8.65160,-0.2116,-0.2658
2021-09-30,6285.13600,6285.13600,2470.42400,3444.44400,-733.46240,2710.98100,754.68800,1956.29300,1956.29300,,1650.88000,7000.00000,7000.00000,0.23580,0.23580,,1.84080,43.13320,26.26640,0.00820,3.28090,3.43510,0.25450,3.28080,8.94270,1.6,1.5986
2021-06-30,6149.81000,6149.81000,2430.28300,3349.62200,-790.41440,2559.20800,712.09590,1847.11200,1847.11200,124.10470,844.63490,7788.96100,7788.96100,0.10840,0.10840,0.06980,11.33720,41.61440,13.73430,0.00790,3.06950,3.21780,0.23650,2.85530,9.02500,-0.0807,-0.0784
2021-03-31,6213.66200,6213.66200,2608.91800,3232.21300,-1112.76900,2120.65000,589.53840,1531.11200,1531.11200,213.39120,1458.77600,7117.71700,7117.71700,0.20500,0.20500,0.53100,2.92610,34.12880,23.47690,0.00720,,2.62320,0.17650,1.17450,9.16870,-1.51930,-1.52020
2020-12-31,6349.05800,6349.05800,754.49510,5160.09700,-1093.30800,4065.55500,468.13780,3596.31600,3596.31600,,1433.50800,9322.71100,9322.71100,0.20470,0.20470,0.55260,3.16510,64.03400,22.57830,0.00760,6.29420,6.60370,0.42770,2.81600,8.56910,4.8214,4.8123
2020-09-30,6618.87800,6618.87800,2796.24800,3394.77600,-1084.83200,2312.28200,612.55600,1699.72600,1699.72600,,1333.82900,7132.77500,7132.77500,0.18700,0.18700,0.58010,3.53290,34.93470,20.15190,0.00780,,3.29320,0.20000,1.25840,8.50680,-3.7891,-3.7876
2020-06-30,6123.21700,6123.21700,2813.31000,2903.60100,-1729.82800,1173.77300,296.19590,878.67780,878.67780,,700.29960,7948.91700,7948.91700,0.08810,0.08810,0.56520,3.67770,19.16920,11.43680,0.00740,1.61040,1.77600,0.10590,0.70010,8.18330,3.7891,3.7876
2020-03-31,7152.04600,7152.04600,5455.32400,1258.75100,-2840.74000,-1583.09200,205.19520,-1788.28700,-1788.28700,,-1976.93400,6179.31000,6179.31000,-0.31990,-0.31990,,2.48790,-22.13480,-27.64150,0.00890,,-3.64500,-0.22180,-3.29650,,0.00000,
2019-12-31,7118.79800,7118.79800,4854.54500,1814.09400,-1320.88100,490.98730,473.24400,16.61890,16.61890,,-187.30320,7472.34000,7472.34000,-0.03540,-0.03540,0.53800,2.97870,6.89710,-2.63110,0.00910,0.02700,0.03090,0.00210,0.01250,9.22570,-1.2312,-1.3397
2019-09-30,6821.00800,6821.00800,2957.92000,3414.95200,-1319.94400,2097.23200,542.65600,1554.57600,1554.57600,,1362.20000,7205.88200,7205.88200,0.18900,0.18900,0.52620,2.89880,30.74670,19.97070,0.00870,,2.88120,0.19720,1.16160,9.51070,2.0795,2.1799
