Date,research-development-expenses,selling-general-administrative-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,40.31400,9.48700,-49.80100,3.16900,-46.63200,,-46.63200,-46.63200,-46.63200,-52.00100,-49.80100,54.89830,54.89830,-0.85000,-0.85000,13.75950,0.14860,0.17460,-16.13240,-16.13240,-12.65250,-13.73440,5.25310,-0.6685,-0.6729
2024-06-30,29.31100,8.03200,-37.34300,3.63500,-33.70800,,-33.70800,-33.70800,-33.70800,-39.93700,-37.34300,54.72860,54.72860,-0.62000,-0.62000,21.43270,0.13290,0.15330,-10.28090,-10.28090,-8.48450,-8.91430,5.98120,-0.4073,-0.4089
2024-03-31,23.20000,7.91200,-31.11200,2.72900,-28.38300,,-28.38300,-28.38300,-28.38300,-32.58100,-31.11200,50.97190,50.97190,-0.56000,-0.56000,28.63030,0.12400,0.14160,-8.02820,-8.02820,-6.76820,-7.03230,6.49210,-0.66370,-0.66370
2023-12-31,20.78600,6.24200,-27.02800,1.37400,-25.65400,,-25.65300,-25.65300,-25.65500,-28.19500,-27.02800,42.70710,42.70710,-0.54000,-0.54000,7.71300,0.32910,0.49050,-25.22790,-25.22790,-14.61330,-16.92580,2.28750,-0.6473,-0.6488
2023-09-30,16.10000,5.65600,-21.75600,1.65200,-20.10400,,-20.10400,-20.10400,-20.10400,-23.19800,-21.75600,44.36340,44.36340,-0.45000,-0.45000,6.97050,0.16840,0.20240,-16.25130,-16.25130,-11.44760,-13.51540,2.78410,-0.5157,-0.5157
2023-06-30,16.23100,5.73900,-21.97000,1.80800,-20.16200,,-20.16200,-20.16200,-20.16200,-22.94100,-21.97000,44.26980,44.26980,-0.46000,-0.46000,7.10320,0.15080,0.17760,-14.34780,-14.34780,-10.33010,-12.18360,3.17150,-0.2974,-0.2974
2023-03-31,25.10800,6.15000,-31.25800,1.18900,-30.06900,,-30.06900,-30.06900,-30.06900,-31.76400,-31.25800,37.66760,37.66760,-0.80000,-0.80000,8.68920,0.13630,0.15780,-19.06610,-19.06610,-14.34560,-16.46760,3.56320,-0.69800,-0.69800
2022-12-31,26.67600,6.90500,-33.58100,1.14300,-32.43800,,-32.43700,-32.43700,-32.43900,-34.17800,-33.58100,26.57070,26.57070,-1.18000,-1.18000,4.91010,0.24390,0.32260,-42.17640,-42.17640,-24.67910,-31.88920,2.76640,-0.8379,-0.8379
2022-09-30,19.65600,5.58800,-25.24400,0.56500,-24.67900,,-24.67900,-24.67900,-24.67900,-25.39600,-25.24400,27.21590,27.21590,-0.91000,-0.91000,7.85060,0.04490,0.04700,-23.34420,-23.34420,-18.78590,-22.29680,3.82930,-0.6715,-0.673
2022-06-30,10.11200,4.94500,-15.05700,0.20400,-14.85300,,-14.85300,-14.85300,-14.85300,-15.16300,-15.05700,27.07850,27.07850,-0.55000,-0.55000,8.23760,0.03920,0.04080,-12.22430,-12.22430,-9.98310,-11.74560,4.48390,-0.6639,-0.664
2022-03-31,12.54900,4.47200,-17.02100,-0.06400,-17.08500,,-17.08500,-17.08500,-17.08500,-17.01200,-17.02100,24.22730,24.22730,-0.71000,-0.71000,7.89940,0.03540,0.03670,-12.70970,-12.70970,-10.35620,-12.25940,4.96670,-0.37070,-0.37140
2021-12-31,12.75300,3.83200,-16.58500,-0.26100,-16.84600,,-16.84500,-16.84500,-16.84700,-16.55300,-16.58500,13.43570,13.43570,10.49000,10.49000,10.73300,0.06610,0.07070,-24.20540,-24.20540,-20.11390,-22.60620,3.27070,-0.9525,-1.3246
2021-09-30,3.56400,3.68800,-7.25200,-0.35900,-7.61100,,-7.61100,-7.61100,-7.61100,-7.19300,-7.25200,21.26550,21.26550,-0.36000,-0.36000,22.20680,,,-8.90420,-8.90420,-8.34840,-8.90420,4.01730,0.3104,0.3104
2021-06-30,3.23500,2.61400,-5.84900,2.41200,-3.43700,,-3.43700,-3.43700,-3.43700,-5.79900,-5.84900,10.49990,10.49990,-0.33000,-0.33000,25.42460,,,-3.72960,-3.72960,-3.51980,-3.72960,4.33110,9.5703,9.5703
2021-03-31,2.93200,1.78400,-4.71600,0.00200,-4.71400,,-4.71400,-4.71400,-4.71400,-4.68100,-4.71600,0.38540,0.38540,-12.23000,-12.23000,13.73090,,,5.05170,-10.19020,-9.09600,-10.19020,98.63980,-10.69280,-10.69280
2020-12-31,39.84400,2.71600,-42.56000,-0.31400,-42.87400,-0.00100,-42.87300,-42.87300,-42.87300,-43.20200,-42.56000,0.32000,0.32000,-134.36000,-134.36000,22.55240,,,47.98430,-85.35680,-78.58820,-85.35680,141.36950,-86.0074,-85.835
2020-09-30,1.96900,0.65200,-4.03700,-0.42300,-4.46000,,-4.46000,-4.46000,-4.46000,-3.36400,-4.03700,0.32600,0.32600,-13.68000,-13.68000,,,,,,,,,-7.447,-7.4458
2020-06-30,1.95400,1.21900,-3.17300,-0.43100,-3.60400,,-3.60400,-3.60400,-3.60400,-3.06100,-3.17300,0.32470,0.32470,-11.10000,-11.10000,,,,,,,,,-8.0809,-8.2221
2020-03-31,1.43900,1.03200,-2.47100,-0.00300,-2.47400,,-2.47400,-2.47400,-2.47400,-2.36300,-2.47100,0.31770,0.31770,-7.79000,-7.79000,,,,,,,,,-7.25540,-7.41910
2019-12-31,,,,,,,,,,,,,,,0.00000,,,,,,,,,0,0
