Date,revenue,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,,,16.46000,12.71000,,-29.17000,-21.86500,-51.03500,-51.03500,-51.03500,139.81100,88.77600,-27.30300,-29.17000,152.64800,152.64800,0.58000,0.58000,1.12490,,,,,,,,,,,-213.36590,-213.36590,-28.55230,-213.36590,0.14050,-0.2235,-0.2243
2024-06-30,,,17.87500,16.05900,2.58900,-31.34500,-1.52500,-32.87000,-32.87000,-32.87000,,-32.87000,-29.44000,-31.34500,151.51500,151.51500,-0.22000,-0.22000,1.37850,6.64680,-1.17710,,,,,,,,,37.74950,37.74950,-10.21660,-213.16460,-0.57420,-0.2541,-0.2548
2024-03-31,,,21.70200,15.46600,-2.41800,-39.58600,-0.54700,-40.13300,-40.13300,-40.13300,,-40.13300,-37.56200,-39.58600,146.10200,146.10200,-0.27000,-0.27000,1.67730,2.41320,-1.70760,,,,,,,,,67.18170,67.18170,-11.76020,-94.94220,-0.39450,-0.24120,-0.24160
2023-12-31,0.37400,0.37400,29.94500,17.79100,5.00900,-42.35300,-5.73400,-48.08700,-48.08700,-48.08700,,-41.24800,-40.31200,-42.35300,128.00300,128.00300,-0.31000,-0.31000,1.77790,1.79130,-2.26380,100.00000,-11324.41000,-11324.41000,-12857.58000,-11028.95000,0.00100,,,107.20310,107.20310,-13.40970,-84.82750,-0.33220,-0.3723,-0.3793
2023-09-30,,,25.15400,19.43200,,-44.58600,3.57100,-41.01500,-41.01500,-41.01500,-6.83900,-47.85400,-42.50900,-44.58600,128.29000,128.29000,-0.37000,-0.37000,2.70610,1.17580,-6.68750,,,,,,,,,271.20970,271.20970,-11.15450,-47.68520,-0.11760,-0.4629,-0.4773
2023-06-30,126.47300,126.47300,46.79200,28.05100,-2.10600,49.52400,-2.97200,46.55200,46.55200,46.55200,,46.55200,51.15200,49.52400,127.71300,129.84500,0.36000,0.36000,3.22520,0.81670,4.45490,100.00000,39.15780,39.15780,36.80790,36.80790,0.31120,16.73150,5.37910,205.85480,205.85490,11.45510,37.73790,0.17660,0.5269,0.5183
2023-03-31,-0.52200,-0.52200,43.96900,22.47000,-3.60700,-70.56800,-0.60600,-71.17400,-71.17400,-71.17400,,-71.17400,-69.16800,-70.56800,125.86300,125.86300,-0.57000,-0.57000,1.81890,15.23460,-1.07030,100.00000,13518.78000,13518.78000,13634.87000,13634.87000,-0.00190,,,148.67880,148.67870,-26.34180,-2116.38300,-0.37810,-0.60850,-0.64080
2022-12-31,0.97500,0.97500,46.22000,22.40400,-0.65800,-68.30700,-0.48900,-68.79600,-68.79600,-68.79600,,-68.79600,-66.51600,-68.30700,108.07700,108.07700,-0.51000,-0.51000,2.27540,0.82430,4.73400,100.00000,-7005.84600,-7005.84600,-7056.00000,-7056.00000,0.00280,,,-638.00160,-638.00490,-19.72450,-112.09310,0.08610,-0.6814,-0.7203
2022-09-30,3.44400,3.44400,43.11600,18.38400,-1.05100,-59.10700,-0.89500,-60.00200,-60.00200,-60.00200,,-60.00200,-57.00600,-59.10700,122.52700,122.52700,-0.49000,-0.49000,3.02510,0.42940,0.75250,100.00000,-1716.23100,-1716.23100,-1742.21800,-1742.21800,0.01100,,,-88.78000,-88.78000,-19.23960,-50.65940,0.54320,-0.1747,-0.1712
2022-06-30,1.21600,1.21600,43.93500,20.33500,-0.27100,-63.32500,-1.41000,-64.73500,-64.73500,-64.73500,,-64.73500,-61.21100,-63.32500,92.25500,92.25500,-0.70000,-0.70000,2.35390,0.68710,2.19590,100.00000,-5207.64900,-5207.64900,-5323.60300,-5323.60300,0.00450,,,-280.74900,-280.74840,-23.69540,-87.84770,0.24980,-0.5402,-0.5635
