Date,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,7.16200,2.62500,-0.20200,-9.98900,3.12500,-6.86400,-6.86400,-6.86400,,-6.83000,-9.94000,-9.98900,1.50200,1.50200,-4.57000,-4.57000,1.27090,-23.29390,-422.40000,-19.55280,-23.29390,,-1.6444,-1.6444
2024-06-30,2.39100,0.86500,-0.20200,-3.45800,1.04300,-2.41500,-2.41500,-2.41500,,-2.40500,-3.40900,-3.45800,1.37660,1.37660,-1.80000,-1.80000,1.21580,-8.22070,-157.32900,-6.69620,-8.22070,,-2.8312,-2.8312
2024-03-31,3.42300,1.04300,,-4.46600,0.68500,-3.78100,-3.78100,-3.78100,,-3.76200,-4.41800,-4.46600,1.35570,1.35570,-2.80000,-2.80000,1.33980,-12.16110,-124.08930,-9.48500,-12.16110,,-3.74880,-3.74880
2023-12-31,-1.96100,-2.02900,,3.99000,1.21400,5.20400,5.20400,5.20400,,5.18800,4.03800,3.99000,1.10670,1.10670,6.47000,6.47000,1.62750,15.17330,83.22410,11.74670,15.17330,,-3.7053,-3.7051
2023-09-30,11.79200,4.21200,,-16.00400,0.88600,-15.11800,-15.11800,-15.11800,,-15.05200,-15.95400,-16.00400,1.04500,1.04500,-14.47000,-14.47000,2.68780,-39.04540,-141.62070,-33.39370,-39.04540,,-3.5532,-3.5522
2023-06-30,3.70500,1.43000,,-5.13500,-0.02500,-5.16000,-5.16000,-5.16000,,-5.13800,-5.08200,-5.13500,1.05030,1.05030,-5.00000,-5.00000,3.97540,-12.07160,-35.09970,-10.75020,-12.07160,,-4.6331,-4.634
2023-03-31,3.49800,1.62400,,-5.12200,0.21900,-4.90300,-4.90300,-4.90300,,-4.87800,-5.07600,-5.12200,0.99200,0.99200,-5.00000,-5.00000,4.34570,-10.42170,-25.80260,-9.23670,-10.42170,,-6.11320,-6.11620
2022-12-31,4.82000,1.78100,,-6.60100,0.55800,-6.04300,-6.04300,-6.04300,,-6.01100,-6.55100,-6.60100,0.90410,0.90410,-6.40000,-6.40000,4.71180,-12.83070,-22.87800,-11.06330,-12.83070,50.96630,-4.6551,-4.6551
2022-09-30,3.46500,1.61600,,-5.08100,0.23200,-4.84900,-4.84900,-4.84900,,-4.82400,-5.03400,-5.08100,0.90370,0.90370,-5.40000,-5.40000,5.78220,-9.30530,-15.43040,-8.28280,-9.30530,,-3.9572,-3.9638
2022-06-30,2.08300,1.50700,,-3.59000,0.03800,-3.55200,-3.55200,-3.55200,,-3.53600,-3.53700,-3.59000,0.89910,0.89910,-4.00000,-4.00000,6.94230,-6.38220,-10.15700,-5.75320,-6.38220,,-4.0604,-4.0668
2022-03-31,5.95200,1.37900,,-7.33100,0.01500,-7.31600,-7.31600,-7.31600,,-7.29700,-7.28000,-7.33100,0.89070,0.89070,-8.20000,-8.20000,5.82900,-12.54480,-19.43940,-11.03570,-12.54480,,-5.83840,-5.85420
2021-12-31,3.24500,1.49400,,-4.73900,-0.01300,-4.75200,-4.75200,-4.75200,-0.35400,-5.07200,-4.67800,-4.73900,0.87840,0.87840,-13.40000,-13.20000,11.40540,-7.29890,-10.64900,-6.76940,-7.29890,73.15280,-4.0767,-4.0771
2021-09-30,1.62100,1.42100,,-3.04200,0.04700,-2.99500,-2.99500,-2.99500,-0.15400,-3.13700,-2.97900,-3.04200,0.88140,0.88140,-3.60000,-3.60000,13.77610,-4.31720,-6.12570,-4.06770,-4.31720,,-9.0352,-9.1346
2021-06-30,,,,,,,,,,,,,,,,0.00000,,,,,,,,
2021-03-31,4.87400,1.65700,,-6.53100,0.09800,-6.43300,-6.43300,-6.43300,-0.13600,-6.54700,-6.48500,-6.53100,0.86890,0.86890,-7.40000,-7.60000,9.61690,-8.56660,-11.77950,-7.84950,-8.56660,,-3.82460,-3.85570
2020-12-31,,,,,,,,,,,,,,,,0.00000,,,,,,,0,0
2020-06-30,,,,,,,,,,,,,,,,0.00000,,,,,,,0,0
2019-12-31,,,,,,,,,,,,,,,,0.00000,,,,,,,0,0
2019-06-30,,,,,,,,,,,,,,,,0.00000,,,,,,,0,0
2018-12-31,,,,,,,,,,,,,,,,0.00000,,,,,,,0,0
2018-06-30,,,,,,,,,,,,,,,,0.00000,,,,,,,0,0
2017-12-31,,,,,,,,,,,,,,,,0.00000,,,,,,,0,0
2017-06-30,,,,,,,,,,,,,,,,0.00000,,,,,,,0,0
2016-12-31,,,,,,,,,,,,,,,,0.00000,,,,,,,0,0
2015-12-31,,,,,,,,,,,,,,,,0.00000,,,,,,,0,0
2014-12-31,,,,,,,,,,,,,,,,0.00000,,,,,,,0,0
2013-12-31,,,,,,,,,,,,,,,,0.00000,,,,,,,0,0
