Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,13.53900,7.27300,6.26600,1.20200,6.07700,,7.51100,-1.24500,-0.25700,-1.50200,-1.50200,-1.50200,-1.50200,-0.30400,-1.24500,11.60400,11.60400,-0.13000,-0.13000,3.37400,46.28110,-9.19570,-9.19570,-11.09390,-11.09390,0.21830,0.48840,3.09600,29.06940,-6.60570,-9.16190,-2.42180,-6.60570,1.95810,0.2822,0.2806
2024-06-30,12.63600,5.82300,6.81300,1.34800,6.78400,-3.72900,12.09300,-5.28000,-3.76300,-9.04300,-9.04300,-9.04300,-9.04300,-4.45100,-5.28000,11.45100,11.45100,-0.79000,-0.79000,3.88090,53.91740,-41.78540,-41.78540,-71.56540,-71.56540,0.20580,0.32470,2.14420,41.97290,-38.24490,-52.97910,-14.72660,-38.24490,2.04830,-0.3273,-0.3372
2024-03-31,10.58800,4.92400,5.66400,1.44400,6.79600,,8.51400,-2.85000,0.69300,-2.15700,-2.15700,-2.15700,-2.15700,-1.98000,-2.85000,11.38700,11.38700,-0.19000,-0.19000,4.06230,53.49450,-26.91730,-26.91730,-20.37210,-20.37210,0.16010,0.27640,2.63190,34.19630,-6.77560,-10.23050,-3.26160,-6.77560,2.79380,-0.46610,-0.46780
2023-12-31,12.10500,6.95600,5.14900,1.46300,6.37400,,8.11000,-2.96100,-0.96500,-3.92600,-3.92600,-3.92600,-3.92600,-2.04900,-2.96100,10.97100,10.97100,-0.23000,0.13000,3.99280,42.53620,-24.46090,-24.46090,-32.43280,-32.43290,0.17400,0.44340,3.02550,29.74720,-11.74430,-17.52360,-5.64200,-11.74430,2.95130,-0.1127,-0.1182
2023-09-30,9.79500,4.91800,4.87700,1.52700,5.11700,,6.91700,-2.04000,4.60800,2.56800,2.56800,2.56800,2.56800,-1.15800,-2.04000,11.10200,11.95600,0.13000,-0.23000,4.41790,49.79070,-20.82700,-20.82700,26.21750,26.21750,0.13820,0.28130,2.54550,35.35680,7.05820,10.23720,3.62440,7.05820,3.23520,0.0493,0.0508
2023-06-30,12.01200,5.25100,6.76100,1.49900,7.85400,,9.62800,-2.86700,-5.88600,-8.75300,-8.75300,-8.75300,-8.75300,-2.01200,-2.86700,10.82000,10.82000,-0.81000,-0.81000,4.65740,56.28540,-23.86780,-23.86780,-72.86880,-72.86880,0.16870,0.28930,3.72700,24.14840,-26.77580,-41.44610,-12.29420,-26.77580,2.91900,-0.1921,-0.2089
2023-03-31,8.25200,3.93200,4.32000,1.65000,6.75500,,8.68100,-4.36100,0.08900,-4.27200,-4.27200,-4.27200,-4.27200,-3.50700,-4.36100,10.71600,10.71600,-0.40000,-0.40000,2.99990,52.35090,-52.84780,-52.84780,-51.76930,-51.76930,0.15880,0.25100,1.77080,50.82400,-10.83220,-15.48220,-8.22160,-10.83220,3.55200,-0.62490,-0.62560
2022-12-31,10.23200,3.75000,6.48200,1.61500,7.20400,,9.09500,-2.61300,0.12300,-2.49000,-2.49000,-2.49000,-2.49000,-1.76000,-2.61300,10.15900,10.15900,-0.23000,-0.23000,2.95210,63.35030,-25.53760,-25.53760,-24.33540,-24.33540,0.18320,0.31940,1.69400,53.12740,-5.93080,-8.33840,-4.45890,-5.93080,3.78470,-0.4747,-0.4804
2022-09-30,7.74800,3.85900,3.88900,1.57700,6.11900,,7.97200,-4.08300,0.09200,-3.99100,-3.99100,-3.99100,-3.99100,-3.23600,-4.08300,10.22500,10.22500,-0.39000,-0.39000,3.28680,50.19360,-52.69750,-52.69750,-51.51010,-51.51010,0.14140,0.48910,2.17640,41.35260,-9.37230,-13.22180,-7.28270,-9.37230,3.86310,-0.4518,-0.452
2022-06-30,8.03800,3.14600,4.89200,3.83400,7.56900,,11.69000,-6.79800,0.03900,-6.75900,-6.75900,-6.75900,-6.75900,-5.94200,-6.79800,10.07300,10.07300,-0.67000,-0.67000,3.13750,60.86090,-84.57330,-84.57330,-84.08810,-84.08810,0.13690,0.53720,2.91230,30.90320,-15.05280,-20.97250,-11.51450,-15.05280,4.07420,-0.2742,-0.2751
