Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,,,,1.50400,1.57800,0.24400,,-2.83800,0.00400,-2.84200,,-2.84200,-2.84200,-2.84200,-2.69300,-2.83800,3.30900,3.30900,-0.86000,-0.86000,1.87970,,,,,,,,,,-124.64890,-124.64910,-66.00090,-124.64910,1.28090,-0.724,-0.7466
2024-06-30,0.04000,0.03200,0.00800,1.15800,1.84400,0.21700,2.78500,-2.77700,-0.32100,-3.09800,-0.00100,-3.09700,-3.09700,-3.09900,-2.65000,-2.77700,3.15730,3.15730,-0.98000,-0.98000,2.64500,,20.00000,-6942.50000,-6942.50000,-7745.00000,-7747.50000,0.00570,0.04140,2175.75000,-67.50230,-67.50220,-43.84820,-67.50220,2.66430,-0.8199,-0.8199
2024-03-31,,,,1.27600,1.36200,0.18900,,-2.44900,0.75300,-1.69600,,-1.69600,-1.69600,-1.69600,-2.32600,-2.44900,2.73540,2.73540,-0.62000,-3.21000,3.54400,,,,,,,,,,-25.87340,-25.87340,-17.38240,-25.87340,4.75000,-0.57430,-0.57430
2023-12-31,0.00000,0.00000,,1.45200,1.16300,0.24000,2.37500,-2.37500,0.97700,-1.40200,,-1.40200,-1.40200,-1.40200,-2.28600,-2.37500,1.34490,1.34490,-0.27000,-0.27000,5.95310,,,,,,,0.00000,0.00000,,-17.28090,-17.28090,-12.43790,-17.28090,9.11570,-2.6723,-2.6786
2023-09-30,0.00300,0.00100,0.00200,1.56800,1.26800,0.13900,2.69700,-2.69500,-0.33100,-3.02200,,-3.02200,-3.02200,-3.02200,-2.59100,-2.69500,1.70120,1.70120,-1.78000,-1.78000,6.96610,,66.66670,-89833.33000,-89833.33000,-100733.30000,-100733.30000,0.00020,0.00590,15180.00000,-29.33700,-29.33700,-22.25330,-29.33700,11.75910,-0.5427,-0.5444
2023-06-30,0.00800,0.00600,0.00200,1.25700,1.32400,0.21200,2.36900,-2.36700,0.34000,-2.02700,,-2.02700,-2.02700,-2.02700,-2.25000,-2.36700,1.11200,1.11200,-1.82000,-1.82000,8.60220,,25.00000,-29587.50000,-29587.50000,-25337.50000,-25337.50000,0.00050,0.02250,4005.00000,-16.44090,-16.44090,-12.62930,-16.44090,0.45510,0.1504,0.145
2023-03-31,0.01600,0.01600,,1.27900,1.43300,0.15800,2.55400,-2.55400,0.50600,-2.04800,,-2.04800,-2.04800,-2.04800,-2.45600,-2.55400,0.83570,0.83570,-2.45000,-2.45000,3.10900,,,-15962.50000,-15962.50000,-12800.00000,-12800.00000,0.00300,0.01170,7689.37500,-54.95040,-54.95040,-38.70720,-54.95040,0.13760,-2.91130,-2.91130
2022-12-31,-0.02000,-0.01800,-0.00200,1.65300,1.06900,0.31700,2.40500,-2.40700,1.35200,-1.05500,,-1.07900,-1.07900,-1.07900,-2.29300,-2.40700,0.82790,0.82790,-8.90000,-8.90000,4.59160,,10.00000,12035.00000,12035.00000,5274.99800,5394.99900,-0.00270,-0.01740,-5179.50000,-18.34100,-18.34100,-14.33890,-18.34100,7.63040,-2.7149,-2.7297
2022-09-30,0.02600,0.02600,,1.34600,1.39200,0.27700,2.46100,-2.46100,-1.49200,-3.95300,,-3.95300,-3.95300,-3.95300,-2.34900,-2.46100,0.83200,0.83200,-4.75000,-4.75000,6.00140,,,-9465.38400,-9465.38400,-15203.85000,-15203.85000,0.00270,0.03440,2616.92300,-50.15230,-50.15230,-41.30190,-50.15230,0.29250,-8.0186,-8.0971
2022-06-30,0.00400,0.00200,0.00200,1.34400,1.37000,0.29400,2.42000,-2.41800,-1.28300,-3.70100,,-3.70100,-3.70100,-3.70100,-2.29900,-2.41800,28.75100,28.75100,-0.13000,-0.13000,7.92630,,50.00000,-60450.00000,-60450.00000,-92524.99000,-92524.99000,0.00030,0.00270,33952.50000,-34.93160,-34.93160,-30.05770,-34.93160,0.39320,-0.0834,-0.0841
