Date,selling-general-administrative-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2023-06-30,,,,,,,,,,,,,0.00000,,,,,,,,,,
2022-12-31,,,,,,,,,,,,,0.00000,,,,,,,,,0.1708,0.1708
2022-03-31,1.06580,-1.06580,0.00970,-1.05620,-1.05620,-1.05620,-1.05620,-1.06580,-1.06580,3.55100,3.55100,-0.07000,-0.07000,0.01450,,-0.77180,18.83640,18.83640,-0.89090,18.83640,-1.57900,-0.17080,-0.17080
2021-12-31,37.37460,-256.68560,-11.26460,-6.27120,-6.18220,-6.18220,-6.38020,-256.68560,4.99340,20.55600,20.55600,-0.02000,-0.02000,0.57930,0.39130,4.01540,-12.97360,78.31520,-2.06140,-7.89710,2.31820,-1.0155,-1.2268
2021-09-30,0.89210,-0.89210,0.00180,-0.89040,-0.89040,-0.89040,-0.89040,-0.89210,-0.89210,3.55100,3.55100,-0.25000,-0.25000,0.11810,,-0.59220,75.32420,75.32360,-0.76550,75.32420,-0.07850,-0.0771,-0.0771
2021-06-30,0.34930,-0.34930,0.00180,-0.34750,-0.34750,-0.34750,-0.34750,-0.34930,-0.34930,4.04000,4.04000,-0.09000,-0.09000,0.63760,,0.14000,-6.94980,-6.94980,-0.29780,-6.94980,1.22700,-0.0974,-0.0974
2021-03-31,0.36600,-0.36600,0.00210,-0.36400,-0.36400,-0.36400,-0.36400,-0.36600,-0.36600,3.55100,3.55100,-0.02000,-0.02000,1.20700,,0.02000,-7.27920,-7.27920,-0.31250,-7.27920,1.23760,-0.07720,-0.07720
2020-12-31,,,,,,,,,,,,,0.00000,,,,,,,,,0,0
2020-09-30,0.00100,-0.00100,,-0.00100,-0.00100,-0.00100,-0.00100,-0.00100,-0.00100,2.50000,2.50000,-0.00040,-0.00040,,,,,,,,,0,0
