Date,revenue,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,2.91000,2.91000,37.20000,9.52600,-50.52200,3.42200,-47.10000,-47.10000,-47.10000,-47.10000,-51.42400,-50.52200,60.20500,60.20500,-0.78000,-0.78000,6.17390,,,100.00000,-1736.15100,-1736.15100,-1618.55700,-1618.55700,0.01130,-21.91660,-21.91660,-18.33410,-21.91660,3.55680,-0.565,-0.5902
2024-06-30,2.36400,2.36400,29.08300,6.97800,-40.00900,3.88700,-36.12200,-36.12200,-36.12200,-36.12200,-39.68800,-40.00900,59.93700,59.93700,-0.60000,-0.60000,7.12490,,,100.00000,-1692.42800,-1692.42800,-1528.00300,-1528.00300,0.00800,-14.23030,-14.23030,-12.19450,-14.23030,4.22960,-0.36,-0.3932
2024-03-31,1.02900,1.02900,15.36900,6.00500,-132.29900,2.80700,-129.49200,-129.49200,-129.49200,-129.49200,-132.57400,-132.29900,51.54400,51.54400,-2.51000,-2.51000,10.18350,,,100.00000,-12857.04000,-12857.04000,-12584.25000,-12584.26000,0.00320,-45.34480,-45.34480,-40.49740,-45.34480,4.78390,-0.21670,-0.25870
2023-12-31,3.82600,3.82600,9.63700,8.04000,-94.65300,2.01900,-92.63400,-92.63400,-92.63400,-92.63400,-95.24000,-94.65300,19.84400,19.84400,-4.21000,-4.21000,6.62890,,,100.00000,-2473.94200,-2473.94200,-2421.17200,-2421.17200,0.02580,-77.27100,-77.27100,-62.36300,-77.27100,2.77170,-1.192,-1.1944
2023-09-30,3.56500,3.56500,3.82300,4.37500,-4.63300,0.28800,-4.34500,-4.34500,-4.34500,-4.34500,-4.13500,-4.63300,12.20200,12.20200,-0.36000,-0.36000,3.95540,,,100.00000,-129.95790,-129.95790,-121.87940,-121.87940,0.03830,-71.51080,-71.51080,-4.66400,-71.51090,0.49790,-0.7065,-0.7094
2023-06-30,4.26300,4.26300,5.71600,4.32000,-5.77300,0.21600,-5.55700,-5.55700,-5.55700,-5.55700,-5.61600,-5.77300,12.19800,12.19800,-0.46000,-0.46000,1.49770,,,100.00000,-135.42110,-135.42110,-130.35420,-130.35420,0.10290,-59.50960,-59.50950,-13.41140,-59.50950,0.76540,-0.4672,-0.4951
2023-03-31,2.36400,2.36400,3.91300,2.92200,-4.47100,0.20100,-4.27000,-4.27000,-4.27000,-4.27000,-4.32300,-4.47100,12.18200,12.18200,-0.35000,-0.35000,1.87410,,,100.00000,-189.12860,-189.12860,-180.62600,-180.62610,0.04910,-30.80360,-30.80360,-8.87480,-30.80360,1.13680,1.98430,1.97560
2022-12-31,,,4.25200,3.53500,-7.78700,0.00100,-7.78600,-7.78600,-7.78600,-7.78600,-7.52700,-7.78700,12.12700,12.12700,-0.64000,-0.64000,3.08950,,,,,,,,,-46.75430,-46.75430,-32.37960,-46.75430,1.37300,-0.5512,-0.5571
2022-09-30,,,5.22500,3.30900,-8.53400,0.00100,-8.53300,-8.53300,-8.53300,-9.15500,-8.42000,-8.53400,12.12800,12.12800,-0.75000,-0.75000,3.96780,,,,,,,,,-36.96500,-36.96500,-27.93490,-36.96500,1.90340,-0.6242,-0.6242
2022-06-30,,,5.71700,3.20900,-8.92600,0.00200,-8.92400,-8.92400,-8.92400,-8.92400,-8.80500,-8.92600,12.12700,12.12700,-0.74000,-0.74000,4.36270,,,,,,,,,-29.47450,-29.47450,-22.87090,-29.47450,2.49670,-0.6645,-0.6785
2022-03-31,,,8.07800,3.57600,-11.65400,0.00100,-11.65300,-11.65300,-11.65300,-11.65300,-11.51800,-11.65400,12.12300,12.12300,-0.96000,-0.96000,4.77010,,,,,,,,,-30.76780,-30.76780,-24.41540,-30.76780,3.12290,-0.52590,-0.52640
2021-12-31,,,4.38500,3.45900,-7.84400,-0.01100,-7.85500,-7.85500,-7.85500,-7.85200,-7.72600,-7.84400,11.53900,11.53900,-0.66000,-0.66000,5.82220,,,,,,,,,-16.30180,-16.30180,-13.56060,-16.30180,3.97890,-0.6225,-0.6239
2021-09-30,,,4.51300,3.21000,-7.72300,0.00300,-7.72000,-7.72000,-7.72000,-7.72000,-7.43700,-7.72300,11.93400,11.93400,-0.65000,-0.65000,7.88020,,0.00030,,,,,,,-14.08940,-14.08940,-12.34060,-14.08940,4.53100,-0.3219,-0.324
