Date,revenue,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-06-30,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,
2021-12-31,0.33800,0.33800,5.78600,5.04400,-10.49200,0.74600,-9.74600,0.98200,-10.72800,-10.72800,-9.51300,-10.48500,-10.49200,39.02400,39.02400,-0.24000,-0.24000,4.95700,,0.07500,100.00000,-3104.14400,-3104.14500,-2883.43300,-2814.49700,0.00410,-51.27370,-51.27370,-13.13930,-51.27370,0.53750,-0.4336,-0.5055
2021-09-30,0.33700,0.33700,8.45900,10.22700,-18.34900,0.79400,-17.55500,2.58800,-20.14300,-20.14300,-18.37000,-18.33200,-18.34900,39.02500,39.02500,-0.47000,-0.47000,5.10150,,0.04590,100.00000,-5444.80700,-5444.80700,-5209.19900,-5451.03900,0.00340,-59.58230,-59.58230,-20.47700,-59.58230,0.86370,0.0728,0.0724
2021-06-30,0.33800,0.33800,11.33200,8.98500,-19.97900,0.08500,-19.89400,,-19.89400,-19.89400,-19.30800,-19.95900,-19.97900,39.01100,39.01100,-0.49000,-0.49000,4.81820,,0.04160,100.00000,-5910.94700,-5910.94700,-5885.79900,-5712.42600,0.00410,-37.86670,-37.86670,-24.10400,-37.86670,1.34310,-0.3642,-0.3646
2021-03-31,0.33800,0.33800,11.31100,6.44700,-17.42000,-0.02300,-17.44300,,-17.44300,-17.44300,-16.98800,-17.40300,-17.42000,39.00500,39.00500,-0.44000,-0.44000,7.47210,0.00890,0.03070,100.00000,-5153.84600,-5153.84600,-5160.65100,-5026.03600,0.00350,-24.78690,-24.78690,-17.96530,-24.56520,1.79950,-0.48560,-0.48580
2020-12-31,,,8.42400,10.37100,-18.79500,0.23900,-18.37600,,-18.37600,-18.37600,-17.59600,-18.77200,-18.61500,29.98400,29.98400,-0.51000,-0.51000,8.23770,0.02440,0.02500,,,,,,,-21.21330,-21.21330,-15.70090,-20.69560,2.21310,-0.2451,-0.2457
2020-09-30,,,8.63700,6.71000,-15.34700,0.16300,-15.18400,,-15.18400,-15.18400,-14.54000,-15.32500,-15.34700,30.30300,30.30300,-0.48000,-0.48000,2.78390,0.08420,0.09200,,,,,,,-66.23910,-66.23920,-38.54200,-60.66080,0.75120,-0.3068,-0.3074
2020-06-30,,,11.02800,2.58900,-13.61700,0.01800,-13.59900,,-13.59900,-13.59900,-12.75300,-13.60000,-13.61700,27.92100,27.92100,-0.46000,-0.46000,3.80130,0.06090,0.06480,,,,,,,-43.00490,-43.00490,-29.10560,-40.38670,1.04990,-0.5085,-0.5088
2020-03-31,,,13.70400,2.92800,-16.63200,-0.03000,-16.66200,,-16.66200,-16.66200,-16.08400,-16.61700,-16.63200,27.73200,27.73200,-0.58000,-0.58000,2.43740,0.07280,0.07850,,,,,,,-92.60780,-92.60780,-49.73140,-85.86450,0.64510,-0.39850,-0.39880
2019-12-31,,,12.58000,2.70500,-15.28500,0.22200,-15.06200,,-15.05600,-15.05600,-14.07300,-15.26900,-15.28500,24.64570,24.64570,-0.54000,-0.54000,4.06470,0.04410,0.04610,,,,,,,-48.36340,-48.36340,-33.79190,-46.23080,1.11640,-0.5524,-0.5523
