Date,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,0.19280,-0.82400,-1.01740,0.06940,-0.94800,,-0.94800,-0.94800,-0.94800,-1.01680,-1.01740,13.27180,13.27180,-0.07000,-0.07000,55.52070,-9.62910,-9.62910,-9.52160,-9.62910,0.74180,-0.0784,-0.1111
2024-06-30,0.22200,-0.49500,-0.71760,0.10250,-0.61510,,-0.61510,-0.61510,-0.61510,-0.71700,-0.71760,13.27200,13.27200,-0.05000,-0.05000,84.80110,-5.81140,-5.81140,-5.76420,-5.81140,0.79750,-0.0564,-0.1142
2024-03-31,0.36370,-0.51800,-0.88190,0.10850,-0.77550,0.00020,-0.77570,-0.77570,-0.77570,-0.88170,-0.88190,13.27200,13.27200,-0.06000,-0.06000,13.06420,-7.07900,-7.07900,-6.67770,-7.07900,0.82560,-0.03000,-0.08240
2023-12-31,0.89790,0.09460,-0.80340,-0.89960,-1.70300,-0.00030,-1.70260,-1.70260,-1.70300,-0.80330,-0.80340,13.27180,13.27180,-0.13000,-0.13000,14.36070,-15.02960,-15.02960,-14.18250,-15.02960,0.85360,-0.0321,-0.0661
2023-09-30,0.04290,-0.37740,-0.42040,0.12830,-0.29210,,-0.29210,-0.29210,-0.29210,-0.42030,-0.42040,13.27180,13.27180,-0.02000,-0.02000,77.50060,-2.30160,-2.30160,-2.27730,-2.30160,0.95630,-0.0243,-0.0859
2023-06-30,0.05840,-0.36700,-0.42540,-1.09440,-1.51980,0.00020,-1.52000,-1.52000,-1.52000,-0.42530,-0.42540,13.27200,13.27200,-0.11000,-0.11000,106.17700,-11.74870,-11.74870,-11.65040,-11.74870,0.97480,-0.0544,-0.0608
2023-03-31,0.09080,-0.49700,-0.58780,0.10220,-0.48560,,-0.48560,-0.48560,-0.48560,-0.58780,-0.58780,13.27200,13.27200,-0.04000,-0.04000,56.22450,-3.37380,-3.37380,-3.32450,-3.37380,1.08460,-0.01620,-0.03200
2022-12-31,0.78680,0.19900,-0.58790,-0.11760,-0.70550,,-0.70550,-0.70550,-0.70550,-0.58780,-0.58790,11.98590,11.98590,-0.04000,-0.04000,127.68710,-4.77360,-4.77360,-4.74230,-4.77360,1.11360,-0.0459,-0.0845
2022-09-30,0.00240,-0.38620,-0.38880,0.84380,0.45500,,0.45500,0.45500,0.45500,-0.38860,-0.38880,13.27200,13.27200,0.03000,0.03000,41.93220,2.86950,2.86950,2.81060,2.86950,1.19480,-0.022,-0.0656
2022-06-30,0.00230,-0.67170,-0.67420,0.00690,-0.66720,,-0.66720,-0.66720,-0.66720,-0.67400,-0.67420,11.81100,11.81100,-0.06000,-0.06000,45.90050,-4.27250,-4.27250,-4.18790,-4.27250,1.17670,-0.0723,-0.0752
2022-03-31,0.00220,-0.06410,-0.06640,-0.08420,-0.15060,,-0.15060,-0.15060,-0.15060,-0.06630,-0.06640,9.51700,9.51700,-0.02000,-0.02000,21.61210,-6.34750,-6.34750,-6.22740,-6.34750,0.24940,-0.00930,-0.01320
2021-12-31,,,,,,,,,,,,,,,0.00000,,,,,,,0,0
