Date,revenue,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,long-term-debt-capital,debt-equity-ratio,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,83.45800,83.45800,8.27100,-0.43600,74.75100,-43.75400,30.99700,30.99700,30.99700,29.07400,86.87800,74.75100,75.79250,76.36650,0.38000,0.38000,0.00690,5.62930,89.56720,89.56720,37.14080,34.83670,0.01070,2.99570,2.71290,0.39660,2.69430,14.40920,-0.0323,-0.0323
2024-06-30,76.05400,76.05400,6.64200,-0.60100,68.81100,-77.11500,-8.30400,-8.30400,-8.30400,-10.22700,81.65900,68.81100,66.95490,66.95490,-0.15000,-0.15000,0.01820,5.27500,90.47650,90.47650,-10.91860,-13.44700,0.01140,-0.88580,-0.79440,-0.12420,-0.78000,13.99140,0.3089,0.3089
2024-03-31,71.52500,71.52500,10.88000,-0.42100,60.22400,-20.10600,40.11800,40.11800,40.11800,38.19500,74.78400,60.22400,59.00830,59.71730,0.65000,0.64000,0.00880,5.52220,84.19990,84.19990,56.08950,53.40090,0.01130,4.71590,4.18540,0.63630,4.14850,14.93950,-0.28640,-0.28640
2023-12-31,71.18800,71.18800,8.31800,,64.53200,-40.22600,24.30600,24.30600,24.30600,22.38100,81.70200,64.53200,54.80950,54.80950,0.41000,0.42000,0.05020,6.23280,90.65010,90.65010,34.14340,31.43930,0.01120,3.18600,2.79140,0.38160,2.65140,15.26590,0.2984,0.2984
2023-09-30,63.27100,63.27100,7.84100,-0.80100,54.62900,-97.68000,-43.05100,-43.05100,-43.05100,-44.97400,74.35300,54.62900,54.55690,54.55690,-0.82000,-0.82000,,6.21900,86.34130,86.34130,-68.04220,-71.08150,0.01050,-6.18100,-5.35230,-0.71270,-5.35230,14.22210,0.191,0.191
2023-06-30,42.21200,42.21200,7.19700,-0.43500,34.58000,19.75700,54.33700,54.33700,54.33700,52.41400,54.47000,34.58000,54.13730,54.58510,0.97000,0.96000,,4.76970,81.91980,81.91980,128.72410,124.16850,0.00760,7.02830,6.16790,0.98330,6.16790,16.25270,0.576,0.576
2023-03-31,30.84600,30.84600,7.37200,-0.42600,23.04800,-64.77000,-41.72200,-41.72200,-41.72200,-43.64500,43.27500,23.04800,53.82390,53.82390,-0.81000,-0.81000,0.03080,3.46770,74.71960,74.71960,-135.25900,-141.49320,0.00800,-5.58540,-4.88070,-1.07810,-4.73060,15.86630,0.06940,0.06940
2022-12-31,30.52900,30.52900,7.89700,,23.06500,20.22500,43.29000,43.29000,43.29000,41.36500,44.37800,23.06500,42.49140,42.74300,0.42000,0.44000,0.00050,2.93440,75.55110,75.55110,141.79960,135.49410,0.00850,5.45570,4.80290,1.20080,4.80060,16.80420,0.833,0.833
2022-09-30,20.40400,20.40400,10.14600,-0.43300,9.82500,-56.49900,-46.67400,-46.67400,-46.67400,-48.59700,35.81400,9.82500,45.34800,45.34800,-1.07000,-1.07000,,4.09350,48.15230,48.15230,-228.74930,-238.17390,0.00500,-7.03530,-6.05160,-1.15260,-6.05160,16.64010,0.3348,0.3348
2022-06-30,18.33500,18.33500,7.20100,,11.13400,18.20200,29.33600,29.33600,29.33600,27.41300,36.58700,11.13400,39.19000,39.55800,0.70000,0.69000,0.07860,2.70020,60.72540,60.72540,160.00000,149.51190,0.00570,3.99390,3.48260,0.91550,3.20870,19.35720,0.8573,0.8573
2022-03-31,17.42700,17.42700,7.10900,,10.31800,106.89100,117.20900,117.20900,117.20900,115.28600,37.98800,10.31800,36.72500,37.11200,3.14000,3.11000,0.03710,3.79700,59.20700,59.20700,672.57130,661.53670,0.00450,17.29280,14.91910,3.04500,14.36550,21.25750,0.93100,0.93100
