Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,51.16600,16.34000,34.82600,6.84200,25.00300,31.84500,2.98100,-0.12000,2.86100,0.90400,1.95700,1.95700,1.41500,6.00000,2.98100,92.90400,128.98400,3.62480,,,68.06470,5.82610,5.82610,5.59160,2.76550,0.37920,1.59030,56.59170,2.03480,2.03480,1.45030,2.03480,0.74870,0.1252,0.1038
2024-06-30,49.45500,15.96200,33.49300,6.09600,24.69400,30.79000,2.70300,0.24500,2.94800,0.40100,2.54700,2.54700,1.82600,5.63400,2.70300,91.48000,128.85200,4.14990,,,67.72420,5.46560,5.46560,5.96100,3.69220,0.41180,1.46870,61.27750,2.84850,2.84850,2.12090,2.84850,0.69640,0.0516,0.0399
2024-03-31,48.05200,16.17400,31.87800,6.55100,26.44000,32.99100,-1.11300,0.23500,-0.87800,-0.11700,-0.76100,-0.76100,-0.53900,1.62000,-1.11300,89.50900,89.50900,4.07460,,,66.34060,-2.31620,-2.31620,-1.82720,-1.12170,0.43300,1.55350,57.93470,-0.92100,-0.92100,-0.68580,-0.92100,0.64510,0.01710,-0.01360
2023-12-31,46.48600,15.62400,30.86200,6.06100,22.66700,28.72800,2.13400,0.04600,2.18000,1.28000,0.90000,0.90000,0.62300,5.72400,2.13400,88.20200,129.42900,3.43950,,,66.38990,4.59060,4.59060,4.68960,1.34020,0.42660,1.65610,54.34350,1.16160,1.16160,0.82590,1.16160,0.60760,0.0491,0.032
2023-09-30,44.35700,14.50700,29.85000,4.93700,22.22400,27.16100,2.68900,0.33900,3.02800,0.36700,2.66100,2.66100,1.82800,5.21500,2.68900,87.73900,127.84100,3.78950,,,67.29490,6.06220,6.06220,6.82640,4.12110,0.43600,1.78460,50.43060,3.63140,3.63140,2.61550,3.63140,0.57510,0.0955,0.0746
2023-06-30,42.72100,14.20800,28.51300,4.46400,21.60300,26.06700,2.44600,-1.26000,1.18600,0.18800,0.99800,0.99800,0.62900,4.53500,2.44600,88.31400,129.85600,4.33390,,,66.74240,5.72550,5.72550,2.77620,1.47230,0.45420,1.69730,53.02540,1.38140,1.38140,1.06110,1.38140,0.58540,0.0465,0.029
2023-03-31,40.97100,13.30200,27.66900,4.43100,18.55900,22.99000,4.67900,0.41100,5.09000,0.39600,4.69400,4.69400,2.94500,6.55300,4.67900,88.86300,132.34600,6.32180,,,67.53310,11.42030,11.42030,12.42340,7.18800,0.33720,1.68220,53.50220,4.73450,4.73450,3.86360,4.73450,0.86000,0.00700,-0.01230
2022-12-31,40.51700,13.29600,27.22100,4.77500,21.07400,25.84900,1.37200,-0.16600,1.20600,0.41800,0.78800,0.78800,0.49400,3.06900,1.37200,85.39300,85.39300,5.57010,,,67.18410,3.38620,3.38620,2.97650,1.21920,0.32730,1.56710,57.43150,0.76180,0.76180,0.63660,0.76180,0.90690,0.1154,0.0695
2022-09-30,39.15100,11.97400,27.17700,3.86400,20.37200,24.23600,2.94100,-0.05600,2.88500,0.28700,2.59800,2.59800,1.53900,4.64600,2.94100,85.15600,131.76000,8.00970,,,69.41590,7.51190,7.51190,7.36890,3.93090,0.33870,1.35040,66.64660,2.51820,2.51820,2.24740,2.51820,0.91240,0.0647,0.0799
2022-06-30,36.54000,10.84700,25.69300,3.72200,25.87700,29.59900,-3.90600,,-3.90600,0.21900,-4.12500,-4.12500,-2.42200,-2.28400,-3.90600,84.58100,84.58100,9.17000,,,70.31470,-10.68970,-10.68970,-10.68970,-6.62840,0.33180,1.27000,70.86450,-4.13300,-4.13300,-3.74570,-4.13300,0.88270,0.0348,0.0107
2022-03-31,34.14100,10.98300,23.15800,4.80200,30.72700,35.52900,-12.37100,-0.00300,-12.37400,0.15000,-12.52400,-12.52400,-7.26500,-11.02500,-12.37100,83.38400,83.38400,11.15490,,,67.83050,-36.23500,-36.23500,-36.24380,-21.27940,0.32530,1.45840,61.71170,-12.95030,-12.95030,-11.93320,-12.95030,0.85540,-0.04910,-0.08720
2021-12-31,31.85300,10.16400,21.68900,146.55700,167.63200,314.18900,-292.50000,-1.52100,-294.02100,-0.12600,-293.89500,-293.89500,-169.97000,-291.18400,-292.50000,,,11.06320,,,68.09090,-918.28080,-918.28080,-923.05580,-533.60750,0.30030,1.74800,51.48870,-301.61330,-301.61330,-277.03730,-301.61330,0.86190,0,0
2021-09-30,29.04500,8.09500,20.95000,2.60000,13.44700,16.04700,4.90300,-1.45600,3.44700,0.15400,3.29300,3.29300,3.29300,5.96400,4.90300,,,2.18150,-0.67490,-0.42470,72.12950,16.88070,16.88070,11.86780,11.33760,0.58520,1.52880,58.87110,-1.43400,-1.43400,6.63500,-2.40190,-4.78730,0,0
2021-06-30,26.44900,6.77700,19.67200,2.04100,11.72100,13.76200,5.91000,-1.41000,4.50000,0.24900,4.25100,4.25100,4.25100,6.90100,5.91000,,,,,,74.37710,22.34490,22.34490,17.01390,16.07240,,,,,,,,,0,0
2021-03-31,24.35300,6.80900,17.54400,2.20200,9.53900,11.74100,5.80300,-1.39200,4.41100,0.30200,4.10900,4.10900,4.10900,6.63200,5.80300,,,,,,72.04040,23.82870,23.82870,18.11280,16.87270,,,,,,,,,0.00000,
2020-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
2020-09-30,19.78500,5.39300,14.39200,1.64200,6.57700,8.21900,6.17300,-0.36500,5.80800,0.22800,5.58000,5.58000,5.58000,6.17300,6.17300,,,,,,72.74200,31.20040,31.20040,29.35560,28.20320,,,,,,,,,0,0
2019-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
