Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,3117.00000,2618.00000,499.00000,215.00000,319.00000,180.00000,5.00000,185.00000,65.00000,120.00000,120.00000,107.00000,461.00000,180.00000,128.63860,129.34050,0.84000,0.83000,2.78560,0.29210,0.41270,16.00900,5.77480,5.77480,5.93520,3.43280,0.14770,1.49860,1.77710,50.64490,1.07280,1.53160,0.56850,0.75940,86.91590,3.6649,1.9638
2024-06-30,3207.00000,2543.00000,664.00000,224.00000,258.00000,406.00000,18.00000,424.00000,101.00000,323.00000,323.00000,311.00000,685.00000,406.00000,128.57670,129.35070,2.42000,2.40000,2.60500,0.29240,0.44030,20.70470,12.65980,12.65980,13.22110,9.69750,0.15210,1.51010,1.76990,50.85130,2.91150,4.18340,1.53200,2.06010,86.27870,1.8289,0.0484
2024-03-31,2975.00000,2509.00000,466.00000,209.00000,243.00000,223.00000,10.00000,233.00000,48.00000,185.00000,185.00000,173.00000,496.00000,223.00000,128.36000,129.02040,1.35000,1.34000,2.45800,0.29720,0.45060,15.66390,7.49580,7.49580,7.83190,5.81510,0.14190,1.51050,1.75930,51.15630,1.70460,2.48460,0.88260,1.19800,84.41370,1.30990,-0.79830
2023-12-31,2826.00000,2627.00000,199.00000,224.00000,751.00000,-552.00000,-6.00000,-558.00000,-71.00000,-487.00000,-487.00000,-495.00000,-270.00000,-552.00000,127.80630,128.59840,-3.88000,-3.86000,2.36880,0.29970,0.45580,7.04180,-19.53290,-19.53290,-19.74520,-17.51590,0.13430,1.61960,1.76510,50.98730,-4.52430,-6.65300,-2.31520,-3.16830,83.95460,4.4542,2.2619
2023-09-30,3115.00000,2529.00000,586.00000,206.00000,237.00000,349.00000,16.00000,365.00000,70.00000,295.00000,295.00000,283.00000,626.00000,349.00000,127.85450,128.58390,2.22000,2.20000,2.54120,0.28840,0.43180,18.81220,11.20390,11.20390,11.71750,9.08510,0.14560,1.51260,1.60650,56.02250,2.61410,3.85470,1.37880,1.86010,88.07280,5.4064,3.5041
2023-06-30,3251.00000,2609.00000,642.00000,213.00000,246.00000,396.00000,-19.00000,377.00000,70.00000,307.00000,307.00000,296.00000,667.00000,396.00000,127.64930,128.48400,2.32000,2.31000,2.95450,0.30640,0.44180,19.74780,12.18090,12.18090,11.59640,9.10490,0.15490,1.56130,1.75260,51.35340,2.77150,4.14700,1.46320,1.92220,86.75170,4.3188,2.4513
2023-03-31,3356.00000,2564.00000,792.00000,222.00000,256.00000,536.00000,-20.00000,516.00000,109.00000,407.00000,407.00000,392.00000,803.00000,536.00000,127.54830,128.45940,3.07000,3.05000,2.84670,0.31120,0.45180,23.59950,15.97140,15.97140,15.37550,11.68060,0.16130,1.39200,1.82890,49.21040,3.75880,5.71470,1.95620,2.58910,84.83210,3.98570,1.90720
2022-12-31,3299.00000,2732.00000,567.00000,200.00000,240.00000,327.00000,-22.00000,305.00000,57.00000,248.00000,248.00000,231.00000,598.00000,327.00000,127.97040,128.84560,1.82000,1.81000,2.59920,0.31800,0.46620,17.18700,9.91210,9.91210,9.24520,7.00210,0.16050,1.46410,1.83180,49.13310,2.36980,3.68010,1.20680,1.61630,82.16030,6.4654,4.1651
2022-09-30,3956.00000,3180.00000,776.00000,215.00000,260.00000,516.00000,-20.00000,496.00000,84.00000,412.00000,412.00000,399.00000,780.00000,516.00000,127.94340,128.74700,3.12000,3.10000,2.47910,0.32080,0.47300,19.61580,13.04350,13.04350,12.53790,10.08600,0.19370,1.57110,1.81380,49.61830,4.04400,6.36790,2.01710,2.74650,79.80640,7.4131,4.9255
2022-06-30,4483.00000,3038.00000,1445.00000,220.00000,270.00000,1175.00000,-27.00000,1148.00000,275.00000,873.00000,873.00000,853.00000,1439.00000,1175.00000,128.34110,129.34110,6.65000,6.60000,2.39280,0.32750,0.48810,32.23290,26.21010,26.21010,25.60790,19.02740,0.22010,1.50320,1.76840,50.89230,8.75280,14.09200,4.28530,5.88590,77.91570,7.0414,5.2697
