Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,513.09200,483.08000,30.01200,13.01300,-16.66200,29.67500,0.33700,-0.83200,-0.49500,0.00100,-0.49600,-0.49600,-2.44100,0.33700,0.33700,85.97000,85.97000,-0.02000,-0.02000,1.08940,-0.26480,5.84920,0.06570,0.06570,-0.09650,-0.47570,1.18850,2.21260,8.46900,10.62700,0.54710,0.54560,-0.11490,0.54710,,0.1926,0.1926
2024-06-30,471.20900,442.64300,28.56600,13.44600,-14.66000,28.10600,0.46000,-0.74000,-0.28000,0.00500,-0.28500,-0.28500,-1.92700,0.46000,0.46000,85.70700,85.70700,-0.04000,-0.04000,1.07160,-0.30390,6.06230,0.09760,0.09760,-0.05940,-0.40890,1.22770,2.35290,8.32570,10.80990,0.33240,0.33140,-0.07430,0.33240,,0.1484,0.1484
2024-03-31,488.68200,459.80000,28.88200,13.77200,-14.59400,28.36600,0.51600,-0.88100,-0.36500,0.00700,-0.37200,-0.37200,-1.90800,0.51600,0.51600,85.61100,85.61100,-0.02000,-0.02000,1.07780,-0.34360,5.91020,0.10560,0.10560,-0.07470,-0.39040,1.20650,2.31710,7.52400,11.96180,0.44590,0.44440,-0.09180,0.44590,,0.17540,0.17540
2023-12-31,585.17690,554.79300,30.38400,38.52900,-21.27000,59.79900,-29.41510,0.17200,-29.24300,0.02100,-29.26400,-29.26400,-30.00100,-29.41510,-29.41510,84.30460,84.30460,-0.34000,-0.34000,1.06860,-0.56850,5.19230,-5.02670,-5.02670,-4.99730,-5.12680,1.34500,2.77510,7.73940,11.62880,34.93620,34.80410,-6.72610,34.93620,-0.97940,-0.3415,-0.3552
2023-09-30,502.36400,476.23600,26.12800,19.37600,-17.77400,37.15000,-11.02200,-0.40500,-11.42700,0.01400,-11.44100,-11.44100,-12.78800,-11.02200,-11.02200,84.54400,84.54400,-0.16000,-0.16000,1.07170,-0.67760,5.20100,-2.19400,-2.19400,-2.27460,-2.54560,1.09050,2.34560,6.25930,14.37860,16.19160,16.11480,-2.48360,16.19160,,0.0626,0.0626
2023-06-30,479.56800,450.90000,28.66800,17.81700,-16.56100,34.37800,-5.71000,-0.54800,-6.25800,,-6.25800,-6.25800,-7.89400,-5.71000,-5.71000,84.05100,84.05100,-0.10000,-0.10000,1.22030,-0.69740,5.97790,-1.19070,-1.19070,-1.30490,-1.64610,1.14010,2.35620,7.69350,11.69820,10.21930,10.15830,-1.48770,10.21930,,-0.2571,-0.2571
2023-03-31,538.29000,503.89500,34.39500,19.01000,-18.54900,37.55900,-3.16400,0.34600,-2.81800,,-2.81800,-2.81800,-4.62800,-3.16400,-3.16400,83.66500,83.66500,-0.06000,-0.06000,1.20720,-0.64370,6.38970,-0.58780,-0.58780,-0.52350,-0.85980,1.14140,2.35710,8.45380,10.64610,4.61620,4.58480,-0.59750,4.61620,,-0.21120,-0.21120
2022-12-31,565.05500,530.69600,34.35900,28.02000,-20.76900,48.78900,-14.43000,0.61200,-13.81800,,-13.81800,-13.81800,-15.20100,-14.43000,-14.43000,83.31700,83.31700,-0.18000,-0.18000,1.18740,-0.43790,6.08060,-2.55370,-2.55370,-2.44540,-2.69020,1.12190,2.44200,7.97200,11.28950,23.31920,23.13410,-2.74350,23.31920,-0.70950,0.1053,0.0524
2022-09-30,470.75500,442.36100,28.39400,21.63800,-18.09700,39.73500,-11.34100,-0.78200,-12.12300,,-12.12300,-12.12300,-13.61400,-11.34100,-11.34100,83.35600,83.35600,-0.16000,-0.16000,1.23640,-0.63630,6.03160,-2.40910,-2.40910,-2.57520,-2.89200,1.09620,2.53480,7.91930,11.36460,23.89620,23.65090,-2.82280,23.89620,,0.0303,0.0303
2022-06-30,453.43400,424.77400,28.66000,20.85200,-19.71500,40.56700,-11.90700,-0.74900,-12.65600,,-12.65600,-12.65600,-14.22300,-11.90700,-11.90700,83.29750,83.29750,-0.18000,-0.18000,1.25250,-0.85650,6.32070,-2.62600,-2.62600,-2.79110,-3.13670,0.97850,2.32530,6.95770,12.93530,28.05590,27.68460,-2.73110,28.05590,,-0.0465,-0.0465
2022-03-31,470.49200,440.12100,30.37100,25.68900,-20.79600,46.48500,-16.11400,0.18400,-15.93000,,-15.93000,-15.93000,-17.40600,-16.11400,-16.11400,83.16600,83.16600,-0.20000,-0.20000,1.29160,-1.09100,6.45520,-3.42490,-3.42490,-3.38580,-3.69950,0.99040,2.54140,7.86970,11.43620,42.43930,41.65690,-3.35350,42.43930,,-0.12940,-0.12940
2021-12-31,566.16310,532.98710,33.17600,29.01600,-22.02400,51.04000,-17.86400,0.50700,-17.35700,,-17.35700,-17.35700,-18.86600,-17.86400,-17.86400,82.93400,82.93400,-0.20000,-0.20000,1.31540,-1.70670,5.85980,-3.15530,-3.15530,-3.06570,-3.33230,1.14690,3.02960,8.92020,10.08950,72.70260,70.43100,-3.51610,72.70250,-0.28740,-0.6026,-0.7204
2021-09-30,519.32600,493.55300,25.77300,28.69600,-24.29100,52.98700,-27.21410,1.48600,-25.72800,,-25.72800,-25.72800,-39.24200,-27.21410,-27.21410,82.98250,82.98250,-0.48000,-0.48000,1.36990,-2.00210,4.96280,-5.24030,-5.24030,-4.95410,-7.55630,1.06860,3.20370,8.12130,11.08190,299.47680,273.06300,-5.29410,299.47620,,-0.2011,-0.2011
2021-06-30,468.37100,447.52700,20.84400,28.64800,-21.43900,50.08700,-29.24300,0.74400,-28.49900,,-28.49900,-28.49900,-24.61900,-29.24300,-29.24300,82.90600,82.90600,-0.30000,-0.30000,1.42590,0.70900,4.45030,-6.24360,-6.24360,-6.08470,-5.25630,0.91640,2.87540,13.47330,6.67990,-112.12130,-116.21340,-5.57590,-112.12130,,-0.0214,-0.0214
2021-03-31,396.03500,378.36500,17.67000,26.64400,-17.47100,44.11500,-26.44500,0.57700,-25.86800,,-25.86800,-25.86800,-22.38100,-26.44500,-26.44500,82.79400,82.79400,-0.28000,-0.28000,1.61830,0.15320,4.46170,-6.67740,-6.67740,-6.53170,-5.65130,0.84260,2.40140,12.19470,7.38030,-57.87930,-59.13090,-5.50390,-57.87930,,-0.47830,-0.47830
2020-12-31,457.11800,438.66410,18.45400,26.71700,-17.10100,43.81800,-25.36400,1.04600,-24.31800,,-24.31800,-24.31800,-23.25300,-25.36400,-25.36410,82.39330,82.39330,-0.26000,-0.26000,1.76270,0.56410,4.03700,-5.54870,-5.54870,-5.31990,-5.08690,0.98550,3.73410,18.28840,4.92120,-39.04440,-39.68080,-5.24290,-39.04440,0.75330,-0.2874,-0.3346
2020-09-30,347.99100,334.74500,13.24600,19.55300,-11.68700,31.24000,-17.99400,1.61800,-16.37600,,-16.37600,-16.37600,-15.98900,-17.99400,-17.99400,82.43400,82.43400,-0.20000,-0.20000,1.46480,0.37430,3.80640,-5.17080,-5.17080,-4.70590,-4.59470,0.86830,2.46260,16.86330,5.33700,-23.23760,-23.58460,-4.08610,-23.23760,,0.046,0.046
2020-06-30,229.55300,217.55800,11.99500,16.91300,-8.20400,25.11700,-13.12200,-0.05200,-13.17400,,-13.17400,-13.17400,-13.12500,-13.12200,-13.12200,82.39600,82.39600,-0.16000,-0.16000,1.42330,0.25320,5.22540,-5.71630,-5.71630,-5.73900,-5.71760,0.86010,2.56240,11.51050,7.81900,-15.74370,-15.95920,-4.93610,-15.74370,,0.2166,0.2166
2020-03-31,222.52700,210.15600,12.37100,17.71100,-10.71800,28.42900,-16.05800,-1.66200,-17.72000,,-17.72000,-17.72000,-17.60000,-16.05800,-16.05800,82.17000,82.17000,-0.22000,-0.22000,1.65350,0.05920,5.55930,-7.21620,-7.21620,-7.96310,-7.90920,0.95570,2.30340,20.52260,4.38540,-18.73510,-18.96570,-7.61000,-18.73510,1.14840,-0.19240,-0.19240
2019-12-31,192.53900,186.52300,6.01600,19.56700,-10.25700,29.82410,-23.80810,1.44700,-22.36100,,-22.36100,-22.36100,-22.25900,-23.80810,-23.80810,81.83600,81.83600,-0.26000,-0.26000,1.91540,0.12290,3.12450,-12.36530,-12.36530,-11.61380,-11.56080,0.83240,2.67040,20.54410,4.38080,-20.11480,-20.32540,-9.66730,-20.11480,1.35470,-0.1479,-0.1828
2019-09-30,155.35800,148.73600,6.62200,16.66100,-6.48200,23.14300,-16.52100,-0.81400,-17.33500,,-17.33500,-17.33500,-17.24900,-16.52100,-16.52100,82.08100,82.08100,-0.22000,-0.22000,2.32240,0.09850,4.26240,-10.63410,-10.63410,-11.15810,-11.10270,0.66330,2.40830,17.45200,5.15700,-13.14230,-13.25390,-7.40130,-13.14230,1.59980,-0.4795,-0.4795
2019-06-30,122.09200,115.96000,6.13200,15.08400,-5.73700,20.82100,-14.68900,0.02100,-14.66800,,-14.66800,-14.66800,-14.59900,-14.68900,-14.68900,81.87500,81.87500,-0.18000,-0.18000,2.50930,0.05200,5.02240,-12.03110,-12.03110,-12.01390,-11.95740,0.48190,1.89130,22.99280,3.91430,-9.71740,-9.76300,-5.79010,-9.71740,3.30590,-0.1637,-0.1637
2019-03-31,97.68800,92.73100,4.95700,15.34700,-5.48100,20.82800,-15.87100,-1.84800,-17.71900,,-17.71900,-17.71900,-17.65700,-15.87100,-15.87100,81.65870,81.65870,-0.22000,-0.22000,3.28270,0.07150,5.07430,-16.24660,-16.24660,-18.13840,-18.07490,0.40870,2.34490,17.96070,5.01100,-10.84800,-10.89780,-7.41230,-10.84800,3.57740,-0.10820,-0.10820
2018-09-30,72.45500,70.19100,2.26400,15.11100,-6.06800,21.17900,-18.91500,0.50900,-18.40600,,-18.40600,-18.40600,-18.32800,-18.91500,-18.91500,45.01000,45.01000,-0.40000,-0.40000,4.61230,,3.12470,-26.10590,-26.10590,-25.40340,-25.29570,0.29380,2.04400,12.29720,7.31880,-9.47400,-9.50690,-7.46320,-9.47400,4.26580,-0.5372,-0.5372
2018-06-30,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,,,
2017-12-31,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,,0,0
