Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,165.52700,47.09700,118.43000,11.11400,,79.44200,38.98800,-26.08500,12.90300,12.90300,12.90300,11.60200,107.67500,38.98800,122.52700,136.57800,0.09000,0.09000,0.00390,0.81610,71.54720,23.55390,23.55390,7.79510,7.00910,0.03340,0.50030,0.50600,0.26070,0.50030,21.03380,0.7978,0.6167
2024-06-30,161.51500,46.87300,114.64200,11.13300,,72.30500,42.33700,-25.35100,16.98600,16.98600,16.98600,15.27100,103.95400,42.33700,122.39100,136.43900,0.12000,0.12000,0.00480,0.78090,70.97920,26.21240,26.21240,10.51670,9.45480,0.03290,0.64950,0.65680,0.34620,0.64950,21.36630,0.5749,0.4434
2024-03-31,161.30200,45.38800,115.91400,11.81300,,72.01900,43.89500,-24.26900,19.62600,19.62600,19.62600,17.67000,104.58400,43.89500,122.22100,136.40400,0.14000,0.14000,0.00450,0.76420,71.86150,27.21290,27.21290,12.16720,10.95460,0.03300,0.74410,0.75240,0.40160,0.74410,21.56090,0.46290,0.36800
2023-12-31,154.44900,45.62800,108.82100,10.76200,,70.33400,38.48700,-23.29900,15.18800,15.18800,15.18800,13.53300,98.59800,38.48700,118.27800,132.97000,0.12000,0.12000,0.00400,0.74220,70.45760,24.91890,24.91890,9.83370,8.76210,0.03170,0.57240,0.57870,0.31210,0.57240,21.74450,0.5392,0.3828
2023-09-30,152.47400,43.30200,109.17200,10.38500,,69.09100,40.08100,-26.35200,13.72900,13.72900,13.72900,12.24500,99.48700,40.08100,118.29200,132.80000,0.10000,0.10000,0.00390,0.71720,71.60040,26.28710,26.28710,9.00420,8.03090,0.03230,0.52650,0.53250,0.29100,0.52650,21.80580,0.6604,0.4618
2023-06-30,152.13700,43.07100,109.06600,11.68600,,71.35300,37.71300,-21.50400,16.20900,16.20900,16.20900,14.45100,97.75100,37.71300,117.30400,131.88700,0.12000,0.12000,0.00460,0.76170,71.68930,24.78880,24.78880,10.65420,9.49870,0.03210,0.63270,0.64000,0.34190,0.63270,21.81270,0.5129,0.3784
2023-03-31,151.06400,43.11800,107.94600,11.53300,,70.03100,37.91500,-19.27900,18.63600,18.63600,18.63600,16.61900,96.74600,37.91500,117.22300,131.94300,0.14000,0.14000,0.00540,0.76460,71.45710,25.09860,25.09860,12.33650,11.00130,0.03160,0.72430,0.73260,0.38930,0.72430,21.94240,0.47570,0.30300
2022-12-31,145.03900,41.95700,103.08200,11.48400,,70.02200,33.06000,-17.35700,15.70300,15.70300,15.70300,13.67800,91.64200,33.06000,115.40300,130.33200,0.12000,0.12000,0.00810,0.73020,71.07190,22.79390,22.79390,10.82680,9.43060,0.03060,0.60460,0.61140,0.33160,0.60460,22.17640,0.4935,0.4485
2022-09-30,145.65400,41.13000,104.52400,10.84300,,70.85600,33.66800,-21.49500,12.17300,12.17300,12.17300,11.03800,94.12500,33.66800,116.76000,131.59300,0.09000,0.09000,0.01160,0.71630,71.76190,23.11510,23.11510,8.35750,7.57820,0.03080,0.46550,0.47080,0.25730,0.46550,22.33360,0.6348,0.4001
2022-06-30,142.51600,39.32500,103.19100,11.37600,,72.14500,31.04600,-15.79100,15.25500,15.25500,15.25500,13.52800,92.17900,31.04600,114.12400,129.11700,0.12000,0.12000,0.02080,0.72350,72.40660,21.78420,21.78420,10.70410,9.49230,0.03040,0.58790,0.59460,0.32490,0.58790,22.40970,0.635,0.5575
