Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,6.96990,6.27490,0.69500,1.51860,,1.51860,-0.82360,0.02810,-0.79540,0.65120,-1.44660,-1.44660,-1.44660,-0.49900,-0.82360,0.96610,0.96610,-1.50000,-1.50000,6.02270,9.97120,-11.81610,-11.81610,-11.41230,-20.75520,0.26410,0.84740,1.51300,59.48590,-6.11040,-6.11040,-5.48140,-6.11040,20.80370,-0.0602,-0.3818
2024-06-30,8.05950,6.64400,1.41540,1.30790,,1.30790,0.10760,0.04600,0.15350,0.01140,0.14210,0.14210,0.14210,0.42960,0.10760,0.96610,0.96610,0.15000,0.15000,7.33980,17.56250,1.33460,1.33460,1.90480,1.76370,0.29490,0.95770,1.49440,60.22300,0.56370,0.56370,0.52020,0.56370,26.10540,0.3762,0.06
2024-03-31,7.85320,7.10860,0.74460,1.64790,,1.64790,-0.90330,0.02850,-0.87480,-0.17680,-0.69800,-0.69800,-0.69800,-0.57990,-0.90330,0.96610,0.96610,-0.72000,-0.72000,6.07360,9.48100,-11.50240,-11.50240,-11.13990,-8.88820,0.28260,1.05360,1.43730,62.61600,-2.77290,-2.77290,-2.51150,-2.77290,26.05830,-0.41270,-0.40940
2023-12-31,6.78090,7.57010,-0.78920,1.34730,,1.34730,-2.13650,0.02520,-2.11130,-0.56840,-1.54290,-1.54290,-1.54290,-1.78190,-2.13650,0.96610,0.96610,-1.60000,-1.60000,8.49830,-11.63870,-31.50810,-31.50810,-31.13640,-22.75360,0.24360,1.03310,1.58580,56.75200,-5.94180,-5.94180,-5.54380,-5.94180,26.88080,0.8295,0.7161
2023-09-30,7.94620,7.90500,0.04120,1.27320,,1.27320,-1.23200,0.01700,-1.21500,-0.25100,-0.96400,-0.96400,-0.96400,-0.92370,-1.23200,0.96610,0.96610,-1.00000,-1.00000,8.14320,0.51790,-15.50460,-15.50460,-15.29090,-12.13220,0.26410,0.89880,1.36850,65.76350,-3.49210,-3.49210,-3.20440,-3.49210,28.57810,-0.3819,-0.5781
2023-06-30,8.05090,8.38000,-0.32900,1.35950,,1.35940,-1.68850,0.02300,-1.66550,-0.35400,-1.31150,-1.31150,-1.31150,-1.38240,-1.68850,0.96610,0.96610,-1.36000,-1.36000,8.20530,-4.08690,-20.97270,-20.97270,-20.68710,-16.29010,0.25190,0.88930,1.36350,66.00430,-4.57500,-4.57500,-4.10320,-4.57500,29.67600,-0.7377,-1.0641
2023-03-31,8.72970,8.25220,0.47750,1.25770,,1.25770,-0.78020,0.04310,-0.73710,-0.15400,-0.58310,-0.58310,-0.58310,-0.47420,-0.78020,0.96610,0.96610,-0.60000,-0.60000,8.36770,5.46990,-8.93720,-8.93720,-8.44400,-6.67990,0.25910,0.82530,1.41420,63.64190,-1.93150,-1.93150,-1.73080,-1.93150,31.25370,-1.70930,-2.13720
2022-12-31,6.85720,7.46430,-0.60720,1.18260,,1.18260,-1.78970,0.05610,-1.73360,-0.42100,-1.31260,-1.31260,-1.31260,-1.47000,-1.78970,0.96610,0.96610,-1.36000,-1.36000,12.86880,-8.85480,-26.10020,-26.10020,-25.28230,-19.14280,0.20390,0.81830,1.37830,65.29860,-4.23620,-4.23620,-3.90370,-4.23620,32.07740,-0.8821,-1.1604
2022-09-30,8.56780,7.44790,1.11990,1.25040,4.73840,-3.48800,4.60790,0.01310,4.62110,1.04200,3.57910,3.57910,3.57910,4.92720,4.60790,0.96610,0.96610,3.71000,3.71000,7.16720,13.07120,53.78190,53.78190,53.93530,41.77350,0.23220,0.75070,1.30250,69.09960,11.00840,11.00840,9.69960,11.00840,33.65630,0.1291,4.8427
2022-06-30,9.02340,7.57700,1.44640,1.26390,,1.26390,0.18250,0.01240,0.19490,0.04100,0.15390,0.15390,0.15390,0.50290,0.18250,0.96600,0.96600,0.16000,0.16000,8.17710,16.02920,2.02200,2.02200,2.16000,1.70560,0.27740,0.78800,1.31880,68.24490,0.52810,0.52810,0.47310,0.52810,30.17130,-0.1542,-0.2486
2022-03-31,9.19770,7.34150,1.85620,1.29570,,1.29560,0.56060,0.00980,0.57030,0.12300,0.44730,0.44730,0.44730,0.88100,0.56060,0.96600,0.96600,0.46000,0.46000,7.23480,20.18140,6.09450,6.09450,6.20060,4.86330,0.27900,0.76370,1.38550,64.95730,1.53170,1.53170,1.35690,1.53170,30.23200,-0.40210,-0.52690
2021-12-31,7.74950,6.48190,1.26760,1.16920,,1.16920,0.09840,0.01180,0.11020,0.02900,0.08120,0.08120,0.08120,0.42590,0.09840,0.96600,0.96600,0.08000,0.08000,10.31230,16.35650,1.26930,1.26930,1.42170,1.04750,0.24400,0.76080,1.37210,65.59380,0.28020,0.28020,0.25550,0.28020,29.98900,-0.5616,-0.648
2021-09-30,8.55570,7.06970,1.48600,1.29000,0.00000,1.29000,0.19600,0.01170,0.20770,0.03500,0.17270,0.17270,0.17270,0.52650,0.19600,0.96610,0.96610,0.18000,0.18000,7.61750,17.36880,2.29070,2.29070,2.42710,2.01810,0.26220,0.91280,1.40840,63.90180,0.59330,0.59330,0.52910,0.59330,30.12500,-0.1727,-0.4155
2021-06-30,8.36440,6.68730,1.67710,1.28470,,1.28480,0.39230,0.01420,0.40650,0.08700,0.31950,0.31950,0.31950,0.72270,0.39230,0.96610,0.96610,0.33000,0.33000,8.37030,20.05020,4.69050,4.69050,4.86000,3.81980,0.25800,0.94770,1.41530,63.59080,1.09640,1.09640,0.98550,1.09640,30.16630,0.6271,0.3904
2021-03-31,9.30490,7.27050,2.03440,1.36220,,1.36220,0.67220,0.01790,0.69010,0.15000,0.54010,0.54010,0.54010,1.00240,0.67220,0.96600,0.96600,0.56000,0.56000,7.73000,21.86400,7.22450,7.22450,7.41680,5.80470,0.28580,1.15190,1.35450,66.44750,1.86040,1.86040,1.65920,1.86040,30.05560,-0.93780,-1.05840
2020-12-31,8.26540,6.37130,1.89410,1.23950,,1.23950,0.65470,0.02560,0.68030,0.21600,0.46430,0.46430,0.46430,0.98710,0.65470,0.96600,0.96600,0.48000,0.48000,11.89240,22.91640,7.92060,7.92060,8.23020,5.61690,0.26460,1.23640,1.60080,56.22350,1.61730,1.61730,1.48620,1.61730,29.71650,0.3851,-0.0792
2020-09-30,7.64530,6.00480,1.64050,1.25900,,1.25900,0.38150,0.03260,0.41410,0.10500,0.30910,0.30910,0.30910,0.72030,0.38150,0.96600,0.96600,0.32000,0.32000,8.26770,21.45770,4.99000,4.99000,5.41690,4.04350,0.24320,1.21440,1.42980,62.94390,1.09090,1.09090,0.98340,1.09090,29.33590,-0.4048,-0.5294
2020-06-30,4.10350,4.03340,0.07010,1.21440,,1.21440,-1.14430,0.04380,-1.10050,-0.32100,-0.77950,-0.77950,-0.77950,-0.80550,-1.14430,0.96610,0.96610,-0.81000,-0.81000,12.29000,1.70950,-27.88520,-27.88520,-26.81880,-18.99630,0.13490,0.84990,1.15340,78.02750,-2.77150,-2.77150,-2.56280,-2.77150,29.11590,1.1727,1.0809
2020-03-31,7.57650,6.26600,1.31040,1.28530,,1.28540,0.02510,0.04650,0.07160,0.01500,0.05660,0.05660,0.05660,0.36240,0.02510,0.96610,0.96610,0.06000,0.06000,9.70700,17.29600,0.33120,0.33120,0.94460,0.74660,0.23820,1.21000,1.37660,65.37770,0.19500,0.19500,0.17790,0.19500,30.02280,-0.50720,-0.67970
2019-12-31,7.18700,6.30190,0.88500,1.32140,,1.32150,-0.43640,0.04650,-0.38990,-0.09600,-0.29390,-0.29390,-0.29390,-0.08420,-0.43640,0.96600,0.96600,-0.30000,-0.30000,11.12600,12.31440,-6.07220,-6.07220,-5.42490,-4.08910,0.22660,1.27280,1.55920,57.72090,-1.00790,-1.00790,-0.92640,-1.00790,30.18430,1.2119,0.9633
