Date,revenue,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,return-on-tangible-equity,roa,roi,book-value-per-share
2024-09-30,8.36640,8.36640,0.36760,,7.99880,0.05450,8.05330,8.05330,8.05330,8.05330,7.99880,7.99880,46.60900,46.60900,0.17000,0.17000,1.00000,100.00000,95.60590,95.60590,96.25770,96.25770,2.13590,4338.46700,205.59720,4338.46900,0.00400
2024-06-30,8.80340,8.80340,0.39580,,8.40760,0.02910,8.43670,8.43670,8.43670,8.43670,8.40760,8.40760,46.60900,46.60900,0.18000,0.18000,1.00000,100.00000,95.50390,95.50390,95.83460,95.83460,1.28220,4269.03500,122.88160,4269.03900,0.00420
2024-03-31,6.00560,6.00560,0.55250,,5.45320,0.03900,5.49220,5.49220,5.49220,5.49220,5.45320,5.45320,46.60900,46.60900,0.12000,0.12000,1.00000,100.00000,90.80060,90.80060,91.45080,91.45080,1.85550,2620.01500,169.68640,2620.01500,0.00450
2023-12-31,14.41250,14.41250,0.16250,,14.25000,0.02470,14.27470,14.27470,14.27470,14.27470,14.25000,14.25000,46.60900,46.60900,0.31000,0.31000,1.00000,100.00000,98.87260,98.87260,99.04390,99.04390,2.29760,6445.32500,227.56410,6445.31500,0.00480
2023-09-30,3.31740,3.31740,0.13950,,3.17790,0.02410,3.20200,3.20200,3.20200,3.20200,3.17790,3.17790,46.60900,46.60900,0.07000,0.07000,1.00000,100.00000,95.79430,95.79430,96.52140,96.52140,1.43890,2008.38700,138.88670,2008.38600,0.00340
2023-06-30,6.07420,6.07420,0.33600,,5.73820,0.02300,5.76110,5.76110,5.76110,5.76110,5.73820,5.73820,46.60900,46.60900,0.12000,0.12000,1.00000,100.00000,94.46850,94.46850,94.84660,94.84660,1.62340,2888.76000,153.97300,2888.76100,0.00430
2023-03-31,5.20660,5.20660,0.48010,,4.72650,0.01410,4.74060,4.74060,4.74060,4.74060,4.72650,4.72650,46.60900,46.60900,0.10000,0.10000,1.00000,100.00000,90.77910,90.77910,91.05010,91.05010,2.13510,1979.93400,194.40190,1979.93400,0.00510
2022-12-31,15.38520,15.38520,0.16680,,15.21840,0.03390,15.25230,15.25230,15.25230,15.25230,15.21840,15.21840,46.60900,46.60900,0.33000,0.33000,1.00000,100.00000,98.91580,98.91580,99.13610,99.13610,4.90780,5458.31000,486.53650,5458.31000,0.00600
2022-09-30,27.32380,27.32380,0.13670,,27.18710,0.01150,27.19850,27.19850,27.19850,27.19850,27.18710,27.18710,46.60900,46.60900,0.58000,0.58000,1.00000,100.00000,99.49970,99.49970,99.54160,99.54160,2.30870,8769.78600,229.81360,8769.77700,0.00670
2022-06-30,7.63020,7.63020,0.27370,,7.35650,0.00180,7.35830,7.35830,7.35830,7.35830,7.35650,7.35650,46.60900,46.60900,0.16000,0.16000,1.00000,100.00000,96.41300,96.41300,96.43640,96.43640,1.33880,2256.56100,129.10830,2256.56100,0.00700
2022-03-31,4.07860,4.07860,0.34520,,3.73350,0.00120,3.73470,3.73470,3.73470,3.73470,3.73350,3.73350,46.60900,46.60900,0.08000,0.08000,1.00000,100.00000,91.53680,91.53680,91.56700,91.56700,1.74360,1109.71500,159.65460,1109.71600,0.00720
2021-12-31,3.39610,3.39610,0.15770,,3.23840,0.00130,3.23970,3.23970,3.23970,3.23970,3.23840,3.23840,46.60900,46.60900,0.07000,0.07000,1.00000,100.00000,95.35620,95.35610,95.39300,95.39300,1.30560,918.56510,124.54440,918.56460,0.00760
2021-09-30,3.34410,3.34410,0.36110,,2.98300,0.00130,2.98430,2.98430,2.98430,2.98430,2.98300,2.98300,46.60900,46.60900,0.06000,0.06000,1.00000,100.00000,89.20200,89.20200,89.24000,89.24000,1.32420,859.41610,118.17430,859.41630,0.00750
2021-06-30,2.94110,2.94110,0.28430,,2.65680,0.00130,2.65810,2.65810,2.65810,2.65810,2.65680,2.65680,46.60900,46.60900,0.06000,0.06000,1.00000,100.00000,90.33360,90.33360,90.37690,90.37690,1.28800,735.64130,116.40670,735.64130,0.00780
2021-03-31,2.12420,2.12420,0.28570,,1.83840,0.00130,1.83970,1.83970,1.83970,1.83970,1.83840,1.83840,46.60900,46.60900,0.04000,0.04000,1.00000,100.00000,86.54810,86.54810,86.60990,86.60990,1.05650,493.15250,91.50210,493.15240,0.00800
2020-12-31,1.98040,1.98040,0.13570,,1.84470,0.00150,1.84620,1.84620,1.84620,1.84620,1.84470,1.84470,46.60900,46.60900,0.04000,0.04000,1.00000,100.00000,93.14710,93.14710,93.22480,93.22480,0.93930,482.20260,87.56900,482.20260,0.00820
2020-09-30,1.35890,1.35890,0.10580,,1.25310,0.00130,1.25430,1.25430,1.25430,1.25430,1.25310,1.25310,46.60900,46.60900,0.03000,0.03000,0.99940,100.00000,92.21200,92.21200,92.30620,92.30620,0.65800,322.91730,60.73520,322.08810,0.00840
2020-06-30,2.44650,2.44650,0.47090,-0.05000,1.92560,0.00240,1.92800,1.92800,1.92800,1.92800,1.92560,1.92560,46.60900,46.60900,0.04000,0.04000,1.00000,100.00000,78.70870,78.70870,78.80770,78.80770,1.54160,479.39520,121.48970,479.39540,0.00860
