Date,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,1.06740,1.01420,,-2.08160,0.03780,-2.04390,-2.04390,-2.04390,-2.04390,-2.08160,-2.08160,15.07190,15.07190,-0.14000,-0.14000,6.10700,,-57.19130,-57.19130,-47.90420,-57.19130,0.21970,-0.1197,-0.1197
2024-06-30,0.61450,1.11630,,-1.73070,0.03940,-1.69130,-1.69130,-1.69130,-1.69130,-1.73070,-1.73070,14.78090,14.78090,-0.11000,-0.11000,3.68110,,-76.22130,-76.22130,-56.08630,-76.22130,0.15010,-0.0762,-0.0762
2024-03-31,0.76230,1.00590,,-1.76820,0.05040,-1.71780,-1.71780,-1.71780,-1.71780,-1.76820,-1.76820,19.70790,19.70790,-0.12000,-0.12000,5.69630,,-54.41520,-54.41520,-45.10020,-54.41520,0.21360,-0.05330,-0.05330
2023-12-31,0.38710,2.66920,,-3.05640,-2.73100,-5.78740,-5.78740,-5.78740,-5.78740,-3.05640,-3.05640,18.56620,18.56620,-0.18000,-0.18000,8.70500,,-132.30270,-132.30260,-117.33280,-132.30270,0.29590,0.0123,0.0123
2023-09-30,1.01530,2.14480,,-3.16010,-0.42770,-3.58780,-3.58780,-3.58780,-3.58780,-2.72070,-3.16010,13.63920,13.63920,-0.26000,-0.26000,6.99140,,-44.21050,-44.21050,-39.78410,-44.21050,0.54900,-0.126,-0.126
2023-06-30,-0.10100,1.07120,,-0.97020,-0.29590,-1.26610,-1.26610,-1.26610,-1.26610,-0.97020,-0.97020,13.31300,13.31300,-0.10000,-0.10000,0.16330,1.50670,-105.80710,-105.80700,-33.09970,-105.80700,0.08990,-0.0698,-0.0698
2023-03-31,0.27160,0.61420,-0.45360,-1.33940,-0.00170,-1.34100,-1.34100,-1.34100,-1.34100,-1.33940,-1.33940,17.75070,17.75070,-0.10000,-0.10000,,,,,,,,-0.06060,-0.06060
2022-12-31,,,,,,,,,,,,,,,0.00000,,,,,,,,0.3515,0.3515
2022-09-30,0.71500,0.73610,-0.35740,-1.80840,-0.00230,-1.81070,-1.81070,-1.81070,-1.81070,-1.80840,-1.80840,13.16860,13.16860,-0.14000,-0.14000,,,,,,,,-0.0984,-0.0984
2022-06-30,0.26940,1.59050,-0.56080,-2.42070,-0.00230,-2.42300,-2.42300,-2.42300,-2.42300,-2.42070,-2.42070,13.09300,13.09300,-0.19000,-0.19000,,,,,,,,-0.2531,-0.2531
