Date,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,8.65600,7.25100,-4.79500,-20.70200,1.36200,-19.34000,-19.34000,-19.34000,-19.34000,-20.36400,-20.70200,61.76400,61.76400,-0.31000,-0.31000,5.14520,-26.59660,-26.59660,-17.30620,-26.59660,1.17730,-0.1199,-0.1202
2024-06-30,10.43000,6.51000,-0.43800,-17.37800,1.38700,-15.99100,-15.99100,-15.99100,-15.99100,-16.87800,-17.37800,61.68200,61.68200,-0.26000,-0.26000,7.67060,-17.65850,-17.65850,-12.75280,-17.65850,1.46640,-0.1836,-0.1836
2024-03-31,11.53500,6.51500,,-18.05000,1.33900,-16.71100,-16.71100,-16.71100,-16.71100,-17.68800,-18.05000,56.29600,56.29600,-0.30000,-0.30000,8.43340,-15.93300,-15.93300,-11.89130,-15.93300,1.70230,-0.33620,-0.33620
2023-12-31,12.16100,6.28500,,-18.44600,1.68800,-16.75800,-16.75800,-16.75800,-16.75800,-18.48700,-18.44600,54.74300,54.74300,-0.30000,-0.30000,7.21860,-15.05890,-15.05890,-11.13160,-15.05890,2.02540,-0.3574,-0.3576
2023-09-30,15.09800,8.18400,-5.39000,-28.67200,1.56200,-27.11000,-27.11000,-27.11000,-27.11000,-28.03300,-28.67200,54.78900,54.78900,-0.49000,-0.49000,6.85030,-21.46890,-21.46890,-16.01720,-21.46890,2.30380,-0.3484,-0.3485
2023-06-30,17.32400,8.06400,,-25.38800,1.53200,-23.85600,-23.85600,-23.85600,-23.85600,-25.18100,-25.38800,54.68400,54.68400,-0.44000,-0.44000,7.73150,-15.86020,-15.86020,-12.31620,-15.86020,2.74750,-0.3129,-0.3148
2023-03-31,16.83600,19.04700,,-35.88300,1.54500,-34.33800,-34.33800,-34.33800,-34.33800,-35.00300,-35.88300,54.61900,54.61900,-0.63000,-0.63000,9.95310,-20.15720,-20.15720,-16.10280,-20.15720,3.11840,-0.41100,-0.41140
2022-12-31,17.65700,10.58700,,-28.24400,1.17300,-27.07100,-27.07100,-27.07100,-27.07100,-27.73100,-28.24400,54.42900,54.42900,-0.49000,-0.49000,10.73750,-13.44370,-13.44370,-11.11520,-13.44370,3.68700,-0.4427,-0.4515
2022-09-30,16.86200,10.66400,,-27.52600,0.82500,-26.70100,-26.70100,-26.70100,-26.70100,-26.54200,-27.52600,54.47400,54.47400,-0.49000,-0.49000,10.29300,-11.89910,-11.89910,-9.88740,-11.89910,4.11380,-0.4274,-0.4318
2022-06-30,26.82100,12.99100,,-39.81200,0.27000,-39.54200,-39.54200,-39.54200,-39.54200,-38.61500,-39.81200,54.38600,54.38600,-0.73000,-0.73000,9.23510,-15.94140,-15.94140,-13.20640,-15.94140,4.55440,-0.4779,-0.4932
