Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,other-income,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,1076.90000,796.00000,280.90000,48.50000,,48.50000,232.40000,-38.80000,193.60000,59.90000,133.70000,,131.50000,131.40000,,232.40000,285.65200,285.65200,0.46000,0.46000,,,,,,,,,,,,,,,,,,,
2024-06-30,2378.13400,1625.65900,752.47500,83.66200,-41.21200,124.87400,627.60100,-40.22600,587.37500,151.75900,435.61600,,435.61600,433.55800,627.60100,627.60100,285.63800,285.63800,1.51790,1.51790,2.18570,0.37190,0.59220,31.64140,26.39050,26.39050,24.69900,18.23100,0.22080,0.95100,1.85580,48.49550,8.75630,9.05530,4.04360,5.49950,17.41670,1.9562,1.1712
2024-03-31,1084.51700,715.98800,368.52900,38.32100,-16.37000,54.69100,313.83800,-13.66200,300.17600,1168.84300,-868.66700,,-868.66700,-869.50800,313.83800,313.83800,285.63800,285.63800,-3.04400,-3.04400,2.34460,0.38540,0.94710,33.98090,28.93810,28.93810,27.67830,-80.17470,0.10240,0.40760,1.14120,78.86730,-18.52780,-19.16310,-8.20450,-11.38670,16.41390,0.52710,-0.08060
2023-12-31,-952.21040,-287.33810,-664.87230,7.52200,-62.02100,69.54310,-734.41540,-25.21900,-759.63490,875.52890,-1635.16400,,-1635.16400,-1636.19400,-734.41540,-734.41560,285.63800,285.63800,-5.72820,-5.72820,2.33350,0.41780,0.71770,69.82420,77.12740,77.12750,79.77600,171.83110,-0.08830,-0.16190,-0.59980,-150.04250,-36.52020,-37.84580,-15.17010,-21.26120,15.67520,-2.1209,-3.1768
2023-09-30,1840.26000,1086.62000,753.64000,40.14000,-3.18600,43.32600,710.31400,-12.66900,697.64500,216.05600,481.58900,,481.58900,479.36800,710.31400,710.31400,285.63800,285.63800,1.67820,1.67820,2.28310,0.31910,0.68540,40.95290,38.59860,38.59860,37.91010,26.04890,0.16770,0.58170,1.32480,67.93630,9.11530,9.39740,4.38980,6.20670,18.49640,1.4702,0.4861
2023-06-30,4315.59100,2394.90400,1920.68700,86.63100,9.87400,76.75700,1843.93000,-8.36100,1835.56900,503.26500,1332.30400,,1332.30400,1330.12200,1843.93000,1843.93000,285.63800,285.63800,4.65670,4.65670,2.38830,0.33630,0.68470,44.50580,42.72720,42.72720,42.53340,30.82130,0.40860,1.29160,4.11930,21.84850,26.90980,27.81770,12.61420,17.86010,17.33320,2.1287,1.1677
2023-03-31,2263.85000,1198.25000,1065.60000,41.47200,0.43800,41.03400,1024.56600,8.87300,1033.43900,281.90100,751.53800,,751.53800,749.89500,1024.56600,1024.56600,285.63800,285.63800,2.62530,2.62530,2.47990,0.30670,0.54060,47.07030,45.25770,45.25770,45.64960,33.12480,0.20270,0.63160,1.33730,67.30170,13.75050,14.17660,6.72940,9.53350,,-2.16640,-3.02890
2022-12-31,3133.60100,1491.72900,1641.87100,40.30100,-7.84000,48.14100,1593.73000,11.44600,1605.17600,452.62810,1152.54800,,1152.54800,1151.02500,1593.73000,1593.73000,285.63800,285.63800,4.02990,4.02990,2.29110,0.32680,0.59150,52.39570,50.85940,50.85940,51.22470,36.73170,0.28960,0.83600,2.24800,40.03580,23.36880,24.18930,10.65290,15.73180,17.26660,3.9834,2.9903
2022-09-30,2958.34800,1325.68400,1632.66400,35.39900,-26.42100,61.82000,1570.84400,-16.52600,1554.31800,451.49800,1102.82000,,1102.82000,1099.90600,1570.84400,1570.84400,285.63800,285.63800,3.85070,3.85070,2.12230,0.32090,0.56390,55.18840,53.09870,53.09870,52.54010,37.17970,0.28850,0.79770,2.61330,34.43990,23.74080,24.64770,10.75580,16.12130,,5.1863,4.3947
2022-06-30,2598.81200,1301.37900,1297.43300,33.56500,-21.95800,55.52300,1241.91000,-26.35500,1215.55500,354.01300,861.54200,,861.54200,859.26100,1241.91000,1241.91000,285.63800,285.63800,3.00820,3.00820,1.81920,0.37840,0.73120,49.92410,47.78760,47.78760,46.77350,33.06360,0.28010,0.77760,1.81020,49.71700,24.13160,25.49120,9.28470,14.99980,,1.4444,0.6925
