Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,0.75970,0.62710,0.13260,0.27250,-0.25360,0.52610,-0.39350,-0.03150,-0.42500,-0.42500,-0.42500,,-0.42500,-0.38640,-0.39350,1.56020,1.56020,-0.27000,-0.27000,0.33490,,,17.45060,-51.79490,-51.79490,-55.93650,-55.93650,0.11650,,1.38910,64.78990,-9.47560,31.30350,-6.51540,-9.47550,2.80480,-0.1567,-0.1567
2024-06-30,0.74200,0.49570,0.24630,0.22910,-0.32440,0.55350,-0.30710,-0.03020,-0.33730,-0.33730,-0.33730,,-0.33730,-0.30710,-0.30710,1.29900,1.29900,-0.26000,-0.26000,0.23130,,,33.19640,-41.39300,-41.39300,-45.45830,-45.45830,0.11390,,1.29730,69.37520,-9.34730,15.10100,-5.17790,-9.34720,2.64180,-0.4042,-0.4042
2024-03-31,0.81210,0.60350,0.20860,0.22790,-0.15910,0.38710,-0.17850,-0.00020,-0.17870,-0.17870,-0.17870,,-0.17870,-0.17850,-0.17850,1.24100,1.24100,-0.14000,-0.14000,0.18980,,,25.69070,-21.97470,-21.97470,-21.99970,-21.99970,0.12800,,2.07660,43.34090,-4.82310,8.35570,-2.81650,-4.82310,2.95160,-0.04790,-0.04790
2023-12-31,0.91030,0.56360,0.34670,0.25870,-0.13280,0.39150,-0.04480,-2.52430,-2.56910,-2.56910,-2.56910,,-2.56910,-0.04480,-0.04480,1.03270,1.03270,-2.47000,-2.47000,0.18670,0.02290,0.02340,38.08990,-4.92150,-4.92150,-282.22400,-282.22400,0.14500,,2.98640,30.13650,-66.67020,129.16510,-40.92050,-65.14200,3.12780,-0.1582,-0.1582
2023-09-30,0.90610,0.66680,0.23930,0.79140,-0.30590,1.09730,-0.85800,-0.00030,-0.85830,-0.85830,-0.85830,,-0.85830,-0.85800,-0.85800,1.12650,1.12650,-0.76000,-0.76000,0.17610,0.01600,0.01620,26.40890,-94.68970,-94.68970,-94.72010,-94.72010,0.10280,,2.80800,32.05110,-13.93330,38.89380,-9.73460,-13.71090,0.34400,-0.2658,-0.2658
2023-06-30,0.99110,0.61600,0.37510,0.41070,-0.11280,0.52360,-0.14850,-0.00550,-0.15390,-0.15390,-0.15390,,-0.15390,-0.14850,-0.14850,0.92100,0.92100,-0.17000,-0.17000,0.29160,0.01700,0.01730,37.84380,-14.97960,-14.97960,-15.53040,-15.53040,0.10950,,2.16020,41.66270,-2.33420,8.68560,-1.70100,-2.29440,6.11790,-0.379,-0.379
2023-03-31,0.99740,0.68950,0.30800,0.41980,-0.28760,0.70740,-0.39940,-0.00050,-0.39990,-0.39990,-0.39990,,-0.39990,-0.39940,-0.39940,0.86800,0.86800,-0.46000,-0.46000,0.34690,0.01930,0.01970,30.87750,-40.04390,-40.04390,-40.09130,-40.09130,0.10750,,2.89580,31.07970,-6.12910,21.71000,-4.31070,-6.01050,7.51180,0.02230,0.02230
2022-12-31,1.02790,0.61000,0.41790,-0.25450,,0.67270,-0.25480,-0.00320,-0.25800,-0.25800,-0.25800,,-0.25800,-0.25480,-0.25480,0.79790,0.79790,-0.64080,-0.64080,0.37910,0.02130,0.02180,40.65220,-24.79110,-24.79110,-25.09800,-25.09800,0.11120,,3.05880,29.42310,-3.80690,16.22530,-2.78980,-3.72560,7.80710,-0.6408,-0.6408
2022-09-30,0.98690,0.69340,0.29360,0.83270,,0.83270,-0.53910,0.13960,-0.39950,-0.39950,-0.39950,,-0.39950,-0.53910,-0.53910,12.06900,12.06900,-0.03000,-0.03000,0.39350,0.02220,0.02270,29.74780,-54.62480,-54.62480,-40.48060,-40.48060,0.10630,,4.25620,21.14570,-5.87580,25.49630,-4.30380,-5.74530,7.83740,0.0264,0.0264
2022-06-30,0.99240,0.62350,0.36890,0.93220,,0.93230,-0.56340,,-0.56340,-0.56340,-0.56340,,-0.56340,-0.56340,-0.56340,0.76290,0.76290,-0.74960,-0.74960,0.26610,0.04570,0.04780,37.16920,-56.76640,-56.76640,-56.76640,-56.76640,0.10950,14.01230,3.27980,27.44110,-9.16680,25.36810,-6.21470,-8.74830,7.85770,0.0206,0.0206
