Date,revenue,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,,,36.82400,14.60800,-51.43200,11.24700,-40.18500,-0.02700,-40.15800,-40.15800,-40.15800,-52.75600,-51.43200,71.11100,71.11100,-0.56000,-0.56000,7.29390,,,,,,,-11.33350,-11.45420,-8.91090,-11.33350,4.98010,-0.6181,-0.6182
2024-06-30,,,48.38600,16.76200,-65.14800,-22.86300,-88.01100,0.26600,-88.27700,-88.27700,-88.27700,-67.01700,-65.14800,71.04000,71.04000,-1.24000,-1.24000,6.59170,,,,,,,-23.07410,-23.30160,-17.95420,-23.07410,5.38040,-0.4962,-0.4978
2024-03-31,40.56000,40.56000,49.58500,15.74000,-24.76500,34.94800,10.18300,0.14300,10.04000,10.04000,10.06800,-27.20500,-24.76500,70.89800,71.19200,0.14000,0.14000,9.19390,100.00000,-61.05770,-61.05770,25.10600,24.82250,0.07280,2.18850,2.20640,1.80100,2.18850,6.46050,-0.73010,-0.73060
2023-12-31,,,51.55700,16.36500,-67.92200,6.84800,-61.07400,-0.13500,-60.93900,-60.93900,-60.91700,-72.14000,-67.92200,65.40900,65.40900,-0.76000,-0.76000,7.16070,,,,,,,-13.93240,-14.05240,-11.04590,-13.93240,6.18080,-0.8091,-0.8122
2023-09-30,,,46.76500,15.95300,-62.71800,7.20900,-55.50900,0.03100,-55.54000,-55.54000,-55.52800,-64.48900,-62.71800,70.61200,70.61200,-0.79000,-0.79000,8.96610,,,,,,,-11.52530,-11.61530,-9.48240,-11.52530,6.82180,-0.2534,-0.254
2023-06-30,,,88.25200,15.66400,-103.91600,4.45100,-99.46500,-0.60500,-98.86000,-112.56400,-112.52700,-106.79400,-103.91600,60.79000,60.79000,-1.85000,-1.85000,10.89530,,,,,,,-21.51120,-21.66580,-18.11330,-21.51120,7.41150,-1.2834,-1.2886
2023-03-31,,,48.58400,16.36900,-64.95300,4.10900,-60.84400,0.10800,-60.95200,-63.26200,-63.21900,-67.85400,-64.95300,59.27700,59.27700,-1.07000,-1.07000,7.27890,,,,,,,-16.40340,-16.56380,-12.92800,-16.40340,6.48810,-0.83140,-0.83140
2022-12-31,,,40.61600,11.13800,-51.75400,3.23200,-48.52200,-0.36000,-48.16200,-54.98400,-54.97100,-53.87100,-51.75400,52.85700,52.85700,-0.87000,-0.87000,7.97810,,,,,,,-12.66840,-12.77840,-10.19530,-12.66840,7.32160,-0.8725,-0.8787
2022-09-30,,,42.18100,12.01200,-54.19300,1.90500,-52.28800,-0.15900,-52.12900,-54.50000,-54.40100,-55.08400,-54.19300,56.80700,56.80700,-0.96000,-0.96000,8.02590,,,,,,,-12.71170,-12.82350,-10.29870,-12.71170,7.52150,-0.4018,-0.4295
2022-06-30,,,43.82500,19.63600,-63.46100,0.42400,-63.03700,0.01700,-63.05400,-68.39200,-68.35700,-63.24200,-63.46100,51.11700,51.11700,-1.34000,-1.34000,9.61480,,,,,,,-14.46460,-14.57980,-12.04390,-14.46460,8.29970,-0.7142,-0.7186
2022-03-31,,,46.11200,11.76700,-57.87900,0.42600,-57.45300,0.03300,-57.48600,-59.23700,-59.07700,-57.38900,-57.87900,45.24400,45.24400,-1.31000,-1.31000,6.92840,,,,,,,-18.76570,-18.99050,-14.60200,-18.76570,6.92490,-1.10950,-1.11940
2021-12-31,,,38.43900,9.75400,-48.19300,0.08800,-48.10500,0.15900,-48.26400,-50.09500,-50.05900,-47.78800,-48.19300,42.68800,42.68800,-1.05000,-1.05000,7.98220,,,,,,,-13.74420,-13.88650,-11.02180,-13.74420,8.01220,-0.9854,-1.0406
2021-09-30,,,53.99800,8.87200,-62.87000,51.68100,-11.18900,-0.69700,-10.49200,-10.49200,-4.19100,-62.54200,-62.87000,44.60900,44.60900,-0.09000,-0.09000,9.57920,,,,,,,-2.66300,-2.68850,-2.41150,-2.66300,8.71690,-0.5727,-0.6297
2021-06-30,,,44.77000,10.36200,-55.13200,0.11500,-55.01700,0.04500,-55.06200,-55.06200,-54.57400,-54.78100,-55.13200,40.73800,40.73800,-1.34000,-1.34000,7.72700,,,,,,,-22.23750,-23.42340,-19.39060,-22.23750,5.99320,-1.1233,-1.1433
2021-03-31,,,38.39400,11.95300,-50.34700,0.09900,-50.24800,0.19600,-50.44400,-50.44400,-49.90100,-49.97900,-50.34700,40.35900,40.35900,-1.24000,-1.24000,9.34090,,,,,,,-17.23770,-18.00920,-15.36270,-17.23770,7.13060,-0.92840,-0.93920
2020-12-31,,,29.52100,10.72400,-40.24500,0.31500,-39.93000,0.42600,-40.35600,-40.35600,-40.30300,-39.88000,-40.24500,28.11300,28.11300,0.38000,0.38000,12.06620,,,,,,,-12.10520,-12.57820,-11.03970,-12.10520,8.12320,-1.5218,-1.5462
2020-09-30,,,24.67000,10.09700,-34.76700,0.12000,-34.64700,0.01800,-34.66500,-34.66500,-34.55500,-34.55700,-34.76700,37.95900,37.95900,-0.91000,-0.91000,15.59170,,,,,,,-9.47560,-9.81190,-8.81540,-9.47560,9.00760,-0.4341,-0.4351
2020-06-30,,,17.45200,9.92400,-27.37600,0.08400,-27.29200,,-27.29200,-27.29200,-26.85700,-27.27300,-27.37600,34.35300,34.35300,-0.78000,-0.78000,15.31970,,,,,,,-11.47080,-12.10880,-10.61050,-11.47080,6.63150,1.8796,1.8836
2020-03-31,,,13.25800,3.14100,-16.39900,0.16400,-16.23500,,-16.23500,-16.23500,-16.12600,-16.36100,-16.39900,5.60100,5.60100,-2.88000,-2.88000,3.89690,,,,,,,18.20250,15.95940,-18.52700,18.20250,-10.86640,-3.01210,-3.01770
2019-12-31,,,11.86900,3.03600,-14.90500,0.35900,-14.54600,,-14.54600,-14.54600,-14.50600,-14.86400,-14.90500,5.59700,5.59700,-2.60000,-2.60000,4.62450,,,,,,,19.84850,16.94920,-16.62760,19.84850,-8.85940,-2.3601,-2.3666
2019-09-30,,,10.73900,1.84400,-12.58300,0.01200,-12.57100,0.00100,-12.57200,-12.57200,-12.34400,-12.55800,-12.58300,5.60100,5.60100,-2.20000,-2.20000,,,,,,,,,,,,,-1.7833,-1.8024
2019-06-30,,,8.68900,1.94600,-10.63500,0.04900,-10.58600,0.01100,-10.59700,-10.59700,-10.47000,-10.61100,-10.63500,5.60100,5.60100,-1.87000,-1.87000,,,,,,,,,,,,,-1.2403,-1.2702
2019-03-31,,,7.08900,1.63300,-8.72200,0.06200,-8.66000,0.00300,-8.66300,-8.66300,-8.34300,-8.70100,-8.72200,5.59400,5.59400,-1.49000,-1.49000,,,,,,,,,,,,,-1.60990,-1.61730
