Date,selling-general-administrative-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-06-30,,,,,,,,,,,,,0.00000,,,,,,,,,,
2023-12-31,,,,,,,,,,,,,0.00000,,,,,,,,,0.1191,0.1191
2023-06-30,1.12400,-1.12400,4.08890,2.96490,2.96490,2.96490,2.96490,-1.12400,-1.12400,7.66700,7.66700,0.10000,0.10000,0.16120,,,-23.76720,-23.76720,1.21510,-23.76720,-1.62710,-0.0355,-0.0355
2023-03-31,2.31450,-2.31450,1.56580,-0.74880,-0.74880,-0.74880,-0.74880,-2.31450,-2.31450,7.66700,7.66700,-0.02000,-0.02000,0.25590,,,5.91070,5.91070,-0.31020,5.91070,-1.65230,-0.08360,-0.08360
2022-12-31,7.94120,-21.85180,-12.95530,-14.61510,-13.10340,-13.10340,-11.10340,-21.85180,-1.65990,14.27300,14.27300,-0.56000,-0.56000,0.33090,0.63700,6.89860,-482.38510,394.30950,-35.77820,-175.12270,,-0.1653,-0.1653
2022-09-30,0.31590,-0.31590,3.25730,2.94140,2.94140,2.94140,2.94140,-0.31590,-0.31590,7.66670,7.66670,0.10000,0.10000,38.69680,,,-37.60370,-37.60370,1.23770,-37.60370,-1.02020,0.0079,0.0079
2022-06-30,0.29950,-0.29950,3.95840,3.65890,3.65890,3.65890,3.65890,-0.29950,-0.29950,7.66700,7.66700,0.12000,0.12000,47.75190,,,-37.86990,-37.86980,1.54470,-37.86990,-1.26020,-0.0469,-0.0469
2022-03-31,0.27110,-0.27110,-1.11800,-1.38910,-1.38910,-1.38910,-1.38910,-0.27110,-0.27110,7.16700,7.16700,-0.07000,-0.07000,17.07390,,,10.63540,10.63540,-0.58630,10.63540,-1.70360,-0.18100,-0.18100
2021-12-31,,,,,,,,,,,,,0.00000,,,,,,,,,0,0
2021-09-30,0.00000,0.00000,,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,6.66670,6.66670,0.00000,0.00000,,,,,,,,,0,0
