Date,research-development-expenses,selling-general-administrative-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,14.45500,5.43400,-19.88900,1.25200,-18.63700,,-18.63700,-18.63700,-18.63700,-19.34800,-19.88900,15.00100,15.00100,-1.24000,-1.24000,7.60940,-22.27170,-22.27180,-18.74700,-22.27180,5.57830,-0.9349,-0.9531
2024-06-30,11.29600,4.69700,-15.99300,1.41000,-14.58300,,-14.58300,-14.58300,-14.58300,-15.69400,-15.99300,14.98600,14.98600,-0.97000,-0.97000,10.79460,-14.53790,-14.53790,-12.80010,-14.53790,6.64080,-0.6493,-0.6597
2024-03-31,10.29800,4.77400,-15.07200,1.34400,-13.72800,,-13.72800,-13.72800,-13.72800,-14.78400,-15.07200,13.33490,13.33490,-1.03000,-1.03000,13.49350,-12.12400,-12.12400,-10.89840,-12.12400,7.50560,-1.18010,-1.18190
2023-12-31,13.83500,3.89000,-17.72500,1.14400,-16.58100,,-16.58100,-16.58100,-16.58100,-17.44200,-17.72500,10.43900,10.43900,-1.49000,-1.49000,7.18750,-21.13850,-21.13850,-17.47360,-21.13850,7.02620,-1.7442,-1.7664
2023-09-30,14.84800,4.51400,-19.36200,1.81800,-17.54400,,-17.54400,-17.54400,-17.54400,-19.08600,-19.36200,10.97200,10.97200,-1.60000,-1.60000,8.83740,-18.63750,-18.63750,-15.89060,-18.63750,8.49190,-1.0819,-1.0819
2023-06-30,13.29700,4.53000,-17.82700,1.74700,-16.08000,,-16.08000,-16.08000,-16.08000,-17.55200,-17.82700,10.92100,10.92100,-1.47000,-1.47000,13.21520,-14.59100,-14.59100,-12.95000,-14.59100,9.94630,-0.9855,-0.986
2023-03-31,9.80500,4.14200,-13.94700,-0.31300,-14.26000,,-14.26000,-14.26000,-14.26000,-13.67300,-13.94700,8.78780,8.78780,-1.62000,-1.62000,16.79020,-11.39000,-11.39000,-10.27700,-11.39000,11.44110,-1.17610,-1.17900
2022-12-31,9.28200,4.46500,-13.74700,0.53600,-13.21100,,-13.21100,-13.21100,-13.21100,-13.47400,-13.74700,3.66530,3.66530,-3.60000,-3.60000,5.90670,-36.70850,-36.70840,-27.31750,-36.70840,9.46080,-3.4286,-3.4506
2022-09-30,9.02200,3.68600,-12.70800,0.84500,-11.86300,,-11.86300,-11.86300,-11.86300,-12.44000,-12.70800,3.65660,3.65660,-3.20000,-3.20000,7.06250,-24.94060,-24.94060,-20.06940,-24.94060,12.52240,-2.6074,-2.6678
2022-06-30,8.13500,3.82800,-11.96300,1.55900,-10.40400,,-10.40400,-10.40400,-10.40400,-11.74500,-11.96300,3.63980,3.63980,-2.90000,-2.90000,9.55690,-17.69960,-17.69960,-14.78560,-17.69960,15.47640,-2.5611,-2.6278
2022-03-31,8.18800,4.59000,-12.77800,10.57100,-2.20700,,-2.20700,-2.20700,-2.20700,-12.56200,-12.77800,3.63100,3.63100,-0.60000,-0.60000,12.36370,-3.24060,-3.24060,-2.74000,-3.24060,17.98200,-3.91430,-3.92230
2021-12-31,8.65700,3.42500,-12.08200,3.02500,-9.05700,,-9.05700,-9.05700,-9.05700,-11.88800,-12.08200,3.62190,3.62190,-2.50000,-2.50000,10.95150,-13.02830,-13.02830,-9.67070,-13.02830,18.36430,29.1511,31.9382
2021-09-30,7.18800,2.89100,-10.07900,6.66700,-3.41200,,-3.41200,-3.41200,-3.41200,-9.94700,-10.07900,0.49660,0.49660,-6.90000,-6.90000,11.18100,-4.34090,-4.34090,-3.18250,-4.34090,20.78540,18.4939,20.9606
2021-06-30,5.15600,3.26200,-8.41800,0.00400,-8.41400,,-8.41400,-8.41400,-8.41400,-8.38900,-8.41800,0.21050,0.21050,-40.00000,-40.00000,1.28580,-168.27980,-168.27970,-8.36810,-168.27980,11.43910,-25.6713,-26.7495
2021-03-31,4.42000,1.83400,-6.25400,-3.50000,-9.75400,,-9.75400,-9.75400,-9.75400,-6.23200,-6.25400,0.19810,0.19810,-49.20000,-49.20000,4.18660,-195.08000,-195.08000,-9.66120,-195.08000,12.45640,-31.27210,-36.11810
2020-12-31,11.36300,2.75580,-14.11880,-4.77870,-18.89740,,-18.83840,-18.83840,-18.84080,-14.11880,-14.11880,0.61260,0.61260,17.70000,17.70000,5.15580,53.62490,53.62490,-80.65430,53.62490,-126.77730,73.0233,73.0233
2020-09-30,4.52000,1.48800,-6.00800,-4.81700,-10.82500,,-10.82500,-10.82500,-10.82500,-6.00800,-6.00800,0.17630,0.17630,-61.40000,-61.40000,5.34250,-216.49960,-216.49930,-10.68420,-216.49960,15.45020,-71.3964,-71.3964
2020-06-30,,0.32760,-0.32760,-3.10570,-3.43330,0.00120,-3.43440,-3.43440,-3.43210,-0.32760,-0.32760,0.25000,0.25000,-13.70000,-13.70000,4.57400,-68.68900,-68.68900,-3.38050,-68.68900,13.92330,-0.6954,-0.6954
2020-03-31,,0.22870,-0.22870,1.71530,1.48670,0.05780,1.42890,1.42890,1.42890,-0.22870,-0.22870,0.25000,0.25000,5.70000,5.70000,,,,,,,-0.93150,-0.93150
2019-12-31,,,,,,,,,,,,,,,0.00000,,,,,,,0,0
2019-09-30,0.00000,0.77700,-0.77700,0.38100,-0.37100,-0.04840,-0.32260,-0.32200,-0.32200,-0.77700,-0.77700,,,,0.00000,,,,,,,0,0
