Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,61.73100,52.38300,9.34800,6.15800,6.31100,3.03700,3.03700,0.24700,2.79000,2.79000,2.79000,4.56400,3.03700,49.83700,50.66900,0.06000,0.05000,4.91970,4.91970,4.91970,4.51960,0.03560,1.34410,1.34410,0.16070,1.34410,4.16020,0.1924,0.185
2024-06-30,62.08400,48.26100,13.82300,10.36900,10.52100,3.30200,3.30200,-0.65700,3.95900,3.95900,3.95900,4.82600,3.30200,49.63900,50.80900,0.08000,0.08000,5.31860,5.31860,5.31860,6.37680,0.03730,2.06770,2.06770,0.23810,2.06770,3.85110,0.0896,0.0871
2024-03-31,57.71200,45.57000,12.14200,7.04500,7.21700,4.92500,4.92500,0.38300,4.54200,4.54200,4.54200,6.53200,4.92500,49.56400,50.56100,0.09000,0.09000,8.53380,8.53380,8.53380,7.87010,0.03460,2.32700,2.32700,0.27270,2.32700,3.93740,0.13430,0.13310
2023-12-31,66.84900,50.63300,16.21600,7.30300,7.44200,8.77400,8.77400,-1.96700,10.74100,10.74100,10.74100,10.22700,8.77400,49.69600,50.68100,0.21000,0.21000,13.12510,13.12510,13.12510,16.06760,0.04010,6.24010,6.24010,0.64360,6.24010,3.47350,0.1295,0.1266
2023-09-30,59.39000,45.72500,13.66500,8.87300,9.02400,4.64100,4.64100,1.94300,2.69800,2.69800,2.69800,6.21700,4.64100,49.61500,50.52200,0.06000,0.05000,7.81440,7.81440,7.81440,4.54290,0.03800,1.76630,1.76630,0.17240,1.76630,3.07840,0.0644,0.0603
2023-06-30,58.52700,42.93200,15.59500,9.39800,9.55100,6.04400,6.04400,-0.08200,6.12600,6.12600,6.12600,7.58800,6.04400,49.75800,50.55200,0.12000,0.12000,10.32690,10.32690,10.32690,10.46700,0.03600,4.17170,4.17170,0.37720,4.17170,2.96040,0.096,0.0957
2023-03-31,55.91400,40.32200,15.59200,8.71600,8.87700,6.71500,6.71500,1.84300,4.87200,4.87200,4.87200,8.20100,6.71500,49.84000,50.60900,0.10000,0.10000,12.00950,12.00950,12.00950,8.71340,0.03410,3.15770,3.15770,0.29730,3.15770,3.09470,0.14530,0.14390
2022-12-31,67.25700,47.30600,19.95100,8.36500,8.54000,11.41100,11.41100,-2.24800,13.65900,13.65900,13.65900,12.49300,11.41100,50.13900,50.86700,0.27000,0.27000,16.96630,16.96630,16.96630,20.30870,0.04230,10.68860,10.68860,0.85870,10.68860,2.56490,0.3362,0.3357
2022-09-30,56.17600,42.37700,13.79900,8.81100,8.97700,4.82200,4.82200,1.41500,3.40700,3.40700,3.40700,5.91100,4.82200,50.07500,50.79900,0.07000,0.06000,8.58370,8.58370,8.58370,6.06490,0.03650,-23.94580,-23.94570,0.22110,-23.94570,-0.28450,0.3452,0.3447
2022-06-30,53.73400,41.93300,11.80100,7.68400,7.83500,3.96600,3.96600,1.47400,2.49200,2.49200,2.49200,5.52400,3.96600,50.37300,51.06500,0.05000,0.05000,7.38080,7.38080,7.38080,4.63770,0.03320,3.26870,3.26870,0.15390,3.26870,1.51830,0.1991,0.1988
