Date,revenue,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,long-term-debt-capital,debt-equity-ratio,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,14.78500,14.78500,2.30100,-10.47000,-4.82200,-0.22900,-5.05100,-5.05100,-5.05100,-6.14600,-4.14500,-4.82200,47.34000,47.34000,-0.13000,-0.13000,0.10000,1.45270,-32.61410,-32.61410,-34.16300,-41.56920,0.02660,-2.28960,-2.28960,-0.90930,-2.06070,4.69270,0.0501,0.064
2024-06-30,15.14600,15.14600,1.25800,-10.03200,-3.11700,0.06100,-3.05600,-3.05600,-3.05600,-4.12400,-2.37100,-3.11700,47.50500,47.50500,-0.09000,-0.09000,0.09460,1.47260,-20.57970,-20.57970,-20.17700,-27.22830,0.02580,-1.32770,-1.32770,-0.52120,-1.20220,4.84090,0.1462,0.1888
2024-03-31,17.20100,17.20100,1.23860,-3.82270,4.67020,,4.67020,4.67020,4.67020,3.64870,5.38820,4.67020,47.32600,47.32600,0.08000,0.08000,0.10180,1.56720,27.15100,27.15100,27.15100,21.21220,0.02750,1.96690,1.96690,0.74540,1.76660,5.00450,0.08910,0.07550
2023-12-31,16.85340,16.85340,1.74890,-8.77460,-1.16510,,-1.10910,-1.10910,-1.10910,-2.08770,-0.48430,-1.16510,44.24500,44.24500,-0.06000,-0.06000,0.10690,1.61550,-6.91300,-6.91300,-6.58070,-12.38740,0.02690,-0.48200,-0.48200,-0.17730,-0.43050,4.91980,0.0709,-0.1674
2023-09-30,17.77500,17.77500,1.32900,-2.33300,6.43000,-0.24000,6.19000,6.19000,6.19000,5.22300,7.09700,6.43000,44.75500,44.75500,0.12000,0.12000,0.17230,1.62240,36.17440,36.17440,34.82420,29.38400,0.02790,2.62820,2.62810,0.97050,2.17530,5.19200,0.1476,0.1747
2023-06-30,16.27300,16.27300,1.31700,-2.30300,5.51400,0.18400,5.69800,5.69800,5.69800,4.77300,6.20770,5.51400,43.84400,43.84400,0.11000,0.11000,0.18550,1.63930,33.88440,33.88440,35.01510,29.33080,0.02610,2.48780,2.48770,0.91310,2.02630,5.22670,0.1584,0.1509
2023-03-31,14.70780,14.70780,0.89810,-1.81650,5.12020,,5.12020,5.12020,5.12020,4.19550,5.76060,5.12020,42.79300,42.79300,0.10000,0.10000,0.19570,1.52840,34.81310,34.81310,34.81310,28.52550,0.02460,2.23600,2.23590,0.85770,1.79840,5.23340,0.11710,0.11250
2022-12-31,15.88550,15.88550,1.10340,-2.03950,6.27600,,6.27600,6.27600,6.27600,5.35420,6.75510,6.27600,37.74200,37.74900,0.13000,0.13000,0.16580,1.50170,39.50750,39.50740,39.50740,33.70490,0.02810,2.88280,2.88280,1.10950,2.40470,5.29780,0.0288,0.0351
2022-09-30,13.54100,13.54100,0.71600,-1.79640,5.05360,,5.05360,5.05360,5.05360,4.13190,5.63180,5.05360,38.83000,38.83000,0.11000,0.11000,0.16660,1.49090,37.32110,37.32110,37.32110,30.51380,0.02410,2.30450,2.30440,0.89950,1.92040,5.47140,0.1179,0.1091
2022-06-30,12.54810,12.54810,0.64590,-1.46480,5.22760,,5.22760,5.22760,5.22760,4.30580,5.88920,5.22760,36.37400,36.37400,0.12000,0.12000,0.16370,1.48160,41.66020,41.66020,41.66020,34.31440,0.02390,2.55000,2.55000,0.99500,2.13260,5.57740,-0.0149,-0.0166
2022-03-31,10.30140,10.30140,0.63190,-1.41960,4.35150,,4.35150,4.35150,4.35150,3.42970,4.84300,4.35150,34.89300,34.89900,0.10000,0.10000,0.12200,1.30410,42.24160,42.24160,42.24160,33.29360,0.02140,2.18220,2.18220,0.90320,1.91590,5.61500,0.21650,0.23420
2021-12-31,9.47610,9.47610,1.35660,-0.99390,4.30410,,4.30410,4.30410,4.30410,3.36410,4.70220,4.30410,26.31600,26.32500,0.12000,0.12000,0.09920,1.18580,45.42100,45.42100,45.42100,35.50060,0.02270,2.39010,2.39010,1.02980,2.15290,5.50210,0.4353,0.4586
2021-09-30,8.52240,8.52240,0.47850,-1.15340,4.30060,,4.30060,4.30060,4.30060,3.38680,4.65760,4.30060,27.97300,27.97700,0.12000,0.12000,,0.88490,50.46260,50.46260,50.46260,39.74040,0.02720,2.70890,2.70890,1.37250,2.70890,5.60670,0.3742,0.405
2021-06-30,6.71390,6.71390,0.24830,-1.40820,2.53080,,2.53080,2.53080,2.53080,2.53080,2.81090,2.53080,24.85100,24.85800,0.10000,0.10000,,0.98750,37.69560,37.69560,37.69560,37.69560,0.02270,1.73000,1.73000,0.85410,1.73000,5.47220,0.1208,0.1115
2021-03-31,5.71220,5.71220,0.15960,-0.88510,2.18310,,2.18310,2.18310,2.18310,2.18310,2.44680,2.18310,22.13800,22.13800,0.10000,0.10000,0.00300,1.63460,38.21830,38.21830,38.21830,38.21830,0.02500,2.57920,2.57920,0.95570,2.57140,3.77390,0.12600,0.14110
2020-12-31,5.70810,5.70810,0.14970,-1.21010,2.35000,,2.35000,2.35000,2.35000,2.35000,2.61000,2.35000,22.11900,22.11900,0.11000,0.11000,0.01250,1.71500,41.16910,41.16910,41.16910,41.16910,0.02520,2.90410,2.90410,1.03670,2.86780,3.65740,0.1012,0.0998
2020-09-30,4.27180,4.27180,0.14530,-0.71010,2.13880,,2.13880,2.13880,2.13880,2.13880,2.27570,2.13880,22.11700,22.11700,0.10000,0.10000,0.01210,0.98520,50.06740,50.06740,50.06740,50.06740,0.02520,2.55030,2.55030,1.26080,2.51940,3.79180,0.1543,0.1543
2020-06-30,4.31060,4.31060,0.12750,-0.74970,2.26650,,2.26650,2.26650,2.26650,2.26650,2.40030,2.26650,22.11700,22.11700,0.10000,0.10000,0.01210,0.67270,52.57870,52.57870,52.57870,52.57870,0.03010,2.68390,2.68390,1.58000,2.65140,3.81820,0.1017,0.1305
2020-03-31,4.31230,4.31230,0.14020,-0.76720,2.23860,,2.23860,2.23860,2.23860,2.23860,2.37170,2.23860,22.11700,22.11700,0.10000,0.10000,0.00940,0.68870,51.91230,51.91230,51.91230,51.91230,0.03050,2.73150,2.73150,1.58560,2.70570,3.70560,0.07810,0.12610
2019-12-31,2.88930,2.88930,0.07380,-0.52770,0.94160,,0.94160,0.94160,0.94160,0.94160,1.52360,0.94160,19.41500,19.41500,0.03000,0.03000,0.00940,0.68230,32.58850,32.58850,32.58850,32.58850,0.02050,1.14050,1.14050,0.66680,1.12970,3.73290,0.0752,0.1111
2019-09-30,3.37910,3.37910,0.13120,-0.63630,2.05510,,2.05510,2.05510,2.05510,2.05510,2.13930,2.05510,21.33700,21.33700,0.10000,0.10000,0.00940,0.27640,60.81850,60.81850,60.81850,60.81850,0.03090,2.43910,2.43910,1.88060,2.41620,3.81450,0.1413,0.1436
2019-06-30,3.06510,3.06510,0.10800,-1.34340,1.14310,,1.14310,1.14310,1.14310,1.14310,1.20860,1.14310,18.50000,18.50000,0.06000,0.06000,0.01230,0.32570,37.29500,37.29500,37.29500,37.29500,0.03200,1.64680,1.64680,1.19160,1.62650,3.67160,0.1267,0.1332
2019-03-31,3.34700,3.34700,0.16550,-0.49680,2.05620,,2.05620,2.05620,2.05620,2.05620,2.11080,2.05620,15.57900,15.57900,0.13000,0.13000,0.01400,0.54770,61.43380,61.43380,61.43380,61.43380,0.03630,3.60160,3.60160,2.22730,3.55140,3.57940,0.07480,0.07370
2018-12-31,2.90330,2.90330,0.11560,-0.51480,1.69380,,1.62630,1.62630,1.62630,1.62630,1.75310,1.69380,15.42600,15.42600,0.10000,0.10000,0.00550,0.52100,58.33930,58.33930,56.01460,56.01460,0.03380,3.07990,3.07990,1.89070,3.06310,3.42010,0.159,0.2106
2018-09-30,3.05110,3.05110,0.14210,-0.44550,1.96270,,1.96270,1.96270,1.96270,1.96270,2.01600,1.96270,15.43300,15.43300,0.13000,0.13000,0.00520,0.49380,64.32590,64.32590,64.32590,64.32590,0.03590,3.51760,3.51760,2.30810,3.49920,3.61440,0.0537,0.0758
