Date,research-development-expenses,selling-general-administrative-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2023-09-30,6.09300,4.99400,-13.39600,-1.67700,-15.07300,,-15.07300,-15.07300,-15.07300,-13.38400,-13.39600,45.47800,45.47800,-0.33000,-0.33000,2.47390,11.91040,11.62220,-39.89780,11.91040,-2.35520,-0.2459,-0.2458
2023-06-30,7.56100,9.24600,-16.80700,-3.90500,-20.71200,,-20.71200,-20.71200,-20.71200,-16.79500,-16.80700,42.91700,42.91700,-0.48000,-0.48000,3.08350,18.01060,17.53200,-42.90330,18.01060,-2.62390,-0.1907,-0.1919
2023-03-31,7.27200,6.60900,-13.88100,-3.82900,-17.71000,,-17.71000,-17.71000,-17.71000,-13.86100,-13.88100,35.19600,35.19600,-0.50000,-0.50000,4.08890,18.14310,17.57780,-29.65800,18.14310,-2.27500,-0.33150,-0.33150
2022-12-31,8.16400,5.02100,-13.18500,-3.07300,-16.25800,,-16.18800,-16.18800,-16.18800,-13.15900,-13.18500,27.08700,27.08700,-0.58000,-0.58000,2.88030,14.82680,14.41240,-36.76080,14.82680,-3.82960,-0.5041,-0.5041
2022-09-30,8.10500,4.85300,-12.95800,-3.07500,-16.03300,,-16.03300,-16.03300,-16.03300,-12.93100,-12.95800,26.82400,26.82400,-0.60000,-0.60000,3.86150,16.44380,15.93090,-31.61520,16.44380,-3.63380,-0.3433,-0.3435
2022-06-30,6.63600,5.29300,-11.92900,-2.62900,-14.55800,,-14.55800,-14.55800,-14.55800,-11.89900,-11.92900,26.82100,26.82100,-0.54000,-0.54000,5.02350,17.48790,16.85250,-23.83510,17.48790,-3.10360,-0.3302,-0.3304
2022-03-31,8.10700,5.04700,-13.15400,-2.28900,-15.44300,,-15.44300,-15.44300,-15.44300,-13.12300,-13.15400,26.74900,26.74900,-0.58000,-0.58000,5.97160,21.91400,20.97950,-21.72040,21.91400,-2.62760,-0.42560,-0.42610
2021-12-31,9.21500,5.28400,-14.49900,-2.30800,-16.80700,,-16.80700,-16.80700,-16.80700,-14.03500,-14.49900,25.78900,25.78900,-0.63000,-0.63000,5.98310,28.97560,27.48800,-20.17380,28.97560,-2.19220,-0.715,-0.7171
2021-09-30,14.81300,5.48700,-20.30000,-2.32600,-22.62600,,-22.62600,-22.62600,-22.62600,-20.19400,-20.30000,26.30500,26.30500,-0.86000,-0.86000,5.89470,52.41500,48.86190,-22.90890,52.41500,-1.63270,-0.6562,-0.6569
2021-06-30,15.96600,5.12200,-21.08800,-1.29800,-22.38600,,-22.38600,-22.38600,-22.38600,-20.98600,-21.08800,25.40100,25.40100,-0.88000,-0.88000,6.46350,87.72970,78.11980,-19.42070,87.72970,-0.98450,-0.6516,-0.6522
2021-03-31,12.42300,5.05800,-17.48100,-1.23400,-18.71500,,-18.71500,-18.71500,-18.71500,-17.37500,-17.48100,24.98800,24.98800,-0.75000,-0.75000,4.05170,177.00730,136.48630,-26.55140,177.00750,-0.41970,-0.61240,-0.61990
2020-12-31,14.62100,4.32300,-18.94400,-1.13800,-20.08200,,-20.06600,-20.06600,-20.06600,-18.84800,-18.94400,24.87000,24.87000,-0.80000,-0.80000,5.57910,-327.98290,-673.58260,-23.86030,-327.98300,0.24500,-0.6618,-0.6636
2020-09-30,12.13300,3.94500,-16.07800,-1.00000,-17.07800,,-17.07800,-17.07800,-17.07800,-15.98100,-16.07800,24.87500,24.87500,-0.69000,-0.69000,8.78830,-69.15570,-79.22620,-17.41320,-69.15570,0.99120,-0.6125,-0.6127
2020-06-30,13.83900,3.87400,-17.71300,-0.94400,-18.65700,,-18.65700,-18.65700,-18.65700,-17.61800,-17.71300,24.83200,24.83200,-0.75000,-0.75000,8.74040,-46.36780,-50.29110,-16.32360,-46.36780,1.61950,-0.6202,-0.6351
2020-03-31,14.25200,3.56600,-17.81800,-0.59900,-18.41700,,-18.41700,-18.41700,-18.41700,-17.73800,-17.81800,24.81500,24.81500,-0.74000,-0.74000,9.88440,-34.71110,-36.89380,-14.07890,-34.71110,2.13770,-0.49940,-0.50090
2019-12-31,13.27600,2.89200,-16.16800,-0.51300,-16.68100,,-16.67200,-16.67200,-17.66900,-16.08900,-16.16800,3.62500,3.62500,121.54000,121.54000,12.12810,-23.95130,-25.08240,-13.51320,-23.95130,2.80540,91.3971,93.1062
2019-09-30,11.04000,1.81600,-12.85600,-0.49500,-13.35100,,-13.35100,-13.35100,-15.45900,-12.78100,-12.85600,0.30100,0.30100,-51.43000,-51.43000,7.94250,9.23180,9.03570,-16.73940,9.23180,-480.46510,-42.8605,-43.0598
2019-06-30,9.51500,1.75600,-11.27100,-0.28700,-11.55800,,-11.55800,-11.55800,-13.61800,-11.20400,-11.27100,0.30100,0.30100,-45.30000,-45.30000,10.04800,8.91440,8.70360,-12.69510,8.91440,-430.75090,-32.2289,-32.9231
2019-03-31,8.50200,1.89400,-10.39600,0.04700,-10.34900,,-10.34900,-10.34900,-12.36000,-10.35000,-10.39600,0.30600,0.30600,-41.12000,-41.12000,,,,,,,-29.17970,-30.16990
2018-12-31,,,,,,,,,,,,,,,0.00000,,,,,,,51.6545,51.814
2018-09-30,4.16200,1.24500,-5.40700,0.10600,-5.30100,-0.05200,-5.24900,-5.24900,-6.71700,-5.37700,-5.40700,0.30100,0.30100,-22.35000,-22.35000,,,,,,,-51.6545,-51.814
2018-06-30,0.00000,,,,0.00000,0.00000,,0.00000,,,,,,,0.00000,,,,,,,0,0
2017-12-31,,,,,,,,,,,,,,,0.00000,,,,,,,0,0
