Date,revenue,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,0.57600,0.57600,13.08400,8.76700,-21.27500,4.85000,-16.42500,-16.42500,-16.42500,,-16.42500,-20.49000,-21.27500,7.28700,7.28700,-2.25000,-2.25000,9.22410,0.25560,0.34340,100.00000,-3693.57600,-3693.57600,-2851.56300,-2851.56300,0.00380,3.06380,29.37500,-25.32140,-25.47380,-10.71720,-18.84810,8.67080,-0.6292,-0.6342
2024-06-30,49.89800,49.89800,17.22500,8.52700,24.14600,8.60300,32.74900,32.74900,32.74900,,32.74900,25.36200,24.14600,6.96700,7.01200,4.70000,4.67000,4.37040,,,100.00000,48.39070,48.39070,65.63190,65.63190,0.30100,241.05310,0.37340,43.83250,44.05360,19.75210,43.83250,10.48910,-1.0784,-1.081
2024-03-31,17.58400,17.58400,13.34300,8.42800,-4.18700,12.77500,8.58800,8.58800,8.58800,,8.58800,-2.87400,-4.18700,5.06100,5.06300,1.70000,1.70000,4.82420,,,100.00000,-23.81140,-23.81140,48.83990,48.83990,0.09520,45.08720,1.99610,23.08230,23.32430,4.64870,23.08230,5.37970,-3.74900,-3.75410
2023-12-31,7.03800,7.03800,13.38900,8.53900,-14.89000,1.45600,-13.43400,-13.43400,-13.43400,-2.85500,-16.28900,-13.53600,-14.89000,3.84100,3.84100,-3.98000,-3.98000,2.72790,,,100.00000,-211.56560,-211.56560,-190.87790,-231.44350,0.04400,7.81130,11.52170,-71.22640,-72.76960,-8.40780,-71.22630,4.52950,-2.1827,-2.166
2023-09-30,13.12000,13.12000,15.85000,9.63300,-12.36300,0.25300,-12.11000,-12.11000,-12.11000,4.03100,-8.07900,-10.45100,-12.36300,3.83900,3.83900,-2.10000,-2.10000,2.88150,,,100.00000,-94.23020,-94.23020,-92.30180,-61.57780,0.07980,3.73790,24.07770,-41.66810,-43.11760,-7.36870,-41.66810,7.54460,-5.8856,-5.9824
2023-06-30,19.78900,19.78900,13.08800,9.83000,-3.12900,0.09600,-3.03300,-3.03300,-3.03300,-8.85800,-11.89100,-0.83900,-3.12900,3.80300,3.80300,-3.13000,-3.13000,2.62170,,0.65560,100.00000,-15.81180,-15.81180,-15.32670,-60.08890,0.10890,30.35120,2.96530,-8.90980,-9.33550,-1.66930,-8.90980,8.88370,-5.3498,-5.6109
2023-03-31,8.78000,8.78000,11.04800,11.08600,-13.35400,-0.59600,-13.95000,-13.95000,-13.95000,-11.11000,-25.06000,-11.17000,-13.35400,3.71000,3.71000,-6.75000,-6.75000,3.60690,0.35660,0.55430,100.00000,-152.09570,-152.09570,-158.88390,-285.42140,0.04290,12.65130,7.11390,-34.72140,-36.09130,-6.82140,-22.33890,10.74000,-8.48090,-8.62130
2022-12-31,10.59800,10.59800,-8.54400,9.88500,9.25700,-7.27200,1.98500,1.98500,1.98500,-30.47300,-28.48800,11.44100,9.25700,2.93000,2.93000,-3.86580,-3.86580,3.33710,0.26890,0.36770,100.00000,87.34660,87.34660,18.72990,-268.80540,0.04450,14.71950,6.11440,3.28460,3.32490,0.83340,2.40150,16.33770,-9.138,-9.5427
2022-09-30,7.36300,7.36300,11.75800,10.28100,-14.67600,-1.01500,-15.69100,-15.69100,-15.69100,-8.25500,-23.94600,-12.51800,-14.67600,3.69130,3.69130,-6.60660,-6.60660,3.68560,0.20810,0.26280,100.00000,-199.32100,-199.32100,-213.10610,-325.22070,0.02710,10.29790,8.73960,-18.59560,-19.03990,-5.77440,-14.72600,22.84160,16.9863,16.964
2022-06-30,3.82000,3.82000,22.93600,10.43800,-29.55400,-1.48100,-31.03500,-31.03500,-31.03500,,-31.03500,-27.41600,-29.55400,2.26290,2.26290,-13.81380,-13.81380,4.59340,0.17680,0.21470,100.00000,-773.66500,-773.66500,-812.43460,-812.43460,0.01290,0.07560,1189.95600,-30.12430,-30.71920,-10.44380,-24.79980,27.92350,-9.2576,-9.5608
2022-03-31,3.31700,3.31700,19.97200,10.68000,-27.33500,-0.83300,-28.16800,-28.16800,-28.16800,,-28.16800,-25.16600,-27.33500,2.03240,2.03240,-13.81380,-13.81380,4.60570,0.03440,0.03560,100.00000,-824.08810,-824.08810,-849.20110,-849.20110,0.01830,6.79710,13.24090,-40.43700,-41.64520,-15.53230,-39.04580,33.86260,-14.20610,-14.60860
2021-12-31,6.33900,6.33900,26.47000,10.59300,-30.72400,8.43400,-22.29000,-22.29000,-22.29000,,-22.29000,-28.24300,-30.72400,1.95430,1.95430,-11.41140,-10.81080,4.49570,0.02650,0.02720,100.00000,-484.68250,-484.68250,-351.63300,-351.63300,0.03000,12.98970,6.92850,-24.44940,-25.01120,-10.53910,-23.80240,44.95380,-12.0106,-12.8102
2021-09-30,24.03600,24.03600,25.94000,9.63800,-11.54200,0.26300,-11.27900,-11.27900,-11.27900,,-11.27900,-8.96900,-11.54200,1.98660,1.98660,-5.70570,-5.70570,5.01850,,0.02420,100.00000,-48.01960,-48.01960,-46.92550,-46.92550,0.10580,49.25410,1.82730,-11.11860,-11.35060,-4.96440,-11.11860,50.70300,-11.9762,-12.3495
