Date,selling-general-administrative-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-06-30,0.38400,-0.38400,0.63640,0.25250,0.25250,0.25250,0.25250,-0.38400,-0.38400,2.34100,2.34100,0.04000,0.04000,0.01330,-0.85200,-8.30480,-8.30480,0.51320,-8.30480,-1.29860,-0.1564,-0.1564
2024-03-31,0.26840,-0.26840,0.75830,0.48980,0.48980,0.48980,0.48980,-0.26840,-0.26840,2.34100,2.34100,0.07000,0.07000,0.03350,-0.83760,-19.94430,-19.94430,1.00620,-19.94430,-1.04910,-0.08190,-0.08190
2023-12-31,0.24410,-0.24410,1.27750,1.03330,1.03330,1.03330,1.03330,-0.24410,-0.24410,2.34800,2.34800,0.11000,0.11000,0.02840,-0.83760,-51.99030,-51.99050,1.42290,-51.99030,-0.84900,-0.1981,-0.1981
2023-09-30,0.42150,-0.42150,0.57940,0.15790,0.15790,0.15790,0.15790,-0.42150,-0.42150,6.60000,6.60000,0.02000,0.02000,0.07290,-0.71980,-14.57820,-14.57820,0.22340,-14.57820,-0.46280,0.0534,0.0534
2023-06-30,0.19960,-0.19960,0.81590,0.61630,0.61630,0.61630,0.61630,-0.19960,-0.19960,2.41600,2.41600,0.07000,0.07000,0.99580,,,,0.88230,,-0.00080,-0.0415,-0.0415
2023-03-31,0.14790,-0.14790,0.75960,0.61170,0.61170,0.61170,0.61170,-0.14790,-0.14790,2.41600,2.41600,0.07000,0.07000,5.13530,,309.59940,309.59920,0.88890,309.59940,0.08180,-0.06990,-0.06990
2022-12-31,,,,,,,,,,1.86550,1.86550,,0.00000,11.85280,,,,,,0.14300,-0.0257,-0.0257
2022-09-30,,,,,,,,,,1.50000,1.50000,0.00000,0.00000,0.96210,-19.10060,,,,,-0.00590,0,0
2022-06-30,,,,,,,,,,1.50000,1.50000,0.00000,0.00000,,,,,,,,0,0
2022-03-31,,,,,,,0.00000,,,1.72500,1.72500,0.00000,0.00000,,,,,,,,0.00000,
2021-12-31,,,,,,,,,,,,,0.00000,,,,,,,,0,0
2021-09-30,,,,,,,0.00000,,,1.50000,1.50000,0.00000,0.00000,,,,,,,,0,0
