Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,long-term-debt-capital,debt-equity-ratio,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,67.28800,17.73100,49.55700,5.68000,-12.21300,29.96500,19.59200,,19.59200,19.59200,19.59200,,11.68300,32.24100,19.59200,24.13300,24.15500,0.48000,0.48000,0.74590,2.93480,29.11660,29.11660,29.11660,17.36270,0.03180,6.05280,3.85150,0.92720,0.97880,20.95070,1.0922,-1.1712
2024-06-30,66.94300,17.26400,49.67900,6.10200,-12.26700,30.37000,19.30900,,19.30900,19.30900,19.30900,0.18100,11.64900,31.89100,19.30900,24.11200,24.11600,0.48000,0.48000,0.73770,2.81200,28.84390,28.84390,28.84390,17.40140,0.03230,5.88650,3.76380,0.93210,0.98740,21.15020,1.3313,-0.5177
2024-03-31,66.69200,18.16800,48.52400,5.78400,-12.44800,30.26100,18.26300,,18.26300,18.26300,18.26300,,10.83200,30.85600,18.26300,24.09400,24.09700,0.45000,0.45000,0.73270,2.74090,27.38410,27.38410,27.38410,16.24180,0.03280,5.55220,3.55360,0.89950,0.94990,21.32580,1.40380,-0.48720
2023-12-31,66.68300,17.04800,49.63500,7.33400,-12.63500,32.17200,17.46300,,17.46300,17.46300,17.46300,,10.40700,30.22900,17.46300,33.47400,34.06600,0.43000,0.43000,0.73330,2.74960,26.18810,26.18810,26.18810,15.60670,0.03340,5.46690,3.46190,0.87570,0.92330,20.94540,-0.0783,0.0629
2023-09-30,63.76600,17.36100,46.40500,5.17900,-12.41900,29.69400,16.71100,,16.71100,16.71100,16.71100,,10.02100,29.37300,16.71100,24.05900,24.06200,0.42000,0.42000,0.72430,2.62710,26.20680,26.20680,26.20680,15.71530,0.03250,5.12080,3.26810,0.85220,0.90100,21.24890,0.6773,-1.3104
2023-06-30,63.70900,16.45000,47.25900,5.67800,-12.27800,30.07000,17.18900,,17.18900,17.18900,17.18900,,10.36300,29.86500,17.18900,24.04300,24.04400,0.43000,0.43000,0.71570,2.51750,26.98050,26.98050,26.98050,16.26620,0.03340,5.22390,3.34390,0.90150,0.95060,21.37490,1.3544,-0.9819
2023-03-31,63.04900,16.28000,46.76900,5.26800,-11.82100,29.10600,17.66300,,17.66300,17.66300,17.66300,,10.70400,30.23900,17.66300,24.02600,24.02600,0.45000,0.45000,0.70800,2.42510,28.01470,28.01470,28.01470,16.97730,0.03380,5.33890,3.42420,0.94560,0.99970,21.46630,1.50250,-0.29380
2022-12-31,62.33600,16.69600,45.64000,6.40400,-11.77500,30.24900,15.39100,,15.39100,15.39100,15.39100,,9.06400,28.01800,15.39100,33.25600,33.97200,0.38000,0.38000,0.70090,2.34360,24.69040,24.69040,24.69040,14.54060,0.03400,4.56970,2.94960,0.83950,0.88220,21.72730,-0.2677,-0.187
2022-09-30,61.08700,16.07300,45.01400,5.55500,-11.10300,28.85300,16.16100,-0.64800,15.51300,15.51300,15.51300,,9.15200,28.84300,16.16100,23.99700,23.99900,0.38000,0.38000,0.69330,2.26040,26.45570,26.45570,25.39490,14.98190,0.03370,4.51860,2.93630,0.85710,0.90060,22.01140,1.0613,-0.2951
2022-06-30,60.29300,14.79700,45.49600,5.66500,-10.45700,28.49900,16.99700,,16.99700,16.99700,16.99700,,10.21700,29.83800,16.99700,23.96300,23.97900,0.43000,0.43000,0.68740,2.19850,28.19070,28.19070,28.19070,16.94560,0.03380,4.92620,3.20680,0.95360,1.00260,22.09570,1.1,-0.3608
2022-03-31,62.14400,16.95600,45.18800,4.76800,-10.60200,27.69700,17.49100,,17.49100,17.49100,17.49100,,10.56700,30.29500,17.49100,23.88400,23.89800,0.44000,0.44000,0.68240,2.14880,28.14590,28.14590,28.14590,17.00410,0.03540,5.06310,3.29730,0.99630,1.04720,22.18570,1.67260,0.96840
2021-12-31,60.24100,15.08700,45.15400,6.01900,-10.86500,29.30400,15.85000,,15.85000,15.85000,15.85000,,9.44400,28.74300,15.85000,32.02900,33.09800,0.39000,0.39000,0.68320,2.15620,26.31100,26.31100,26.31100,15.67700,0.03450,4.58770,2.98780,0.90740,0.94660,22.25200,-0.1786,-0.2312
2021-09-30,60.25600,15.36400,44.89200,4.62600,-10.91400,28.00700,16.88500,,16.88500,16.88500,16.88500,,10.34000,29.77800,16.88500,23.69200,23.69600,0.44000,0.44000,0.68200,2.14490,28.02210,28.02210,28.02210,17.16010,0.03460,4.89980,3.18820,0.97070,1.01380,22.33310,0.9354,0.4632
2021-06-30,60.00400,14.66200,45.34200,4.92900,-11.65700,29.22300,16.11900,,16.11900,16.11900,16.11900,,9.94700,29.16200,16.11900,23.62400,23.62500,0.42000,0.42000,0.68140,2.13910,26.86320,26.86320,26.86320,16.57720,0.03450,4.67960,3.04450,0.92800,0.96980,22.38890,1.344,0.9829
2021-03-31,58.72400,16.51500,42.20900,4.67800,-11.98800,29.41400,12.79500,,12.79500,12.79500,12.79500,,7.46400,25.94800,12.79500,23.54200,23.54200,0.32000,0.32000,0.69690,2.29950,21.78840,21.78840,21.78840,12.71030,0.03390,4.01270,2.53940,0.73780,0.76960,21.37360,1.47730,0.67370
2020-12-31,58.28400,15.52800,42.75600,5.31800,-12.50800,31.35800,11.39800,,11.39800,11.39800,11.39800,,6.62300,25.33800,11.39800,31.26600,31.26700,0.28000,0.28000,0.72910,2.69200,19.55600,19.55600,19.55600,11.36330,0.03540,4.69960,2.66600,0.69260,0.72210,18.21070,0.0754,0.3505
2020-09-30,56.76000,14.93900,41.82100,4.10700,-12.39800,30.21800,11.60300,,11.60300,11.60300,11.60300,,6.56900,25.71800,11.60300,23.35300,23.35300,0.28000,0.28000,0.73150,2.72410,20.44220,20.44220,20.44220,11.57330,0.03380,4.70490,2.68830,0.69010,0.72180,18.47830,0.6421,0.2391
2020-06-30,53.22000,13.76100,39.45900,4.63200,-12.01900,29.25100,10.20800,,10.20800,10.20800,10.20800,,5.53000,23.19500,10.20800,23.33800,23.33800,0.24000,0.24000,0.72830,2.67990,19.18080,19.18080,19.18080,10.39080,0.03160,4.03020,2.32910,0.60520,0.63290,18.77590,0.6708,-0.0706
2020-03-31,56.94300,14.18900,42.75400,5.05000,-9.59400,25.92500,16.82900,,16.82900,16.82900,16.82900,,10.46600,28.48300,16.82900,23.29500,23.29900,0.45000,0.45000,0.71480,2.50570,29.55410,29.55410,29.55410,18.37980,0.03460,6.43300,3.76820,1.02310,1.07490,19.14550,1.11810,0.19150
2019-12-31,56.58200,14.21100,42.37100,6.09700,-9.64900,26.89400,15.47700,,15.04100,15.04100,15.04100,,6.46400,27.01300,15.47700,30.86900,30.91300,0.28000,0.27000,0.71110,2.46120,27.35320,27.35320,26.58270,11.42410,0.03500,5.82180,3.39250,0.92940,0.98020,19.08470,0.1817,0.3369
2019-09-30,57.05200,14.63900,42.41300,4.74200,-10.32500,27.08500,15.32800,,15.32800,15.32800,15.32800,,9.01600,27.71600,15.32800,23.08100,23.12100,0.39000,0.39000,0.65040,1.86040,26.86670,26.86670,26.86670,15.80310,0.03460,6.00070,2.81020,0.93080,0.98250,23.59570,0.7748,-0.7856
2019-06-30,58.14100,13.93400,44.20700,5.14000,-10.79300,27.45700,16.75000,,16.75000,16.75000,16.75000,,10.27900,28.65000,16.75000,22.93900,22.99400,0.45000,0.45000,0.70540,2.39410,28.80930,28.80930,28.80930,17.67940,0.03710,6.52740,3.83640,1.06740,1.13030,18.97560,1.3921,-0.5667
2019-03-31,59.75000,15.14900,44.60100,4.81400,-11.06700,27.52400,17.07700,,17.07700,17.07700,17.07700,,10.49400,29.10400,17.07700,22.82000,22.86300,0.46000,0.46000,0.70390,2.37750,28.58080,28.58080,28.58080,17.56320,0.03870,6.82180,3.96830,1.10470,1.17490,18.82460,1.38390,0.35940
2018-12-31,58.12000,14.25300,43.86700,5.25100,-11.20200,28.35800,15.50900,-0.00100,15.50800,15.50800,15.50800,,9.31500,27.80000,15.50900,22.38300,22.42500,0.42000,0.41000,0.70620,2.40310,26.68440,26.68440,26.68270,16.02720,0.03800,6.32410,3.64710,1.01530,1.07170,18.70000,1.5929,0.1947
2018-09-30,56.91000,13.84700,43.06300,4.14100,-10.97400,26.37100,16.69200,0.01000,16.70200,16.70200,16.70200,,10.20200,28.32500,16.69200,22.43200,22.50100,0.45000,0.45000,0.70850,2.43020,29.33050,29.33050,29.34810,17.92660,0.03780,7.05320,4.00720,1.10890,1.16820,18.51450,0.9185,-1.7009
2018-06-30,56.08100,13.51000,42.57100,4.64700,-11.16800,27.16600,15.40500,0.49700,15.90200,15.90200,15.90200,,9.59000,27.13300,15.40500,22.26000,22.28800,0.43000,0.43000,0.70410,2.37950,27.46920,27.46920,28.35540,17.10030,0.03880,7.02600,3.91360,1.09940,1.15800,18.23010,1.2484,0.2817
2018-03-31,56.10800,13.96800,42.14000,4.42000,-11.42400,27.19300,14.94700,,14.94700,14.94700,14.94700,,6.85700,26.76600,14.94700,22.17800,22.21800,0.31000,0.31000,0.71020,2.45070,26.63970,26.63970,26.63970,12.22110,0.03930,7.00560,3.79990,1.04590,1.10120,17.71800,1.16060,0.40800
2017-12-31,55.70800,14.01900,41.68900,4.99800,-10.97700,27.27300,14.41600,0.07200,14.48800,14.48800,14.48800,,8.46600,26.06300,14.41600,21.90100,22.00800,0.39000,0.38000,0.70920,2.43860,25.87780,25.87780,26.00700,15.19710,0.03920,6.79860,3.68550,1.01850,1.07180,17.76900,1.3211,0.6891
2017-09-30,56.22800,14.25200,41.97600,4.36300,-11.86400,27.59000,14.38600,-0.00100,14.38500,14.38500,14.38500,,8.39000,26.10000,14.38600,21.94200,22.02800,0.38000,0.38000,0.71260,2.47890,25.58510,25.58510,25.58330,14.92140,0.03950,6.91150,3.70620,1.01040,1.06530,17.65360,0.748,0.5419
2017-06-30,55.89700,13.17300,42.72400,4.51400,-12.09700,28.30200,14.42200,-0.00100,14.42100,14.42100,14.42100,,8.41600,26.46000,14.42200,21.84600,21.92700,0.38000,0.38000,0.71480,2.50650,25.80100,25.80100,25.79920,15.05630,0.03930,7.05320,3.75100,1.01490,1.06970,17.57300,1.1902,0.8699
2017-03-31,58.46600,13.24200,45.22400,4.30100,-12.20700,27.85000,17.37400,,17.37400,17.37400,17.37400,,10.61000,29.06100,17.37400,21.74500,21.89200,0.49000,0.49000,0.71880,2.55630,29.71640,29.71640,29.71640,18.14730,0.04120,8.71700,4.58040,1.22370,1.28800,17.42600,1.44130,-2.54870
2016-12-31,54.15000,13.20100,40.94900,4.99600,-11.65100,27.58900,13.36000,,13.36000,13.36000,13.36000,,8.37100,24.63900,13.36000,21.50500,21.61500,0.39000,0.38000,0.70690,2.41200,24.67220,24.67220,24.67220,15.45890,0.04030,6.91340,3.57940,0.99480,1.04900,17.19720,0.8915,-1.0482
2016-09-30,53.23300,12.88000,40.35300,4.03300,-11.91500,27.63100,12.72200,0.00100,12.72300,12.72300,12.72300,,7.14600,24.68800,12.72200,21.59700,21.77900,0.33000,0.33000,0.70100,2.34400,23.89870,23.89870,23.90060,13.42400,0.04060,6.69590,3.43850,0.97050,1.02830,17.10400,0.7417,-0.0815
2016-06-30,52.71000,12.19700,40.51300,4.40700,-12.03900,27.26300,13.25000,,13.25000,13.25000,13.25000,,7.53300,24.39800,13.25000,21.44300,21.51600,0.35000,0.35000,0.70040,2.33830,25.13760,25.13760,25.13760,14.29140,0.04070,7.10720,3.61600,1.02280,1.08320,17.00920,1.0206,0.4392
2016-03-31,56.92600,13.92900,42.99700,4.06000,-11.52100,26.61600,16.38100,-0.00700,16.37400,16.37400,16.37400,,9.85400,27.74800,16.38100,21.30600,21.33700,0.46000,0.46000,0.70730,2.41660,28.77600,28.77600,28.76370,17.31020,0.04370,9.19770,4.57350,1.25800,1.33860,16.78100,1.46790,0.82080
2015-12-31,52.90200,12.39800,40.50400,4.64100,-10.88600,26.42100,14.08300,-0.00900,14.07400,14.07400,14.07400,,8.15600,25.31000,14.08300,21.12700,21.19600,0.37000,0.37000,0.71010,2.44960,26.62090,26.62090,26.60390,15.41720,0.04080,8.10120,3.97880,1.08650,1.15340,16.63350,1.1396,0.2105
2015-09-30,52.37600,12.24100,40.13500,3.80200,-11.90700,26.89700,13.23800,-0.00600,13.23200,13.23200,13.23200,,7.52200,24.70900,13.23800,21.15800,21.19100,0.36000,0.36000,0.71410,2.49830,25.27490,25.27490,25.26350,14.36150,0.04040,7.87630,3.80230,1.02020,1.08690,16.43200,0.7625,-0.3832
2015-06-30,51.71100,12.07200,39.63900,4.13900,-11.76700,26.71700,12.92200,0.01100,12.93300,12.93300,12.93300,,7.30200,24.12500,12.92200,21.09800,21.14300,0.35000,0.35000,0.71160,2.46770,24.98890,24.98890,25.01020,14.12080,0.04050,7.79940,3.73980,1.01190,1.07850,16.37490,1.1946,0.4891
2015-03-31,52.08800,13.51700,38.57100,3.77100,-11.65200,25.88400,12.68700,-0.00600,12.68100,12.68100,12.68100,,7.11300,23.48900,12.68700,21.01800,21.13700,0.34000,0.34000,0.71320,2.48650,24.35690,24.35690,24.34530,13.65570,0.04100,7.78040,3.69720,0.99800,1.06040,16.28850,1.09730,0.59460
2014-12-31,51.26400,12.16300,39.10100,4.42100,-11.69700,26.78700,12.31400,-0.00400,12.31000,12.31000,12.31000,,5.27400,23.13000,12.31400,20.77200,20.82100,0.26000,0.25000,0.71650,2.52730,24.02080,24.02080,24.01300,10.28790,0.04050,7.72960,3.62850,0.97160,1.02870,16.19600,0.9903,0.0044
2014-09-30,50.59500,11.91000,38.68500,3.83700,-11.75400,26.20600,12.47900,0.00100,12.48000,12.48000,12.48000,,6.90000,23.09000,12.47900,20.83900,20.87800,0.33000,0.33000,0.71390,2.49480,24.66450,24.66450,24.66650,13.63770,0.04020,7.83500,3.67830,0.99160,1.05250,16.25710,1.1067,-1.1887
2014-06-30,52.28600,11.72200,40.56400,4.02300,-11.59300,26.14100,14.42300,-0.00500,14.41800,14.41800,14.41800,6.06900,12.84700,25.01600,14.42300,20.71700,20.74300,0.62000,0.62000,0.70900,2.43620,27.58480,27.58480,27.57530,24.57060,0.04260,9.20370,4.28270,1.17470,1.24640,16.20090,0.9028,0.8417
2014-03-31,52.94700,13.03800,39.90900,4.68000,-12.17300,27.19600,12.71300,-0.00200,12.71100,12.71100,12.71100,,7.08100,23.22300,12.71300,20.62200,20.66300,0.34000,0.34000,0.71770,2.54250,24.01080,24.01080,24.00700,13.37380,0.04400,9.05280,3.96710,1.05520,1.11990,15.51770,1.15790,0.48570
2013-12-31,50.14600,12.07200,38.07400,4.12100,-11.92100,25.86300,12.21100,-0.03700,12.17400,12.17400,12.17400,,6.69000,22.34800,12.21100,20.36400,20.40100,0.33000,0.33000,0.72240,2.60240,24.35090,24.35090,24.27710,13.34100,0.04180,9.00940,3.86320,1.01560,1.07240,15.31450,1.2394,0.9249
2013-09-30,49.75600,11.71600,38.04000,3.50100,-11.98900,26.08100,11.95900,-0.45100,11.50800,11.50800,11.50800,,6.19200,22.76000,11.95900,20.45200,20.48600,0.30000,0.30000,0.72790,2.67470,24.03530,24.03530,23.12890,12.44470,0.04150,8.94880,3.72910,0.95970,1.01480,15.04110,0.6896,0.2679
2013-06-30,48.80900,11.47400,37.33500,3.92500,-13.22700,29.62400,7.71100,0.05100,7.76200,7.76200,7.76200,,3.38700,20.49700,7.71100,20.30100,20.32300,0.17000,0.17000,0.73180,2.72840,15.79830,15.79830,15.90280,6.93930,0.04100,6.31950,2.56320,0.65140,0.68750,14.87870,0.8981,0.5892
2013-03-31,49.18600,11.71200,37.47400,3.40400,-14.33000,34.08600,3.38800,0.01000,3.39800,3.39800,3.39800,,-4.60800,20.05100,3.38800,20.14600,20.17900,-0.23000,-0.23000,0.73440,2.76550,6.88810,6.88810,6.90850,-9.36850,0.04120,2.84600,1.13500,0.28450,0.30140,14.82160,0.77700,0.52610
2012-12-31,48.28600,11.69000,36.59600,3.97100,-13.12100,28.58900,8.00700,-1.01900,6.98800,6.98800,6.98800,4.46900,5.69800,18.77500,8.00700,19.64900,19.70000,0.29000,0.29000,0.72930,2.69380,16.58250,16.58240,14.47210,11.80050,0.04000,5.46100,2.27410,0.57880,0.61560,15.32920,1.0009,-0.9026
2012-09-30,47.44500,11.41200,36.03300,3.27200,-14.36000,27.86900,8.16400,1.29300,9.45700,9.45700,9.45700,-0.05300,4.16300,18.71200,8.16400,19.72100,19.78400,0.21000,0.21000,0.73470,2.76990,17.20730,17.20730,19.93260,8.77440,0.03950,7.90790,3.16370,0.78780,0.83920,15.11980,0.5285,0.3245
2012-06-30,47.37200,11.44400,35.92800,3.78400,-12.79500,26.32800,9.60000,-0.01600,9.58400,9.58400,9.58400,0.01100,4.29400,19.86500,9.60000,19.55900,19.60200,0.22000,0.22000,0.73730,2.80720,20.26510,20.26510,20.23140,9.06440,0.03940,8.16050,3.22940,0.79800,0.84820,15.12990,1.4365,1.266
2012-03-31,46.98900,11.57300,35.41600,3.24700,-13.08600,26.09100,9.32500,-0.00300,9.32200,9.32200,9.32200,0.00200,4.07900,19.50900,9.32500,19.40300,19.44900,0.21000,0.21000,0.73560,2.78180,19.84510,19.84510,19.83870,8.68080,0.03960,8.01770,3.15360,0.78640,0.83390,15.19150,1.01500,0.81450
2011-12-31,46.48800,10.98000,35.50800,3.85400,-12.86200,29.24000,6.26800,2.60200,8.87000,8.87000,8.87000,,3.73700,16.76100,6.26800,18.88900,18.94900,0.19000,0.19000,0.73940,2.83720,13.48310,13.48310,19.08020,8.03860,0.03900,7.78900,3.02520,0.74380,0.78840,15.19830,0.8182,0.5801
2011-09-30,42.87800,10.57200,32.30600,3.29300,-11.84500,23.65000,8.65600,-2.65600,6.00000,6.00000,6.00000,,1.71900,17.55400,8.65600,18.89300,18.93700,0.09000,0.09000,0.74070,2.85680,20.18750,20.18750,13.99320,4.00900,0.03580,5.32780,2.05520,0.50150,0.53290,15.26740,0.6939,-8.4217
2011-06-30,42.77900,10.48300,32.29600,3.94300,-11.68800,24.10300,8.19300,-1.04600,7.14700,7.14700,7.14700,,2.61300,17.05300,8.19300,18.77000,18.83900,0.14000,0.14000,0.75190,3.03080,19.15190,19.15190,16.70680,6.10810,0.04150,11.44010,2.95570,0.69260,0.73330,12.85700,0.7862,0.2391
2011-03-31,41.73300,11.11500,30.61800,3.16600,-10.80900,22.29900,8.31900,0.01300,8.33200,8.33200,8.33200,,3.52400,17.01500,8.31900,18.65900,18.75400,0.19000,0.19000,0.75400,3.06510,19.93390,19.93390,19.96500,8.44420,0.04000,13.30990,3.44400,0.79860,0.84720,12.94290,0.63950,-0.14650
2010-12-31,39.85700,9.43600,30.42100,4.01300,-9.17500,20.20300,10.21800,-1.16000,9.05800,9.05800,9.05800,-0.18800,3.92100,17.71000,10.21800,18.26700,18.37700,0.22000,0.22000,0.74790,2.96640,25.63670,25.63670,22.72630,9.83770,0.03930,14.97560,3.77710,0.89340,0.95230,12.92310,1.0723,-1.2184
