Date,revenue,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,,,37.72400,20.39000,-0.26400,-58.37800,2.12400,-56.25400,,-56.25400,-56.25400,-56.25400,-58.35800,-58.37800,726.65600,726.65600,-0.08000,-0.08000,8.30870,,,,,,,,,,,-12.84570,-12.90440,-11.18700,-12.84570,0.59410,-0.0394,-0.0395
2024-06-30,,,45.80500,13.97100,0.15900,-59.61700,-0.76800,-60.38500,,-60.38500,-60.38500,-60.38500,-59.59700,-59.61700,707.90500,707.90500,-0.09000,-0.09000,2.34570,,,,,,,,,,,-30.95470,-31.25600,-17.66390,-30.95480,0.26930,-0.0463,-0.0464
2024-03-31,,,30.87300,11.72900,0.21300,-42.38900,-1.08400,-43.47300,,-43.47300,-43.47300,-43.47300,-42.36200,-42.38900,701.78500,701.78500,-0.06000,-0.06000,6.96580,0.69340,2.26190,,,,,,,,,-98.33280,-102.68810,-24.59140,-30.14560,0.06300,-0.04290,-0.04290
2023-12-31,,,24.81400,11.57500,0.17900,-36.21000,-0.35700,-36.56700,,-36.56700,-36.56700,-36.56700,-34.32800,-36.21000,619.64600,619.64600,0.49000,0.49000,9.29730,0.56280,1.28710,,,,,,,,,-47.06670,-48.24210,-18.01780,-20.57890,0.11070,-0.0418,-0.0417
2023-09-30,,,15.32300,5.43400,0.26500,-20.49200,-0.77600,-21.26800,,-21.26800,-21.26800,-21.26800,-20.46000,-20.49200,697.73900,697.73900,-0.03000,-0.03000,1.80190,,,,,,,,,,,-21.40090,-21.79880,-9.73470,-21.40090,0.14240,-0.0213,-0.0214
2023-06-30,,,9.45100,6.31600,-0.02700,-15.79400,1.07700,-14.71700,,-14.71700,-14.71700,-14.71700,-15.74800,-15.79400,697.68500,697.68500,-0.02000,-0.02000,19.06810,0.45540,0.83610,,,,,,,,,-12.30530,-12.50210,-6.20000,-6.70180,0.17140,-0.0261,-0.0257
2023-03-31,,,530.79800,6.94000,0.58400,-537.15400,-5.22200,-542.37600,,-542.37600,-542.37600,-542.37600,-537.06400,-537.15400,378.16400,378.16400,-1.43000,-1.43000,14.21930,0.42830,0.74920,,,,,,,,,-406.32900,-412.00520,-212.78240,-232.29890,0.19130,-0.03470,-0.03490
2022-12-31,0.00000,0.00000,5.38600,7.57800,-7.33500,-20.29900,1.07000,-19.22900,,-19.22900,-19.22900,-19.22900,-19.70300,-20.29900,193.33600,193.33600,-0.04000,-0.04000,16.93340,0.79610,3.90470,,,,,,0.00000,0.00000,,-15.18230,-15.40090,-2.89520,-3.09550,0.60000,0.0088,0.0086
2022-09-30,0.22000,0.22000,17.04900,5.57300,5.46200,-16.94000,-4.44500,-21.38500,,-21.38500,-21.38500,-21.38500,-16.22800,-16.94000,208.90900,208.90900,-0.10000,-0.10000,8.21960,,,100.00000,-7700.00000,-7700.00000,-9720.45400,-9720.45400,0.00140,0.01490,6021.81800,-16.04900,-17.29600,-13.76770,-16.04900,0.66190,0.0489,0.0505
2022-06-30,0.23500,0.23500,9.00800,6.93300,3.01400,-12.69200,-4.07900,-16.77100,,-16.77100,-16.77100,-16.77100,-12.10100,-12.69200,140.11500,140.11500,-0.12000,-0.12000,5.23280,0.33030,0.49320,100.00000,-5400.85100,-5400.85100,-7136.59600,-7136.59600,0.00250,0.01190,7568.80900,-32.68120,-41.29670,-17.52130,-21.88600,0.52300,-0.1371,-0.1391
2022-03-31,0.25000,0.25000,20.55600,6.65900,4.80700,-22.15800,0.76100,-21.39700,,-21.39700,-21.39700,-21.39700,-21.54300,-22.15800,140.04040,140.04040,-0.15000,-0.15000,4.37580,,,100.00000,-8863.20000,-8863.20000,-8558.80000,-8558.80000,0.00210,0.01220,7383.60000,-33.22160,-40.68800,-18.37090,-33.22160,0.65640,-0.13570,-0.13830
2021-12-31,0.25100,0.25100,23.10700,7.78000,4.58900,-26.04700,-1.05200,-27.09900,,-27.09900,-27.09900,-27.09900,-25.37600,-26.04700,131.71400,131.71400,0.01000,0.01000,3.79780,,,100.00000,-10377.29000,-10377.29000,-10796.41000,-10796.41000,0.00220,0.01030,8720.31900,-32.53810,-38.23440,-23.90230,-32.53810,0.84950,0.0896,0.0891
2021-09-30,1.30900,1.30900,19.94300,5.66200,4.81000,-19.48600,-0.11300,-19.59900,,-19.59900,-19.59900,-19.59900,-18.85400,-19.48600,98.97390,98.97390,-0.20000,-0.20000,4.48510,,,100.00000,-1488.61700,-1488.61700,-1497.25000,-1497.25000,0.01020,0.06300,1428.10500,-19.15870,-21.85220,-15.23160,-19.15870,1.04780,-0.2079,-0.2077
2021-06-30,0.05700,0.05700,23.92300,5.98400,6.12000,-23.73000,-0.68600,-24.41600,,-24.41600,-24.41600,-24.41600,-23.06500,-23.73000,92.06600,92.06600,-0.27000,-0.27000,5.55020,,,100.00000,-41631.59000,-41631.59000,-42835.09000,-42835.09000,0.00040,0.00330,27052.10000,-20.44430,-22.98860,-16.77880,-20.44430,1.22680,-0.1832,-0.1848
2021-03-31,0.19200,0.19200,18.37900,4.18500,5.44900,-16.92300,-0.56500,-17.48800,,-17.48800,-17.48800,-17.48800,-16.43600,-16.92300,82.81800,82.81800,-0.21000,-0.21000,1.71410,,,100.00000,-8814.06300,-8814.06300,-9108.33400,-9108.33400,0.00140,0.00870,10330.31000,-27.15320,-34.29090,-12.42100,-27.15320,0.77670,-0.24960,-0.25000
2020-12-31,0.18500,0.18500,13.06400,3.04000,4.36300,-11.55600,-2.00600,-13.56200,-0.02100,-13.54100,-13.54100,-13.54100,-10.89900,-11.55600,69.52400,69.52400,-0.18000,-0.18000,4.40790,,,100.00000,-6246.48200,-6246.48200,-7330.81000,-7319.45900,0.00180,0.00940,9600.32400,-17.04280,-20.54530,-13.21100,-17.04280,0.96220,-0.095,-0.0955
2020-09-30,0.18100,0.18100,13.72600,6.84600,3.45000,-16.94100,-0.85800,-17.79900,-0.05600,-17.74300,-17.74300,-17.74300,-16.47900,-16.94100,67.23190,67.23190,-0.26000,-0.26000,2.85420,,,100.00000,-9359.66900,-9359.66900,-9833.70200,-9802.76300,0.00320,0.00950,9517.12700,-48.13490,-75.74390,-31.20200,-48.13490,0.54830,-0.2476,-0.2508
2020-06-30,0.17000,0.17000,13.57200,5.77400,3.82000,-15.35600,-0.11400,-15.47000,-0.19100,-15.27900,-15.27900,-15.27900,-14.92200,-15.35600,67.23190,67.23190,-0.23000,-0.23000,,,,100.00000,-9032.94100,-9032.94100,-9100.00000,-8987.64700,,,,,,,,,-0.2756,-0.2776
2020-03-31,0.32400,0.32400,12.91200,3.57200,6.82000,-9.34000,3.26100,-6.07900,0.05500,-6.13400,-6.13400,-6.13400,-8.89000,-9.34000,67.21800,67.21800,-0.09000,-0.09000,4.80140,,,100.00000,-2882.71600,-2882.71600,-1876.23500,-1893.21000,0.00350,0.01730,5217.22900,-8.78020,-11.17410,-6.66970,-8.78020,,-0.07380,-0.07420
2019-12-31,0.10420,0.10420,8.36430,1.02240,6.59110,-3.84820,-1.38910,-5.23370,3.38340,-8.78060,-8.78060,-8.61700,-3.68040,-5.46530,32.82900,32.82900,-0.22400,-0.22400,5.78400,,,111.24230,-3692.06100,-5243.60500,-5021.33900,-8267.44100,0.00110,0.00720,12423.02000,-11.13390,-13.76650,-9.12280,-11.13390,1.17390,-0.1225,-0.1237
2019-10-31,0.15360,0.15360,8.95050,5.41070,4.67350,-9.53410,-0.07680,-9.61090,-0.90080,-8.71020,-8.71020,-8.71020,-8.23320,-9.53410,32.09900,32.09900,-0.27000,-0.27000,3.26380,,,100.00000,-6205.64500,-6205.64500,-6255.64600,-5669.35500,0.00320,0.00980,9156.77400,-26.17080,-46.98260,-17.86580,-26.17080,1.03690,-0.078,-0.0753
2019-09-30,0.14800,0.14800,9.95100,2.68300,6.29600,-6.19000,-0.07500,-6.26500,0.11100,-6.37600,-6.37600,-6.37600,-5.30540,-6.19000,32.09900,32.09900,-0.20000,-0.20000,,,,100.00000,-4182.43300,-4182.43300,-4233.10800,-4308.10800,,,,,,,,,-0.1582,-0.1612
2019-07-31,0.15970,0.15970,11.68220,1.52620,5.24150,-7.80710,-0.07860,-7.88570,-1.34620,-6.53950,-6.53950,-6.53950,-6.92260,-7.80710,32.09900,32.09900,-0.20000,-0.20000,3.46730,,,100.00000,-4888.09500,-4888.09500,-4937.30200,-4094.44400,0.00260,0.00890,10062.86000,-15.30630,-23.88320,-10.65400,-15.30630,1.33100,-0.3304,-0.335
2019-04-30,0.32540,0.32540,10.81200,2.16290,6.36590,-6.28360,-0.07710,-6.36070,-1.10040,-5.26030,-5.26030,-5.26030,-7.12710,-6.28360,32.07960,32.07960,-0.19600,-0.19600,3.93070,,,100.00000,-1930.92400,-1930.92400,-1954.61800,-1616.46600,0.00460,0.02120,4241.56600,-10.41560,-15.22720,-7.50210,-10.41560,1.57340,2.1201,2.1292
2019-01-31,56.42530,56.42530,20.52740,6.11750,3.82650,32.45000,-1.92170,30.53200,0.03590,30.33250,30.33250,30.49610,32.61780,30.83290,17.14000,17.22900,1.26300,1.26300,,,,100.02080,57.50980,54.64380,54.11050,54.04680,,,,,,,,,-2.06330,-2.07250
2018-10-31,0.87570,0.87570,10.63350,6.04330,3.66520,-12.13590,-0.06360,-12.19950,-1.65420,-10.54530,-10.54530,-10.54530,-11.02660,-12.13590,16.42900,16.42900,-0.64900,-0.64900,2.55590,,,100.00000,-1385.77800,-1385.77800,-1393.03700,-1204.14800,0.01510,0.03650,2468.53300,-28.99340,-52.79980,-18.13150,-28.99340,2.21060,-0.318,-0.3185
2018-07-31,50.51070,50.51070,12.60040,3.60220,3.59160,37.89970,-1.78450,36.11520,0.65340,35.46180,35.46180,35.46180,38.26880,37.89970,16.40160,16.53140,2.12910,2.12920,3.65520,,,100.00000,75.03290,75.03290,71.50010,70.20650,0.81150,2.35810,38.16670,80.62260,131.88010,56.97270,80.62260,2.68200,-0.8169,-0.8187
2018-04-30,5.32700,5.32700,15.47500,3.67000,4.75100,-9.06700,-0.25800,-9.32500,-1.30100,-8.02400,-8.02400,-8.02400,-9.78430,-9.06700,15.31400,15.31400,-0.55000,-0.55000,1.83070,,,100.00000,-170.20840,-170.20840,-175.05160,-150.62890,0.06080,0.21240,423.71130,-101.05790,51.70110,-9.15460,-101.05790,0.48420,0.8286,0.8622
2018-01-31,-23.63320,-23.63320,-1.00730,2.30000,-8.46140,-33.38720,4.62030,-28.76690,-2.59410,-26.17280,-26.17280,-26.17280,-33.82830,-33.38720,13.08680,13.08680,-1.63010,-1.63020,1.89450,,,100.00000,141.27280,141.27280,121.72250,110.74620,-0.33650,-1.15020,-78.24530,-203.65860,272.21580,-37.26940,-203.65860,0.87360,-1.46070,-1.49650
2017-10-31,2.29400,2.29400,9.86100,2.63100,2.09000,-8.10800,3.79900,-4.30900,-1.95700,-2.35200,-2.35200,-2.35200,-7.97600,-8.10800,13.19900,13.19900,-0.20000,-0.20000,4.06520,,,100.00000,-353.44380,-353.44380,-187.83780,-102.52830,0.03550,0.14150,635.84580,-10.99580,-14.73960,-3.63840,-10.99580,1.51420,-1.0527,-1.0565
2017-07-31,25.00900,25.00900,8.72000,3.28400,,13.00500,-0.28800,12.71700,-1.69300,14.41000,14.41000,14.41000,13.05400,13.00500,12.38300,12.95900,1.15000,1.10000,3.50250,,,100.00000,52.00130,52.00130,50.84970,57.61930,0.46050,2.30770,38.99920,312.03960,-1838.01000,26.53240,312.03980,0.37280,0.9889,0.9817
2017-04-30,2.23600,2.23600,6.51500,3.14900,,-7.42800,-0.28800,-7.71600,-1.55600,-6.16000,-6.16000,-6.16000,-7.52700,-7.42800,12.37700,12.37700,-0.50000,-0.50000,2.58480,,,100.00000,-332.20030,-332.20030,-345.08050,-275.49190,0.05590,0.24780,363.17970,59.66680,39.42910,-15.40660,59.66680,-0.83380,-2.1509,-2.1713
2017-01-31,-26.45650,-26.45650,0.25990,2.00980,-1.99370,-30.71980,-4.36560,-35.08540,-0.59510,-34.49030,-34.49030,-34.49030,-30.72420,-30.71980,12.30980,12.30980,-2.77200,-2.72200,3.05960,,,100.00000,116.11460,116.11460,132.61550,130.36600,-0.52610,-3.74870,-24.00800,738.02940,338.00180,-68.58600,738.03030,-0.37780,1.31960,1.31080
2016-10-31,0.70300,0.70300,4.83000,2.32700,,-6.45400,-0.49900,-6.95300,-1.15400,-5.79900,-5.79900,-5.79900,-6.39900,-6.45400,12.31400,12.25800,-0.45000,-0.45000,3.84330,,,100.00000,-918.06540,-918.06540,-989.04690,-824.89330,0.01340,0.14140,636.52910,-436.01500,155.80340,-11.05500,-436.01500,0.10820,2.806,2.8046
2016-07-31,,,7.16300,2.53400,0.02200,-9.67500,0.00300,-9.67200,-1.42800,-8.24400,-8.24400,-8.24400,-9.65600,-9.67500,12.29480,12.29480,-0.65000,-0.65000,3.14060,,,,,,,,,,,-58.78500,-96.63580,-42.46640,-58.78490,1.14040,-0.2298,-0.2319
2016-04-30,,,7.04800,2.10000,0.08700,-9.06100,0.00500,-9.05600,-1.37200,-7.68400,-7.68400,-7.68400,-9.09700,-9.06100,11.82150,11.82150,-0.65000,-0.65000,5.10990,,,,,,,,,,,-32.08350,-42.97540,-25.93490,-32.08350,1.94870,1.4233,1.4309
2016-01-31,,,6.62390,0.30330,2.10030,-4.82700,0.53670,-4.99330,-0.70210,-4.29120,-4.29120,-4.29120,-4.79190,-5.53000,11.82050,11.82050,-0.45780,-0.45780,6.50530,,,,,,,,,,,-13.33620,-16.58230,-11.23920,-13.33620,2.62500,-2.21320,-2.22170
2015-10-31,,,6.95300,2.00900,0.57600,-8.38600,0.01200,-8.37400,-1.17500,-7.19900,-7.19900,-7.19900,-8.33300,-8.38600,12.00000,12.00000,-0.60000,-0.60000,8.80600,,,,,,,,,,,-17.98720,-21.40780,-15.83170,-17.98720,3.26450,-0.4892,-0.4935
2015-07-31,,,6.60400,1.56700,0.66800,-7.50300,0.01400,-7.48900,-1.18300,-6.30600,-6.30600,-6.30600,-7.48500,-7.50300,11.46000,11.46000,-0.55000,-0.55000,10.79730,,,,,,,,,,,-13.34910,-15.46990,-12.00370,-13.34910,3.85310,-0.4324,-0.4334
2015-04-30,,,4.80200,1.64800,0.62500,-5.82500,0.01100,-5.81400,-0.65500,-5.15900,-5.15900,-5.15900,-5.86100,-5.82500,11.46000,11.46000,-0.45000,-0.45000,11.99290,,,,,,,,,,,-9.93640,-11.32150,-9.02440,-9.93640,4.25570,-0.5169,-0.5192
2015-03-31,,,,1.02300,,-1.02300,0.01100,-1.01200,,-1.01200,-5.15900,-5.15900,-0.97000,-1.02300,,,,0.00000,,,,,,,,,,,,,-111.13740,-41.26540,,,0.00000,
2015-01-31,,,-1.30850,3.03270,1.64680,-6.45440,0.04750,0.95510,0.89010,-6.12200,-1.97500,0.06500,-6.43540,0.90860,7.92000,7.92000,-0.77500,-0.77500,4.03450,,,,,,,,,,,-8.06230,-11.15260,-6.22090,-8.06230,2.97860,-2.34050,-2.34770
2014-12-31,,,,1.38580,,-1.38580,0.04650,0.95510,0.89010,0.06500,0.06500,-1.97500,-1.38580,-1.38580,,,,0.00000,4.03450,,,,,,,,,,,0.26550,0.36690,0.20470,0.26530,,0,0
