Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-03-31,,,,0.00600,0.16900,,-0.17500,0.66000,0.48500,0.48500,0.48500,,0.48500,-0.17500,-0.17500,5.44910,5.44940,0.10000,0.10000,11.42600,,,,,,,,,,17.92980,20.86020,16.56420,17.92980,0.49640,0.00000,
2023-12-31,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,0,0
2023-09-30,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,,
2023-03-31,,,,0.01300,0.23800,,-0.25100,-0.66800,-0.91900,-0.91900,-0.91900,,-0.91900,-0.25100,-0.25100,5.44900,5.44900,0.00000,0.00000,12.20750,,,,,,,,,,-29.82790,-34.02440,-27.66410,-29.82800,0.56540,0.00000,
2022-06-30,,,,0.01500,0.18700,,-0.20200,-0.08300,-0.28500,-0.28500,-0.28500,,-0.28500,-0.20200,-0.20200,5.44900,5.44900,-0.05200,-0.05200,31.25580,,,,,,,,,,-5.12310,-5.49870,-4.95050,-5.12310,1.02090,-0.1138,-0.1138
2022-03-31,,,,0.00600,0.24300,,-0.24900,0.75500,0.50600,0.50600,0.50600,,0.50600,-0.24900,-0.24900,5.44900,5.44900,0.10000,0.00000,24.00000,,,,,,,,,,,8.65850,7.64240,8.65850,,0.00000,
2021-06-30,,,,0.00600,0.29700,,-0.30300,-0.84700,-1.15000,-1.15000,-1.15000,,-1.15000,-0.30300,-0.30300,5.27800,5.27800,-0.21800,-0.21800,25.46900,,,,,,,,,,-35.03970,-39.62790,-16.53960,-35.03960,0.62140,-0.1358,-0.1358
2021-03-31,,,,0.01200,0.22000,,-0.23200,0.51800,0.28600,0.28600,0.28600,,0.28600,-0.23200,-0.23200,5.27200,5.27200,0.05400,0.05400,27.60560,,,,,,,,,,,6.54910,3.91190,6.54910,,0.00000,
2020-06-30,,,,0.01100,0.20600,,-0.21700,-0.88800,-1.10500,-1.10500,-1.10500,,-1.10500,-0.21700,-0.21700,5.14200,5.14200,-0.21500,-0.21500,,,,,,,,,,,,,,,,-0.0877,-0.0877
2020-03-31,,,,0.00300,0.25400,,-0.25700,0.43000,0.17300,0.17300,0.17300,,0.17300,-0.25700,-0.25700,5.14200,5.14200,0.00000,0.00000,28.22540,,,,,,,,,,,2.46260,2.38000,2.46260,,0.00000,
2019-03-31,,,,0.00900,0.19000,,-0.19900,4.07300,3.87400,3.87400,3.87400,,3.87400,-0.19900,-0.19900,5.14210,5.14210,0.80000,0.80000,51.06780,,,,,,,,,,,31.75930,31.15650,31.75930,,0.00000,
2018-03-31,,,,0.01100,0.18700,,-0.19800,1.07300,0.87500,0.87500,0.87500,,0.87500,-0.19800,-0.19800,5.14210,5.14210,0.20000,0.20000,26.07330,,,,,,,,,,,14.11970,13.61020,14.11970,,0.00000,
2017-03-31,,,,0.02300,0.30400,,-0.32700,-0.65000,-0.97700,-0.97700,-0.97700,,-0.97700,-0.32700,-0.32700,3.34200,3.34200,-0.30000,-0.30000,,,,,,,,,,,,-27.89830,-12.53210,-27.89830,,0.00000,
2016-12-31,,,,0.05300,0.29200,,-1.19300,-0.01200,-1.20500,-1.20500,-1.20500,,-1.21200,-1.19300,-1.19300,2.74000,2.74000,-0.56000,-0.56000,8.34550,,,,,,,,,,-44.84580,-49.50700,-39.94030,-44.84560,0.98070,-0.6321,-0.6328
2016-09-30,,,,0.03500,0.26500,,-0.30000,0.01400,-0.28600,-0.28600,-0.28600,,-0.27900,-0.30000,-0.30000,2.79000,2.79000,-0.10000,-0.10000,,,,,,,,,,,,-7.47710,-7.05130,-7.47710,,0.4885,0.4885
2016-06-30,,,,0.12200,0.34400,,-0.46600,-0.01100,-0.47700,-0.47700,-0.47700,,-0.47700,-0.46600,-0.46600,2.38500,2.38500,-0.20000,-0.20000,12.46900,,,,,,,,,,-11.69410,-16.01750,-10.99840,-11.69400,,-0.4885,-0.4885
2016-03-31,,,,0.23300,0.36900,,-0.60200,0.02500,-0.57700,-0.57700,-0.57700,,-0.57700,-0.60200,-0.60200,13.68200,13.68200,-0.04000,-0.04000,,,,,,,,,,,,-13.15550,-12.12690,-13.15550,,0.00000,
2015-12-31,,,,0.34000,0.42000,,-2.36000,-0.01100,-2.38000,-2.38000,-2.13600,-0.22900,-2.36500,-0.75000,-2.36000,2.62760,2.62760,-0.90000,-0.90000,9.78210,,,,,,,,,,-43.70780,-55.48050,-40.12780,-43.70780,0.35720,-0.0939,-0.0937
2015-09-30,,,,0.13400,0.26200,,-0.39600,-0.04700,-0.44300,-0.44300,-0.44300,,-0.44300,-0.40000,-0.39600,2.21500,2.21500,-0.20000,-0.20000,18.50000,,,,,,,,,,-6.14420,-9.67250,-5.92250,-6.13570,,-0.3974,-0.3978
2015-06-30,,,,0.06900,0.41200,,-0.48100,0.05400,-0.42700,-0.42700,-0.42700,,-0.42700,-0.47700,-0.48100,4.27000,4.27000,-0.10000,-0.10000,22.61910,,,,,,,,,,-5.59630,-8.45880,-5.43190,-5.59630,,-0.2166,-0.2171
2015-03-31,,,,0.04200,0.33400,,-0.37600,-0.01100,-0.38700,-0.38700,-0.38700,-0.68900,-1.07800,-0.37600,-0.37600,2.33560,2.33560,-0.50000,-0.50000,,,,,,,,,,,,-8.34590,-7.71990,-8.34590,,0.00000,
2014-12-31,,-0.38000,0.38000,0.14000,-0.79600,-0.65600,1.03600,0.09900,-0.08900,-0.08900,-0.78800,-0.12600,-0.91400,1.08900,1.03600,2.32820,2.32820,-0.40000,-0.40000,3.21350,,,,,,,,,,-16.88090,-35.99820,-13.96170,-16.84120,2.04810,-0.3589,-0.3584
2014-09-30,0.28700,0.12000,0.16700,0.04000,0.61000,0.65000,-0.48300,-0.06800,-0.56000,-0.56000,-0.51000,0.00000,-0.51000,-0.48300,-0.48300,2.55000,2.55000,-0.20000,-0.20000,3.29660,55.74910,-168.29270,-168.29270,-195.12190,-177.70030,0.04300,0.54550,0.38270,235.19160,-9.30660,-18.81920,-7.63470,-9.32360,,-0.6731,-0.677
