Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2023-09-30,95.52600,26.45400,69.07200,2.59500,,24.53400,44.53800,-27.50000,17.03800,17.03800,17.03800,,16.33100,66.81800,44.53800,19.45900,19.45900,0.84000,0.84000,0.99400,0.69410,2.39380,72.30700,46.62400,46.62400,17.83600,17.09590,0.03900,4.64840,48.02720,1.87390,,2.56410,0.69540,0.78440,,2.0402,1.3623
2023-06-30,88.53500,27.40400,61.13100,2.33200,-7.95600,31.16300,29.96800,-22.55600,7.41200,7.41200,7.41200,,7.10400,51.39700,29.96800,19.55100,19.55100,0.36000,0.36000,0.85200,0.70260,2.49380,69.04730,33.84880,33.84880,8.37180,8.02390,0.03610,5.18130,25.04530,3.59350,,1.14140,0.30220,0.33940,,2.7246,-3.596
2023-03-31,81.01600,23.18400,57.83200,2.78300,,21.96100,35.87100,-25.84300,10.02800,10.02800,10.02800,,9.61600,57.34200,35.87100,19.72800,19.72800,0.49000,0.49000,0.85550,0.69450,2.39940,71.38340,44.27640,44.27640,12.37780,11.86930,0.03460,3.60950,28.56700,3.15050,,1.55990,0.42890,0.47650,,1.95670,-15.03560
2022-12-31,79.89700,21.12000,58.77700,4.01600,,21.01000,37.76700,-16.64100,21.12600,21.12600,21.12600,,20.22500,58.31500,37.76700,19.32500,19.32500,1.03000,1.03000,1.40260,0.65570,2.01920,73.56600,47.26960,47.26960,26.44160,25.31380,0.04000,3.09810,38.01000,2.36780,,3.30910,1.05800,1.13930,,1.7554,-4.2356
2022-09-30,71.85800,21.41900,50.43900,2.77100,47.27500,-28.25800,78.69700,-19.96900,58.72800,58.72800,58.72800,,55.55700,99.15600,78.69700,19.16200,19.16200,2.90000,2.90000,1.35490,0.64450,1.92460,70.19260,109.51740,109.51740,81.72790,77.31500,0.03820,4.12780,22.08980,4.07430,,9.56880,3.11960,3.40170,,2.4653,9.0257
2022-06-30,73.96000,20.89100,53.06900,2.34500,,20.00600,33.06300,-12.64500,20.41800,20.41800,20.41800,,19.32300,54.20300,33.06300,19.25900,19.25900,1.00000,1.00000,0.78940,0.66710,2.16940,71.75370,44.70390,44.70390,27.60680,26.12630,0.03950,3.80810,20.05420,4.48780,,3.62540,1.08920,1.20700,,2.2122,2.199
2022-03-31,73.35600,20.26600,53.09000,1.54900,,19.92000,33.17000,-8.02100,25.14900,25.14900,25.14900,,24.49700,55.07100,33.17000,19.37400,19.37400,1.26000,1.26000,0.42110,0.68450,2.34910,72.37310,45.21780,45.21780,34.28350,33.39470,0.03900,3.53070,24.07480,3.73830,,4.60280,1.33760,1.45210,,2.49690,2.45250
2021-12-31,63.57400,18.15600,45.41800,2.74700,21.42800,-3.84700,49.26500,-9.24400,40.02100,40.02100,40.02100,,38.28700,67.76100,49.26500,18.34200,18.34200,2.06000,2.06000,0.28810,0.69740,2.49110,71.44110,77.49240,77.49240,62.95180,60.22430,0.03370,3.62470,10.55170,8.52940,7.61630,7.61630,2.12290,2.30460,27.09280,1.9442,-7.4061
2021-09-30,43.12500,14.33800,28.78700,2.55500,,13.50900,15.27800,-3.40300,11.87500,11.87500,11.87500,,11.40200,28.22900,15.27800,18.20100,18.20100,0.62000,0.62000,0.99940,0.52300,1.23360,66.75250,35.42730,35.42730,27.53620,26.43940,0.03670,4.14990,13.22040,6.80770,,2.43870,1.01140,1.16330,,1.7825,3.6035
2021-06-30,39.82300,13.87000,25.95300,1.70900,25.38400,-13.60800,39.56100,-4.15800,35.40300,35.40300,35.40300,,33.96800,52.17000,39.56100,17.99600,17.99600,1.89000,1.89000,1.88380,0.36420,0.64190,65.17090,99.34210,99.34210,88.90090,85.29740,0.04750,4.11820,11.37480,7.91230,,7.66750,4.22270,4.87490,,0.95,0.9144
2021-03-31,38.14300,11.45600,26.68700,1.65100,,12.73100,13.95600,-3.07700,10.87900,10.87900,10.87900,,10.67800,27.24400,13.95600,18.17900,18.17900,0.57000,0.57000,0.97000,0.45680,0.93170,69.96570,36.58860,36.58860,28.52160,27.99470,0.04390,3.50230,12.02110,7.48680,,2.52900,1.25110,1.37370,,1.38390,-0.59570
2020-12-31,35.08500,12.16100,22.92400,1.75300,,12.43100,10.49300,-3.22500,7.26800,7.26800,7.26800,,7.69200,23.81300,10.49300,18.19400,18.19400,0.38000,0.38000,0.93790,0.44510,0.88690,65.33850,29.90740,29.90740,20.71540,21.92390,0.04270,3.44700,12.28900,7.32360,1.72200,1.72200,0.88400,0.95560,22.66430,0.9093,0.9823
2020-09-30,35.52300,11.37800,24.14500,1.83500,,12.46000,11.68500,-3.91600,7.76900,7.76900,7.76900,,7.62700,24.95800,11.68500,18.19410,18.19410,0.41000,0.41000,0.81640,0.45500,0.92090,67.97010,32.89420,32.89420,21.87030,21.47060,0.04300,3.98670,11.78990,7.63360,,1.86670,0.94140,1.01730,,0.9988,0.3609
2020-06-30,36.57000,10.36400,26.20600,1.81800,,12.28900,13.91700,-5.26100,8.65600,8.65600,8.65600,,8.49700,29.73200,13.91700,18.19400,18.19400,0.46000,0.46000,0.72680,0.46520,0.95710,71.65980,38.05580,38.05580,23.66970,23.23490,0.04330,4.37670,11.78920,7.63410,,2.11220,1.02610,1.12960,,0.8002,0.6124
2020-03-31,33.68700,11.11900,22.56800,1.78900,,11.42000,11.14800,-4.47400,6.67400,6.67400,6.67400,,6.55100,24.88800,11.14800,18.19400,18.19400,0.35000,0.35000,0.27840,0.44690,0.89850,66.99320,33.09290,33.09290,19.81180,19.44670,0.04090,5.57900,14.84660,6.06200,,1.63870,0.81060,0.90640,,1.72620,-7.70280
