Date,revenue,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2023-09-30,,,17.51900,6.84200,-31.00100,1.42300,-29.57800,0.00000,-29.57800,-32.95400,-32.95400,-31.62500,-31.00100,57.85310,57.85310,-0.57000,-0.57000,4.21620,,,,,,,-37.35820,-37.35820,-23.52800,-37.35820,1.52340,-0.4302,-0.4244
2023-06-30,0.35400,0.35400,22.98200,8.18800,-30.81600,1.51100,-29.30500,,-29.30500,-35.04400,-35.04400,-31.20900,-30.81600,57.79530,57.79530,-0.61000,-0.61000,5.72540,100.00000,-8705.08500,-8705.08500,-8278.24900,-9899.43500,0.00210,-29.35620,-29.35620,-20.69480,-29.35620,2.06540,-0.4088,-0.4087
2023-03-31,0.80200,0.80200,19.98800,8.32500,-27.51100,1.46900,-26.04200,0.00000,-26.04200,-28.84400,-28.84400,-28.19500,-27.51100,57.71630,57.71630,-0.50000,-0.50000,8.29860,100.00000,-3430.29900,-3430.29900,-3247.13200,-3596.50900,0.00410,-18.98890,-18.98890,-14.57640,-18.98890,2.62820,-0.45140,-0.45540
2022-12-31,0.80200,0.80200,27.14900,8.14700,-34.49400,1.45500,-33.03900,-0.10100,-32.93800,-34.29500,-34.29500,-35.27300,-34.49400,57.39980,57.39980,-0.60000,-0.58000,8.01800,100.00000,-4300.99800,-4300.99900,-4119.57700,-4276.18600,0.00350,-19.26920,-19.26920,-15.01070,-19.26920,3.09610,-0.4751,-0.4753
2022-09-30,0.80200,0.80200,25.85400,7.81000,-32.86200,1.26900,-31.59300,-0.04600,-31.54700,-33.72600,-33.72600,-33.32200,-32.86200,57.44720,57.44720,-0.59000,-0.59000,8.44310,100.00000,-4097.50700,-4097.50700,-3939.27700,-4205.23700,0.00310,-16.13210,-16.13210,-12.84060,-16.13210,3.63710,-0.4329,-0.4329
2022-06-30,0.80200,0.80200,21.07500,8.03400,-28.30700,0.47400,-27.83300,-0.10500,-27.72800,-29.08900,-29.08900,-28.10800,-28.30700,57.38560,57.38560,-0.51000,-0.51000,11.50000,100.00000,-3529.55100,-3529.55100,-3470.44900,-3627.05800,0.00280,-12.10590,-12.10590,-10.22070,-12.10590,4.18730,-0.542,-0.5444
2022-03-31,0.80200,0.80200,24.27300,14.14700,-37.61800,131.28100,93.66300,0.96700,92.69600,92.10500,92.10500,-37.23200,-37.61800,57.28000,57.87560,1.61000,1.59000,12.61650,100.00000,-4690.52400,-4690.52400,11678.68000,11484.42000,0.00260,34.59290,34.59290,29.61980,34.59290,4.63970,-0.53020,-0.55000
2021-12-31,0.80200,0.80200,23.64600,10.78100,-33.62500,0.04200,-33.58300,,-33.58300,-33.58300,-33.58300,-31.32200,-33.62500,55.28330,55.28330,-0.63000,-0.63000,11.14070,100.00000,-4192.65400,-4192.65400,-4187.41600,-4187.41600,0.00380,-19.79540,-19.79540,-15.86190,-19.79540,2.96850,-0.5962,-0.6036
2021-09-30,1.67700,1.67700,23.98700,8.35100,-30.66100,0.05300,-30.60800,,-30.60800,-30.60800,-30.60800,-28.31200,-30.66100,57.10660,57.10660,-0.54000,-0.54000,10.25490,100.00000,-1828.32400,-1828.32400,-1825.16400,-1825.16400,0.00730,-15.41410,-15.41410,-13.26080,-15.41410,3.47460,-0.4344,-0.4424
2021-06-30,2.18700,2.18700,23.69700,9.04200,-30.55200,0.05200,-30.50000,,-30.50000,-30.50000,-30.50000,-28.19900,-30.55200,56.49750,56.49750,-0.54000,-0.54000,11.15680,100.00000,-1396.98200,-1396.98200,-1394.60400,-1394.60400,0.00840,-13.58110,-13.58110,-11.77980,-13.58110,3.93390,-0.3624,-0.3742
2021-03-31,29.30500,29.30500,21.75500,8.66100,-1.11100,0.03800,-1.07300,,-1.07300,-1.07300,-1.07300,1.13100,-1.11100,50.36360,50.36360,-0.02000,-0.02000,10.76210,100.00000,-3.79120,-3.79120,-3.66150,-3.66150,0.12490,-0.53430,-0.53430,-0.45720,-0.53430,3.97790,-0.59220,-0.60840
2020-12-31,0.98000,0.98000,23.19400,7.58700,-29.80100,0.01000,-29.79100,,-29.79100,-29.79100,-29.79100,-27.94300,-29.80100,45.91080,45.91080,-0.62000,-0.62000,9.69040,100.00000,-3040.91800,-3040.91800,-3039.89700,-3039.89700,0.00370,-15.19990,-15.19990,-11.29570,-15.19990,3.89920,-0.2257,-0.2456
2020-09-30,0.56700,0.56700,20.41700,8.42300,-28.27300,0.04100,-28.23200,,-28.23200,-28.23200,-28.23200,-26.26300,-28.27300,45.22720,45.22720,-0.62000,-0.62000,10.55160,100.00000,-4986.42000,-4986.42000,-4979.18900,-4979.18900,0.00250,-16.58540,-16.58540,-12.36280,-16.58540,3.76100,-0.6382,-0.6416
2020-06-30,0.56700,0.56700,27.47100,8.79300,-35.69700,0.35700,-35.34000,,-35.34000,-35.34000,-35.34000,-33.70500,-35.69700,45.20790,45.20790,-0.78000,-0.78000,10.72410,100.00000,-6295.76700,-6295.76700,-6232.80500,-6232.80500,0.00220,-18.15060,-18.15060,-13.68510,-18.15060,4.30660,-0.6184,-0.6313
2020-03-31,0.58800,0.58800,29.31000,7.77000,-36.49200,1.16100,-35.33100,,-35.33100,-35.33100,-35.33100,-34.58500,-36.49200,45.15100,45.15100,-0.78000,-0.78000,13.65650,100.00000,-6206.12200,-6206.12200,-6008.67300,-6008.67400,0.00200,-15.59590,-15.59590,-12.23420,-15.59590,5.01130,-0.57240,-0.61750
2019-12-31,0.56300,0.56300,20.34400,5.77800,-25.55900,1.39200,-24.16700,,-24.16700,-24.16700,-24.16700,-23.84000,-25.55900,42.11800,42.11800,-0.55000,-0.55000,21.54330,100.00000,-4539.78800,-4539.78600,-4292.54000,-4292.54000,0.00180,-9.34870,-9.34870,-7.78160,-9.34870,5.72970,-0.6881,-0.794
2019-09-30,0.44100,0.44100,25.69100,6.03800,-31.28800,1.66100,-29.62700,,-29.62700,-29.62700,-29.62700,-29.59700,-31.28800,43.90500,43.90500,-0.67000,-0.67000,14.67080,100.00000,-7094.78500,-7094.78500,-6718.14100,-6718.14100,0.00140,-11.49130,-11.49130,-9.35320,-11.49130,5.86550,-0.5631,-0.5952
2019-06-30,0.39200,0.39200,22.82700,5.53800,-27.97300,1.70300,-26.27000,,-26.27000,-26.27000,-26.27000,-26.33100,-27.97300,43.07560,43.07560,-0.61000,-0.61000,19.28660,100.00000,-7135.97000,-7135.97000,-6701.53100,-6701.53100,0.00110,-9.22590,-9.22590,-7.70030,-9.22590,6.49060,-0.4399,-0.5403
2019-03-31,0.27000,0.27000,20.53600,4.85700,-25.12300,1.27100,-23.85200,,-23.85200,-23.85200,-23.85200,-23.85700,-25.12300,37.38500,37.38500,-0.64000,-0.64000,10.79520,100.00000,-9304.81400,-9304.81400,-8834.07300,-8834.07300,0.00120,-13.68730,-13.68730,-10.23580,-13.68730,4.65490,-0.47800,-0.75800
2018-12-31,1.19600,1.19600,16.26700,5.10200,-20.17300,1.38700,-18.78600,,-18.78600,-18.78600,-18.78600,-19.61000,-20.17300,28.55200,28.55200,2.86000,2.86000,9.84440,100.00000,-1686.70600,-1686.70600,-1570.73600,-1570.73600,0.00460,-9.56740,-9.56740,-7.25070,-9.56740,5.25590,-0.5656,-1.1972
2018-09-30,1.60200,1.60200,13.39400,3.84300,-15.63500,1.48700,-14.14800,,-14.14800,-14.14800,-14.14800,-15.36700,-15.63500,37.27300,37.27300,-0.38000,-0.38000,13.23710,100.00000,-975.96750,-975.96750,-883.14600,-883.14610,0.00600,-6.64970,-6.64970,-5.27130,-6.64970,5.70250,-0.3611,-0.4894
2018-06-30,1.39500,1.39500,10.29000,4.52700,-13.42200,0.99600,-12.42600,,-12.42600,-12.42600,-12.42600,-13.18500,-13.42200,36.86100,36.86100,-0.34000,-0.34000,24.05230,100.00000,-962.15050,-962.15050,-890.75260,-890.75270,0.00520,-5.47890,-5.47890,-4.59690,-5.47890,6.08770,3.8536,4.1541
2018-03-31,1.12900,1.12900,7.99700,3.82800,-10.69600,0.47900,-10.21700,,-10.21700,-10.21700,-10.21700,-10.47500,-10.69600,2.50000,2.50000,-4.09000,-4.09000,12.75200,100.00000,-947.38720,-947.38720,-904.96030,-904.96010,0.00870,20.63000,-11.57900,-7.91540,-11.57900,32.71680,-4.41760,-4.83160
2017-12-31,,,9.59000,2.69900,-12.28900,0.36600,-11.92100,0.00000,-11.92100,-11.92100,-11.92100,-12.09240,-12.28900,2.47900,2.47900,-3.92000,-3.92000,14.85040,,,,,,,30.21490,-12.12620,-8.66790,-12.12620,37.28020,9.2322,9.1352
