Date,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,2.87090,,-2.87090,-0.08850,-2.95940,,-2.95940,-2.95940,-2.95940,-2.87090,-2.87090,16.68900,16.68900,-0.18000,-0.18000,0.15740,,0.10340,-202.62120,348.58480,-120.09690,-202.62120,0.07350,-0.0607,-0.0607
2024-06-30,0.39560,,-0.39560,-0.05350,-0.45160,,-0.45160,-0.45160,-0.45160,-0.39560,-0.39560,15.67900,15.67900,-0.03000,-0.03000,1.11270,1.66060,-2.51390,29.11180,11.69760,-13.64720,-19.23010,-0.09890,0.0513,0.0513
2024-03-31,0.32480,-0.01800,-0.34280,0.26860,-0.07420,0.04910,-0.12320,-0.12320,-0.12320,-0.34280,-0.34280,3.40500,3.40500,-0.07000,-0.07000,0.00310,-0.24890,-0.19930,1.59440,1.59440,-0.62910,1.99120,,-0.11060,-0.11060
2023-12-31,0.56360,-0.04350,-0.60710,1.67600,1.06880,0.43480,0.63400,0.63400,0.63400,-0.60710,-0.60710,3.40500,3.40500,0.25000,0.25000,0.00410,,2.56640,110.89640,-39.27390,28.91470,110.89650,0.03780,-0.3544,-0.3544
2023-09-30,0.12370,,-0.12370,-0.02040,-0.14410,,-0.14410,-0.14410,-0.14410,-0.12370,-0.12370,15.13000,15.13000,-0.01000,-0.01000,0.12250,-0.21530,-0.17710,2.23930,2.23930,-0.24840,2.72140,-1.89000,0.0011,0.0011
2023-06-30,0.24430,,-0.24430,-0.02020,-0.26440,,-0.26440,-0.26440,-0.26440,-0.24430,-0.24430,15.13000,15.13000,-0.02000,-0.02000,0.19160,-0.16810,-0.14390,4.37320,4.37320,-0.46210,5.10830,-1.77550,0.092,0.092
2023-03-31,0.29370,-0.03210,-0.32580,1.70210,1.37640,0.25580,1.12060,1.12060,1.12060,-0.32580,-0.32580,3.40500,3.40500,0.01000,0.01000,0.00530,-0.00980,-0.00970,-22.97370,-22.97370,0.93570,-23.19880,,-0.10950,-0.10950
2022-12-31,0.19510,-0.04440,-0.23950,1.19790,0.95830,0.24230,0.71610,0.71610,0.71610,-0.23950,-0.23950,3.23700,3.23700,2.48000,2.48000,0.86950,,,-17.70470,-17.70480,0.60560,-17.70470,-1.18780,-0.029,-0.029
2022-09-30,0.14040,-0.03930,-0.17970,0.99060,0.81090,0.07980,0.73110,0.73110,0.73110,-0.17970,-0.17970,3.40500,3.40500,1.77000,1.77000,2.54240,,,-18.24370,-18.24370,0.62400,-18.24370,,-0.0091,-0.0091
2022-06-30,0.19340,-0.03930,-0.23270,0.02390,-0.20880,,-0.20880,-0.20880,-0.20880,-0.23270,-0.23270,3.38600,3.38600,-1.86000,-1.86000,9.60400,,,4.87910,4.87910,-0.17850,4.87910,-1.25700,-0.1167,-0.1167
2022-03-31,0.00500,,-0.00500,,-0.00500,,-0.00500,-0.00500,-0.00500,-0.00500,-0.00500,2.50000,2.50000,0.00000,0.00000,1.06830,,12.17210,-30.49110,-30.49110,-1.94990,-30.49110,0.00570,0.00250,0.00250
2021-12-31,,,,,0.00000,0.00000,,0.00000,,,,,,,0.00000,0.58180,,,,,,,,0,0
2021-09-30,0.00000,,0.00000,,0.00000,,0.00000,0.00000,0.00000,0.00000,0.00000,,,,0.00000,,,,,,,,,0,0
2021-06-30,,,,,0.00000,0.00000,,0.00000,,,,,,,0.00000,,,,,,,,,0,0
2021-03-31,,-0.00350,-0.00350,,-0.00350,,-0.00350,-0.00350,-0.00350,-0.00350,-0.00350,,,,0.00000,,,,,,,,,0.00000,
